Description,2015 ,2016,2017,2018,2019

Sales/Revenue,40.99B,40.18B,42.62B,44.54B,45.77B
Sales Growth,-,-1.98%,6.08%,4.50%,2.75%
Cost of Goods Sold (COGS) incl. D&A,27.01B,27.52B,30.42B,33.52B,34.35B
COGS excluding D&A,25.41B,25.7B,28.4B,31.37B,32.03B
Depreciation & Amortization Expense,1.61B,1.83B,2.02B,2.16B,2.32B
Depreciation,1.55B,1.75B,1.97B,2.12B,2.28B
Amortization of Intangibles,55M,76M,44M,41M,41M
COGS Growth,-,1.88%,10.52%,10.21%,2.46%
Gross Income,13.98B,12.66B,12.21B,11.02B,11.42B
Gross Income Growth,-,-9.42%,-3.59%,-9.72%,3.67%
Gross Profit Margin,-,-,-,-,24.96%

SG&A Expense,1.73B,1.67B,1.84B,1.89B,2B
Research & Development,-,-,-,-,-
Other SG&A,1.73B,1.67B,1.84B,1.89B,2B
SGA Growth,-,-3.30%,10.06%,2.77%,6.09%
Other Operating Expense,4.96B,4.98B,5.4B,5.68B,5.71B
Unusual Expense,1.08B,772M,756M,906M,644M
EBIT after Unusual Expense,6.21B,(772M),(756M),2.54B,3.06B
Non Operating Income/Expense,(756M),(8M),145M,279M,162M
Non-Operating Interest Income,39M,63M,94M,118M,127M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,880M,991M,1.05B,1.06B,1.1B
Interest Expense Growth,-,12.61%,6.26%,0.28%,3.69%
Gross Interest Expense,932M,1.04B,1.05B,1.06B,1.1B
Interest Capitalized,52M,45M,-,-,-
Pretax Income,4.62B,4.3B,3.4B,1.88B,2.26B
Pretax Income Growth,-,-6.87%,-21.03%,-44.51%,19.75%
Pretax Margin,-,-,-,-,4.93%
Income Tax,(2.99B),1.62B,2.11B,472M,570M
Income Tax - Current Domestic,20M,12M,10M,3M,2M
Income Tax - Current Foreign,-,-,14M,29M,8M
Income Tax - Deferred Domestic,(3.01B),1.61B,2.03B,390M,560M
Income Tax - Deferred Foreign,-,-,63M,50M,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,7.61B,2.68B,1.28B,1.41B,1.69B
Minority Interest Expense,-,-,-,-,-
Net Income,7.61B,2.68B,1.28B,1.41B,1.69B
Net Income Growth,-,-64.84%,-52.09%,10.14%,19.41%
Net Margin Growth,-,-,-,-,3.68%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,7.61B,2.68B,1.28B,1.41B,1.69B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,7.61B,2.68B,1.28B,1.41B,1.69B
EPS (Basic),11.39,4.85,2.62,3.04,3.80
EPS (Basic) Growth,-,-57.42%,-45.98%,16.03%,25.09%
Basic Shares Outstanding,668.39M,552.31M,489.16M,464.24M,443.36M
EPS (Diluted),11.07,4.81,2.61,3.03,3.80
EPS (Diluted) Growth,-,-56.55%,-45.74%,16.09%,25.25%
Diluted Shares Outstanding,687.36M,556.1M,491.69M,465.66M,444.27M
EBITDA,8.9B,7.83B,6.98B,5.61B,6.02B
EBITDA Growth,-,-11.99%,-10.86%,-19.71%,7.46%
EBITDA Margin,-,-,-,-,13.16%
