Description,2015 ,2016,2017,2018,2019

Sales/Revenue,1.44M,18.07M,55.2M,245.54M,278.91M
Sales Growth,-,"1,155.29%",205.51%,344.84%,13.59%
Cost of Goods Sold (COGS) incl. D&A,2.83M,25.5M,49.32M,258.94M,437.47M
COGS excluding D&A,2.24M,24.41M,37.06M,170.69M,322.58M
Depreciation & Amortization Expense,"593,216",1.09M,12.26M,88.26M,114.89M
Depreciation,"593,216",1.09M,8M,45.36M,74.31M
Amortization of Intangibles,-,-,4.26M,42.89M,40.58M
COGS Growth,-,799.64%,93.40%,425.08%,68.95%
Gross Income,(1.4M),(7.43M),5.88M,(13.41M),(158.57M)
Gross Income Growth,-,-432.72%,179.13%,-327.95%,"-1,082.81%"
Gross Profit Margin,-,-,-,-,-56.85%

SG&A Expense,6.2M,24.98M,111.54M,380.16M,382.52M
Research & Development,"565,140","314,000",1.68M,14.78M,26.07M
Other SG&A,5.63M,24.67M,109.86M,365.38M,356.45M
SGA Growth,-,302.94%,346.50%,240.83%,0.62%
Other Operating Expense,-,-,-,-,-
Unusual Expense,(3.09M),(21.09M),(195.51M),31.42M,2.76B
EBIT after Unusual Expense,(4.5M),21.09M,195.51M,(31.42M),(3.3B)
Non Operating Income/Expense,-,"(215,000)",(1.04M),139.63M,"(324,000)"
Non-Operating Interest Income,"72,777","861,000",2.52M,3.68M,4.99M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,1.44M,6.58M,11.76M,39.41M,77.54M
Interest Expense Growth,-,355.98%,78.70%,235.05%,96.75%
Gross Interest Expense,1.44M,7.95M,17.46M,64.61M,99.54M
Interest Capitalized,-,1.37M,5.7M,25.2M,22M
Pretax Income,(5.87M),(17.26M),79.57M,(321.08M),(3.37B)
Pretax Income Growth,-,-193.99%,560.90%,-503.52%,-950.33%
Pretax Margin,-,-,-,-,"-1,209.14%"
Income Tax,"(148,837)",(4.3M),8.1M,(29.91M),(83.4M)
Income Tax - Current Domestic,"(78,735)","(19,000)",1.66M,(6M),(5.1M)
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,"(70,102)",(4.28M),6.44M,(23.91M),(78.3M)
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,(2.24M),(9.57M),(11.53M)
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,(5.72M),(12.97M),69.23M,(300.74M),(3.3B)
Minority Interest Expense,-,-,(2.71M),(7.09M),(26.67M)
Net Income,(5.72M),(12.97M),71.94M,(293.65M),(3.27B)
Net Income Growth,-,-126.57%,654.72%,-508.21%,"-1,014.86%"
Net Margin Growth,-,-,-,-,"-1,173.81%"
Extraordinaries & Discontinued Operations,-,-,-,"144,000",(9.84M)
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,(2.82M)
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,"144,000",(7.03M)
Net Income After Extraordinaries,(5.72M),(12.97M),71.94M,(293.51M),(3.28B)
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,(5.72M),(12.97M),71.94M,(293.51M),(3.28B)
EPS (Basic),(0.48),(0.60),1.88,(43.96),(33.91)
EPS (Basic) Growth,-,-25.00%,412.92%,"-2,441.35%",22.86%
Basic Shares Outstanding,10.75M,23.25M,38.32M,6.68M,96.75M
EPS (Diluted),(0.48),(0.60),1.83,(43.96),(33.91)
EPS (Diluted) Growth,-,-25.00%,405.23%,"-2,500.28%",22.86%
Diluted Shares Outstanding,10.75M,23.25M,39.28M,6.68M,96.75M
EBITDA,(7M),(31.33M),(93.4M),(305.31M),(426.19M)
EBITDA Growth,-,-347.41%,-198.15%,-226.89%,-39.59%
EBITDA Margin,-,-,-,-,-152.81%
