Description,2015 ,2016,2017,2018,2019

Sales/Revenue,1.34B,1.49B,1.44B,1.43B,1.51B
Total Investment Income,1.9M,-,-,"89,000",11.88M
Sundry Revenue/Income,275.45M,308.26M,292.4M,296.1M,1.5B
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,-,-,-,-,-
Sales Growth,-,11.38%,-3.56%,-0.32%,5.79%
Total Expense,1.37B,1.54B,1.52B,1.56B,1.65B
Total Interest Expense,187.51M,223.97M,222.63M,236.79M,262M
Depreciation & Amortization Expense,210.41M,243.71M,246.49M,258.22M,268.75M
Other Operating Expense,13.53M,(2.34M),7.47M,3.2M,2.6M

Operating Income,(37.96M),(51.62M),(88.66M),(126.56M),(131.29M)
Operating Income Growth,-,-35.96%,-71.77%,-42.74%,-3.74%
Non-Operating Income (Expense),(7.01M),24.88M,10.68M,5.27M,26.3M
Non-Operating Interest Income,"90,000","331,000",2.2M,3.95M,3.07M
Miscellaneous Non Operating Expense,"(264,000)",30.66M,14.35M,"450,000",25.54M
Equity in Affiliates (Pretax),(6.83M),(6.11M),(5.87M),"867,000",(2.31M)
Unusual Expense,(355.49M),30.52M,13M,32.24M,36.47M
Pretax Income,310.52M,(57.25M),(90.98M),(153.53M),(141.46M)
Pretax Income Growth,-,-118.44%,-58.91%,-68.75%,7.86%
Pretax Margin,-,-,-,-,-9.35%
Income Taxes,4.71M,1.53M,(2.22M),2.78M,1.22M
Income Tax - Current - Domestic,4.6M,1.83M,(4.54M),2.65M,1.38M
Income Tax - Current - Foreign,-,-,-,-,-
Income Tax - Deferred - Domestic,"108,000","(302,000)",2.32M,"135,000","(159,000)"
Income Tax - Deferred - Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(3.08M),"(904,000)",(1.35M),"(894,000)",(1.28M)
Consolidated Net Income,302.73M,(59.69M),(90.11M),(157.2M),(143.96M)
Minority Interest Expense,35.47M,(12.5M),(21.75M),(29.34M),(29.04M)
Net Income,267.26M,(47.19M),(68.36M),(127.86M),(114.91M)
Net Income Growth,-,-117.66%,-44.86%,-87.04%,10.13%
Net Margin,-,-,-,-,-7.59%
Extraordinaries & Discontinued Operations,"599,000",(6.12M),(10.8M),-,-
Extra Items & Gain/Loss Sale Of Assets,"599,000",(6.12M),(10.8M),-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,266.66M,(41.07M),(57.56M),-,-
Preferred Dividends,33.96M,36.27M,44.76M,42.58M,42.58M
Net Income Available to Common,233.3M,(83.46M),(113.12M),(170.44M),(157.49M)
EPS (Basic),24.23,(8.84),(11.88),(17.52),(15.77)
EPS (Basic) - Growth,-,-136.48%,-34.43%,-47.45%,9.96%
Basic Shares Outstanding,9.63M,9.44M,9.52M,9.73M,9.98M
EPS (Diluted),23.40,(8.84),(11.88),(17.52),(15.77)
EPS (Diluted) Growth,-,-137.78%,-34.43%,-47.45%,9.96%
Diluted Shares Outstanding,11.49M,9.44M,9.52M,9.73M,9.98M
