Description,2015 ,2016,2017,2018,2019

Sales/Revenue,58.33B,55.56B,49.52B,47.39B,49.55B
Premiums Earned,36.66B,34.39B,31.37B,30.61B,30.56B
Total Investment Income,14.95B,16.11B,14.7B,12.97B,15.14B
Realized Gains (Losses),21M,293M,1.03B,(429M),968M
Other Operating Income,6.71B,4.77B,2.41B,1.64B,919M
Sales Growth,-,-4.75%,-10.87%,-4.30%,4.55%
"Losses, Claims & Reserves",35.1B,36.14B,33.56B,31.17B,29.23B
"Losses, Benefits & Adjustments",31.37B,32.44B,29.97B,27.41B,25.4B
"Losses, Claims & Reserves Growth",-,2.97%,-7.14%,-7.14%,-6.20%
Loss Ratio,-,-,-,-,83.12%

"Selling, General & Admin. Expenses & Other",17.11B,16.52B,13.08B,14.19B,13.48B
"Selling, General & Admin. Expenses",17.98B,15.8B,13.08B,14.19B,13.48B
"Other Selling, General & Admin. Expense",12.74B,10.99B,-,-,-
Underwriting & Commissions,5.24B,4.81B,-,-,-
Other Operating Expense,(876M),715M,-,-,-
SGA Growth,-,-3.44%,-20.79%,8.47%,-5.00%
Operating Income Before Interest Expense,6.12B,2.9B,2.87B,2.03B,6.83B
"Interest Expense, Net of Interest Capitalized",1.28B,1.26B,1.17B,1.31B,1.42B
Interest Expense (excl. Interest Capitalized),1.28B,1.26B,1.17B,1.31B,1.42B
Interest Capitalized,-,-,-,-,-
Operating Income After Interest Expense,4.84B,1.64B,1.7B,722M,5.41B
Operating Income Growth,-,-52.69%,-0.86%,-29.28%,236.24%
Non-Operating Income (Expense),405M,(681M),68M,38M,125M
Miscellaneous Non Operating Expense,405M,(681M),68M,38M,125M
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,1.97B,1.03B,306M,503M,250M
Pretax Income,3.28B,(74M),1.47B,257M,5.29B
Pretax Income Growth,-,-102.26%,"2,081.08%",-82.47%,"1,957.20%"
Income Taxes,1.06B,185M,7.53B,154M,1.17B
Income Tax - Current - Domestic,429M,140M,427M,134M,278M
Income Tax - Current - Foreign,391M,436M,209M,202M,267M
Income Tax - Deferred - Domestic,334M,(270M),6.87B,(175M),633M
Income Tax - Deferred - Foreign,(95M),(121M),25M,(7M),(12M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,2.22B,(259M),(6.06B),103M,4.12B
Minority Interest Expense,26M,500M,28M,67M,821M
Net Income,2.2B,(759M),(6.09B),36M,3.3B
Net Income Growth,-,-134.56%,-702.11%,100.59%,"9,066.67%"
Net Margin,-,-,-,-,6.66%
Extraordinaries & Discontinued Operations,-,(90M),4M,(42M),48M
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,(90M),4M,(42M),48M
Net Income After Extraordinaries,2.2B,(849M),(6.08B),(6M),3.35B
Preferred Dividends,-,-,-,-,22M
Net Income Available to Common,2.2B,(849M),(6.08B),(6M),3.33B
EPS (Basic),1.69,(0.78),(6.54),(0.01),3.79
EPS (Basic) Growth,-,-146.15%,-738.21%,99.90%,"56,720.90%"
Basic Shares Outstanding,1.3B,1.09B,930.56M,898.41M,876.75M
EPS (Diluted),1.65,(0.78),(6.54),(0.01),3.74
EPS (Diluted) Growth,-,-147.27%,-738.21%,99.90%,"55,907.46%"
Diluted Shares Outstanding,1.33B,1.09B,930.56M,898.41M,889.51M
