Description,2015 ,2016,2017,2018,2019

Sales/Revenue,2.95B,3.24B,5.08B,5.46B,5.47B
Sales Growth,-,9.81%,56.97%,7.51%,0.19%
Cost of Goods Sold (COGS) incl. D&A,2.17B,2.37B,3.94B,4.17B,4.11B
COGS excluding D&A,1.94B,2.1B,3.4B,3.63B,3.66B
Depreciation & Amortization Expense,232.96M,268.24M,538.6M,537.8M,450M
Depreciation,210.33M,239.94M,495.2M,498.2M,444.9M
Amortization of Intangibles,22.64M,28.3M,43.4M,39.6M,5.1M
COGS Growth,-,8.95%,66.37%,5.86%,-1.35%
Gross Income,773.22M,867.68M,1.14B,1.29B,1.36B
Gross Income Growth,-,12.22%,31.29%,13.23%,5.17%
Gross Profit Margin,-,-,-,-,24.80%

SG&A Expense,526.03M,589.18M,927.6M,971.4M,1.12B
Research & Development,-,-,-,-,-
Other SG&A,526.03M,589.18M,927.6M,971.4M,1.12B
SGA Growth,-,12.00%,57.44%,4.72%,15.38%
Other Operating Expense,-,-,-,-,-
Unusual Expense,20.81M,65.22M,109.6M,(57.5M),114M
EBIT after Unusual Expense,(20.81M),213.28M,(109.6M),376M,121.8M
Non Operating Income/Expense,"156,000",1.84M,2.4M,"(700,000)",10.1M
Non-Operating Interest Income,5.96M,8.34M,22.6M,6.2M,6.7M
Equity in Affiliates (Pretax),37.13M,47.72M,(186.1M),84.5M,30.6M
Interest Expense,106.09M,121.54M,274M,342.3M,340.8M
Interest Expense Growth,-,14.56%,125.45%,24.93%,-0.44%
Gross Interest Expense,106.09M,121.54M,274M,342.3M,340.8M
Interest Capitalized,-,-,-,-,-
Pretax Income,163.53M,149.64M,(333.1M),123.7M,(171.6M)
Pretax Income Growth,-,-8.50%,-322.60%,137.14%,-238.72%
Pretax Margin,-,-,-,-,-3.14%
Income Tax,59.68M,37.97M,154.1M,13.6M,(22.5M)
Income Tax - Current Domestic,8.02M,2.4M,(9M),15M,2.8M
Income Tax - Current Foreign,-,1.48M,5.3M,5M,8.4M
Income Tax - Deferred Domestic,51.66M,38.16M,163.3M,1.1M,9.1M
Income Tax - Deferred Foreign,-,(4.07M),(5.5M),(7.5M),(42.8M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,103.86M,111.67M,(487.2M),110.1M,(149.1M)
Minority Interest Expense,-,-,-,-,-
Net Income,103.86M,111.67M,(487.2M),110.1M,(149.1M)
Net Income Growth,-,7.52%,-536.30%,122.60%,-235.42%
Net Margin Growth,-,-,-,-,-2.73%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,103.86M,111.67M,(487.2M),110.1M,(149.1M)
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,103.86M,111.67M,(487.2M),110.1M,(149.1M)
EPS (Basic),1.06,1.13,(3.80),0.91,(1.44)
EPS (Basic) Growth,-,6.60%,-436.19%,124.03%,-257.32%
Basic Shares Outstanding,97.96M,98.84M,128.25M,120.62M,103.83M
EPS (Diluted),1.06,1.13,(3.80),0.41,(1.44)
EPS (Diluted) Growth,-,6.60%,-436.19%,110.80%,-449.90%
Diluted Shares Outstanding,98.03M,98.87M,128.25M,130.11M,103.83M
EBITDA,480.15M,546.74M,750.2M,856.3M,685.8M
EBITDA Growth,-,13.87%,37.21%,14.14%,-19.91%
EBITDA Margin,-,-,-,-,12.54%
