Description,2015 ,2016,2017,2018,2019

Sales/Revenue,636.9M,691.3M,1.25B,5.86B,6.04B
Sales Growth,-,8.54%,80.44%,370.12%,3.00%
Cost of Goods Sold (COGS) incl. D&A,374.7M,371.6M,814.6M,4.04B,4.43B
COGS excluding D&A,314M,311.3M,715.4M,3.64B,4.03B
Depreciation & Amortization Expense,60.7M,60.3M,99.2M,404.6M,398.9M
Depreciation,28.6M,28.4M,34M,83.3M,86.6M
Amortization of Intangibles,32.1M,31.9M,65.2M,321.3M,312.3M
COGS Growth,-,-0.83%,119.21%,396.50%,9.58%
Gross Income,262.2M,319.7M,432.8M,1.82B,1.61B
Gross Income Growth,-,21.93%,35.38%,320.47%,-11.62%
Gross Profit Margin,-,-,-,-,26.63%

SG&A Expense,201.6M,282.5M,450.7M,1.31B,1.03B
Research & Development,-,-,-,-,-
Other SG&A,201.6M,282.5M,450.7M,1.31B,1.03B
SGA Growth,-,40.13%,59.54%,190.77%,-21.23%
Other Operating Expense,"300,000","(200,000)",(3.4M),-,-
Unusual Expense,-,-,180M,95.8M,98M
EBIT after Unusual Expense,-,-,(194.5M),413.5M,478.1M
Non Operating Income/Expense,"100,000","(400,000)",4.1M,(3.5M),2.5M
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,30.6M,107.6M,269.8M,523.8M,440M
Interest Expense Growth,-,251.63%,150.74%,94.14%,-16.00%
Gross Interest Expense,30.6M,107.6M,269.8M,523.8M,440M
Interest Capitalized,-,-,-,-,-
Pretax Income,29.8M,(70.6M),(460.2M),(113.8M),40.6M
Pretax Income Growth,-,-336.91%,-551.84%,75.27%,135.68%
Pretax Margin,-,-,-,-,0.67%
Income Tax,17.1M,10.1M,(314.9M),(26.9M),2.8M
Income Tax - Current Domestic,14.3M,32.7M,101.4M,30.8M,51.9M
Income Tax - Current Foreign,2.3M,8.1M,14.3M,46.2M,57.6M
Income Tax - Deferred Domestic,2.3M,(26.1M),(372.7M),(68.2M),(48.3M)
Income Tax - Deferred Foreign,(1.8M),(4.6M),(57.9M),(35.7M),(58.4M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,12.7M,(80.7M),(145.3M),(86.9M),37.8M
Minority Interest Expense,(8.9M),(38.3M),(32.6M),-,-
Net Income,21.6M,(42.4M),(112.7M),(86.9M),37.8M
Net Income Growth,-,-296.30%,-165.80%,22.89%,143.50%
Net Margin Growth,-,-,-,-,0.63%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,21.6M,(42.4M),(112.7M),(86.9M),37.8M
Preferred Dividends,-,-,302.2M,269.5M,372.9M
Net Income Available to Common,21.6M,(42.4M),(414.9M),(356.4M),(335.1M)
EPS (Basic),0.04,(0.08),(0.78),(0.67),(0.84)
EPS (Basic) Growth,-,-296.53%,-877.96%,14.10%,-25.22%
Basic Shares Outstanding,534.29M,534.29M,534.29M,534.29M,401.2M
EPS (Diluted),0.04,(0.08),(0.78),(0.67),(0.84)
EPS (Diluted) Growth,-,-296.53%,-877.96%,14.10%,-25.22%
Diluted Shares Outstanding,534.29M,534.29M,534.29M,534.29M,401.2M
EBITDA,121M,97.7M,84.7M,913.9M,975M
EBITDA Growth,-,-19.26%,-13.31%,978.98%,6.69%
EBITDA Margin,-,-,-,-,16.14%
