Description,2015 ,2016,2017,2018,2019

Sales/Revenue,123.37B,182.51B,294.9B,440.33B,571.88B
Sales Growth,-,47.94%,61.58%,49.32%,29.88%
Cost of Goods Sold (COGS) incl. D&A,45.48B,73.51B,133.58B,251B,327.87B
COGS excluding D&A,37.39B,57.15B,107.79B,207.84B,280.49B
Depreciation & Amortization Expense,8.09B,16.36B,25.79B,43.16B,47.38B
Depreciation,4.51B,5.97B,10.2B,17.31B,22.8B
Amortization of Intangibles,3.57B,10.39B,15.59B,25.84B,24.58B
COGS Growth,-,61.63%,81.72%,87.90%,30.63%
Gross Income,77.89B,109B,161.32B,189.33B,244.01B
Gross Income Growth,-,39.94%,48.00%,17.36%,28.88%
Gross Profit Margin,-,-,-,-,42.67%

SG&A Expense,41.82B,52.6B,78.12B,119.3B,136.83B
Research & Development,16.82B,19.67B,26.81B,43.74B,48.33B
Other SG&A,25B,32.92B,51.3B,75.56B,88.49B
SGA Growth,-,25.78%,48.52%,52.73%,14.69%
Other Operating Expense,-,-,-,-,-
Unusual Expense,(50.69B),1.74B,(81.31M),3.32B,4.6B
EBIT after Unusual Expense,86.76B,54.66B,83.28B,66.7B,102.58B
Non Operating Income/Expense,5.94B,11.07B,500.79M,258.23M,8.35B
Non-Operating Interest Income,8.55B,6.05B,38.07B,51.54B,81.85B
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,2.37B,3.08B,4.2B,6.06B,5.81B
Interest Expense Growth,-,29.76%,36.43%,44.32%,-4.16%
Gross Interest Expense,2.37B,3.08B,4.2B,6.06B,5.81B
Interest Capitalized,-,-,-,-,-
Pretax Income,99.37B,69.22B,118.31B,112.43B,186.97B
Pretax Income Growth,-,-30.34%,70.92%,-4.97%,66.30%
Pretax Margin,-,-,-,-,32.69%
Income Tax,10.31B,15.89B,21.44B,19.34B,23.07B
Income Tax - Current Domestic,8.81B,15.56B,20.29B,21.91B,26.93B
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,1.5B,324.02M,1.15B,(2.57B),(3.86B)
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,(2.11B),(5.8B),(24.5B),661.35M,(6.43B)
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,86.95B,47.54B,72.36B,93.75B,157.47B
Minority Interest Expense,(208.57M),(2.82B),(3.03B),(8.61B),(10B)
Net Income,87.16B,50.36B,75.4B,102.36B,167.47B
Net Income Growth,-,-42.22%,49.71%,35.76%,63.61%
Net Margin Growth,-,-,-,-,29.28%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,87.16B,50.36B,75.4B,102.36B,167.47B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,87.16B,50.36B,75.4B,102.36B,167.47B
EPS (Basic),4.43,2.53,3.69,4.96,7.97
EPS (Basic) Growth,-,-43.03%,46.19%,34.34%,60.68%
Basic Shares Outstanding,19.66B,19.94B,20.42B,20.64B,21.02B
EPS (Diluted),4.25,2.45,3.61,4.88,7.84
EPS (Diluted) Growth,-,-42.48%,47.58%,35.07%,60.87%
Diluted Shares Outstanding,20.5B,20.58B,20.88B,20.98B,21.35B
EBITDA,44.16B,72.76B,108.99B,113.18B,154.57B
EBITDA Growth,-,64.76%,49.80%,3.85%,36.57%
EBITDA Margin,-,-,-,-,27.03%
