Description,2015 ,2016,2017,2018,2019

Interest Income,49.51B,51.06B,57.58B,66.77B,71.24B
Interest and Fees on Loans,31.92B,33.23B,36.22B,40.81B,43.09B
Interest Income on Fed. Funds,988M,1.12B,2.39B,3.18B,4.84B
Interest Income on Fed. Repos,-,-,-,-,-
Interest on Bank Deposits,-,-,-,-,-
Other Interest or Dividend Income,16.6B,16.71B,18.97B,22.78B,23.31B
Interest Income Growth,-,3.13%,12.77%,15.96%,6.69%
Total Interest Expense,10.55B,9.96B,12.91B,18.61B,22.35B
Interest Expense on Bank Deposits,861M,1.02B,1.93B,4.5B,7.19B
Other Interest Expense,9.69B,8.95B,10.98B,14.11B,15.16B
Interest Expense on Debt,8.35B,7.93B,9.78B,12.75B,13.91B
Interest Capitalized,-,-,-,-,-
Other Borrowed Funds,1.34B,1.02B,1.2B,1.36B,1.25B
Total Interest Expense Growth,-,-5.57%,29.63%,44.11%,20.09%

Net Interest Income,38.96B,41.1B,44.67B,48.16B,48.89B
Net Interest Income Growth,-,5.49%,8.69%,7.82%,1.51%
Loan Loss Provision,3.16B,3.6B,3.4B,3.28B,3.59B
Loan Loss Provision Growth,-,13.79%,-5.59%,-3.36%,9.38%
Net Interest Income after Provision,35.8B,37.5B,41.27B,44.88B,45.3B
Net Interest Inc After Loan Loss Prov Growth,-,4.75%,10.06%,8.74%,0.94%
Net Interest Margin,-,-,-,-,2.43%
Non-Interest Income,44.84B,43.45B,42.48B,42.89B,42.38B
Securities Gain,814M,362M,(49M),154M,217M
Trading Account Income,6.47B,6.9B,7.28B,9.01B,9.03B
"Trust Income, Commissions & Fees",34.61B,33.33B,33.57B,33.08B,33.02B
Commission & Fee Income,34.61B,33.33B,33.57B,22.89B,22.77B
Other Operating Income,2.94B,2.86B,1.69B,651M,111M
Non-Interest Expense,57.29B,54.71B,53.75B,52.69B,54.22B
Labor & Related Expense,32.87B,31.75B,31.93B,31.88B,31.98B
Equipment Expense,4.58B,4.33B,4.22B,4.86B,4.97B
Other Operating Expense,17.45B,16.27B,16.36B,14.43B,15.65B
Operating Income,23.35B,26.24B,30.01B,35.09B,33.46B
Operating Income Growth,-,12.37%,14.36%,16.93%,-4.64%
Operating Income Margin,-,-,-,-,29.45%
Non-Operating Income (Expense),-,-,-,-,-
Non-Operating Interest Income,-,-,-,-,-
Miscellaneous Non Operating Expense,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,1.28B,1.22B,794M,502M,705M
Pretax Income,22.07B,25.02B,29.21B,34.58B,32.75B
Pretax Income Growth,-,13.37%,16.75%,18.39%,-5.29%
Pretax Margin,-,-,-,-,28.83%
Income Taxes,6.23B,7.2B,10.98B,6.44B,5.32B
Income Tax - Current - Domestic,2.75B,422M,1.87B,2.19B,2.04B
Income Tax - Current - Foreign,561M,984M,939M,1.2B,852M
Income Tax - Deferred - Domestic,2.33B,5.14B,8.07B,2.82B,2.22B
Income Tax - Deferred - Foreign,597M,656M,102M,222M,211M
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,15.84B,17.82B,18.23B,28.15B,27.43B
Minority Interest Expense,-,-,-,-,-
Net Income,15.84B,17.82B,18.23B,28.15B,27.43B
Net Income Growth,-,12.54%,2.30%,54.38%,-2.55%
Net Margin,-,-,-,-,24.14%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,-,-,-,-
Preferred Dividends,1.48B,1.68B,1.61B,1.45B,1.43B
Net Income Available to Common,14.35B,16.14B,16.62B,26.7B,26B
EPS (Basic),1.37,1.57,1.63,2.64,2.77
EPS (Basic) Growth,-,14.40%,3.85%,62.22%,4.70%
Basic Shares Outstanding,10.46B,10.28B,10.2B,10.1B,9.39B
EPS (Diluted),1.31,1.49,1.56,2.61,2.75
EPS (Diluted) Growth,-,13.89%,4.76%,67.27%,5.58%
Diluted Shares Outstanding,11.21B,11.05B,10.78B,10.24B,9.44B
