Description,2015 ,2016,2017,2018,2019

Sales/Revenue,-,414.82M,421.05M,437.54M,523.58M
Sales Growth,-,-,1.50%,3.91%,19.66%
Cost of Goods Sold (COGS) incl. D&A,-,148.61M,141.84M,151.67M,217.56M
COGS excluding D&A,-,123.54M,119.64M,129.34M,183.96M
Depreciation & Amortization Expense,-,25.07M,22.2M,22.33M,33.61M
Depreciation,-,19.49M,16.62M,16.86M,27.67M
Amortization of Intangibles,-,5.58M,5.58M,5.47M,5.93M
COGS Growth,-,-,-4.56%,6.93%,43.44%
Gross Income,-,266.2M,279.21M,285.86M,306.01M
Gross Income Growth,-,-,4.89%,2.38%,7.05%
Gross Profit Margin,-,-,-,-,58.45%

SG&A Expense,-,153.13M,155.34M,156.02M,180.4M
Research & Development,-,-,-,-,-
Other SG&A,-,153.13M,155.34M,156.02M,180.4M
SGA Growth,-,-,1.44%,0.44%,15.62%
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,2.66M,-,-,12.69M
EBIT after Unusual Expense,-,110.42M,-,-,112.92M
Non Operating Income/Expense,-,"(623,000)","(154,000)",(9.19M),"183,000"
Non-Operating Interest Income,-,"180,000","194,000","173,000",1.9M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,-,26.58M,22.81M,23.03M,39.83M
Interest Expense Growth,-,-,-14.20%,0.95%,72.99%
Gross Interest Expense,-,26.58M,22.81M,23.03M,39.83M
Interest Capitalized,-,-,-,-,-
Pretax Income,-,83.39M,101.11M,97.8M,75.18M
Pretax Income Growth,-,-,21.24%,-3.27%,-23.13%
Pretax Margin,-,-,-,-,14.36%
Income Tax,-,38.55M,38.86M,26.36M,20.05M
Income Tax - Current Domestic,-,34.19M,43.99M,20.48M,11.06M
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,4.36M,(5.13M),5.88M,9M
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,(1.03M),(2.34M),"640,000",-
Consolidated Net Income,-,43.81M,59.9M,72.08M,55.13M
Minority Interest Expense,-,-,-,-,-
Net Income,-,43.81M,59.9M,72.08M,55.13M
Net Income Growth,-,-,36.73%,20.32%,-23.51%
Net Margin Growth,-,-,-,-,10.53%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,43.81M,59.9M,72.08M,55.13M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,-,43.81M,59.9M,72.08M,55.13M
EPS (Basic),-,1.17,1.64,1.95,1.46
EPS (Basic) Growth,-,-,40.27%,18.83%,-25.07%
Basic Shares Outstanding,-,37.42M,36.48M,36.94M,37.71M
EPS (Diluted),-,1.12,1.56,1.87,1.46
EPS (Diluted) Growth,-,-,39.60%,19.98%,-22.03%
Diluted Shares Outstanding,-,39.25M,38.44M,38.55M,37.82M
EBITDA,-,138.15M,146.08M,152.17M,159.22M
EBITDA Growth,-,-,5.74%,4.17%,4.63%
EBITDA Margin,-,-,-,-,30.41%
