Description,2015 ,2016,2017,2018,2019

Sales/Revenue,4.96B,4.98B,4.75B,4.53B,4.06B
Sales Growth,-,0.33%,-4.62%,-4.54%,-10.47%
Cost of Goods Sold (COGS) incl. D&A,4.25B,4.05B,3.98B,3.91B,3.56B
COGS excluding D&A,3.51B,3.54B,3.49B,3.46B,3.18B
Depreciation & Amortization Expense,733.17M,513.54M,482.08M,447.46M,379.43M
Depreciation,720.97M,511.2M,476.48M,444.36M,377.63M
Amortization of Intangibles,12.2M,2.34M,5.6M,3.1M,1.8M
COGS Growth,-,-4.59%,-1.86%,-1.62%,-8.98%
Gross Income,715.28M,926.44M,771.75M,620.41M,497.11M
Gross Income Growth,-,29.52%,-16.70%,-19.61%,-19.87%
Gross Profit Margin,-,-,-,-,12.25%

SG&A Expense,614.45M,693.91M,592.37M,534.99M,488.96M
Research & Development,-,-,-,-,-
Other SG&A,614.45M,693.91M,592.37M,534.99M,488.96M
SGA Growth,-,12.93%,-14.63%,-9.69%,-8.60%
Other Operating Expense,-,-,-,-,-
Unusual Expense,273.85M,272.97M,462.01M,691.75M,58.11M
EBIT after Unusual Expense,(173.02M),(40.43M),(282.63M),(606.33M),(49.96M)
Non Operating Income/Expense,9.83M,22.02M,30.69M,307.35M,22.01M
Non-Operating Interest Income,1.6M,2.93M,4.62M,9.85M,9.86M
Equity in Affiliates (Pretax),"(804,000)",1.66M,(14.83M),(8.8M),(4.54M)
Interest Expense,387.97M,385.44M,325.98M,279.87M,248.13M
Interest Expense Growth,-,-0.65%,-15.43%,-14.15%,-11.34%
Gross Interest Expense,387.97M,385.44M,325.98M,279.87M,248.13M
Interest Capitalized,-,-,-,-,-
Pretax Income,(550.36M),(399.26M),(588.12M),(577.81M),(270.76M)
Pretax Income Growth,-,27.46%,-47.30%,1.75%,53.14%
Pretax Margin,-,-,-,-,-6.67%
Income Tax,(92.21M),5.38M,(16.52M),(49.46M),(2.27M)
Income Tax - Current Domestic,3.05M,2.13M,(2.2M),2.91M,"385,000"
Income Tax - Current Foreign,-,-,(15.31M),-,-
Income Tax - Deferred Domestic,(95.26M),3.25M,"995,000",(52.37M),(2.65M)
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,(458.16M),(404.64M),(571.61M),(528.35M),(268.49M)
Minority Interest Expense,"(678,000)","(239,000)","(187,000)","(94,000)","(561,000)"
Net Income,(457.48M),(404.4M),(571.42M),(528.26M),(267.93M)
Net Income Growth,-,11.60%,-41.30%,7.55%,49.28%
Net Margin Growth,-,-,-,-,-6.60%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,(457.48M),(404.4M),(571.42M),(528.26M),(267.93M)
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,(457.48M),(404.4M),(571.42M),(528.26M),(267.93M)
EPS (Basic),(2.48),(2.18),(3.07),(2.82),(1.44)
EPS (Basic) Growth,-,12.10%,-40.83%,8.21%,48.86%
Basic Shares Outstanding,184.33M,185.65M,186.16M,187.47M,185.91M
EPS (Diluted),(2.48),(2.18),(3.07),(2.82),(1.44)
EPS (Diluted) Growth,-,12.10%,-40.83%,8.21%,48.86%
Diluted Shares Outstanding,184.33M,185.65M,186.16M,187.47M,185.91M
EBITDA,834M,746.07M,661.46M,532.88M,387.59M
EBITDA Growth,-,-10.54%,-11.34%,-19.44%,-27.27%
EBITDA Margin,-,-,-,-,9.55%
