Description,2015 ,2016,2017,2018,2019

Sales/Revenue,16.56B,19.43B,20.78B,22.56B,26.15B
Sales Growth,-,17.31%,6.94%,8.59%,15.89%
Cost of Goods Sold (COGS) incl. D&A,3.75B,4.93B,5.82B,6.49B,8.9B
COGS excluding D&A,3.07B,4.31B,4.95B,5.78B,7.09B
Depreciation & Amortization Expense,683M,626M,872M,703M,1.81B
Depreciation,500M,448M,682M,505M,554M
Amortization of Intangibles,183M,178M,190M,198M,1.26B
COGS Growth,-,31.38%,17.96%,11.48%,37.14%
Gross Income,12.81B,14.5B,14.96B,16.08B,17.25B
Gross Income Growth,-,13.19%,3.19%,7.47%,7.31%
Gross Profit Margin,-,-,-,-,65.98%

SG&A Expense,8.87B,9.32B,9.72B,9.68B,10.81B
Research & Development,4.04B,4.41B,4.97B,5.13B,5.95B
Other SG&A,4.83B,4.91B,4.75B,4.55B,4.86B
SGA Growth,-,5.05%,4.33%,-0.39%,11.67%
Other Operating Expense,-,-,-,-,-
Unusual Expense,2.55B,868M,2B,1.62B,2.63B
EBIT after Unusual Expense,1.39B,4.31B,(2B),4.78B,3.81B
Non Operating Income/Expense,687M,1.59B,1.89B,1.11B,1.36B
Non-Operating Interest Income,101M,105M,126M,173M,464M
Equity in Affiliates (Pretax),83M,77M,75M,93M,(4M)
Interest Expense,184M,167M,196M,183M,656M
Interest Expense Growth,-,-9.24%,17.37%,-6.63%,258.47%
Gross Interest Expense,186M,177M,196M,183M,656M
Interest Capitalized,2M,10M,-,-,-
Pretax Income,2.08B,5.92B,5.13B,5.97B,4.98B
Pretax Income Growth,-,184.79%,-13.25%,16.31%,-16.64%
Pretax Margin,-,-,-,-,19.03%
Income Tax,446M,1.41B,4.16B,1.02B,1.52B
Income Tax - Current Domestic,337M,1.14B,2.78B,485M,1B
Income Tax - Current Foreign,456M,468M,364M,450M,1.44B
Income Tax - Deferred Domestic,(394M),(101M),1.06B,29M,(113M)
Income Tax - Deferred Foreign,47M,(103M),(53M),57M,(811M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.63B,4.51B,975M,4.95B,3.46B
Minority Interest Expense,66M,50M,(32M),27M,21M
Net Income,1.57B,4.46B,1.01B,4.92B,3.44B
Net Income Growth,-,184.79%,-77.41%,388.58%,-30.10%
Net Margin Growth,-,-,-,-,13.15%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.57B,4.46B,1.01B,4.92B,3.44B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.57B,4.46B,1.01B,4.92B,3.44B
EPS (Basic),0.94,2.67,0.61,3.01,2.02
EPS (Basic) Growth,-,184.12%,-77.05%,392.14%,-33.05%
Basic Shares Outstanding,1.67B,1.67B,1.65B,1.63B,1.71B
EPS (Diluted),0.93,2.65,0.61,3.01,2.01
EPS (Diluted) Growth,-,184.63%,-77.02%,393.03%,-33.16%
Diluted Shares Outstanding,1.68B,1.68B,1.65B,1.64B,1.71B
EBITDA,4.62B,5.81B,6.11B,7.1B,8.25B
EBITDA Growth,-,25.62%,5.27%,16.13%,16.22%
EBITDA Margin,-,-,-,-,31.55%
