Description,2015 ,2016,2017,2018,2019

Sales/Revenue,-,-,"826,630",1.34B,2.94B
Sales Growth,-,-,-,"162,266.05%",119.11%
Cost of Goods Sold (COGS) incl. D&A,-,-,474.49M,2.31B,3.78B
COGS excluding D&A,-,-,299.24M,1.47B,2.71B
Depreciation & Amortization Expense,-,-,175.25M,844.04M,1.07B
Depreciation,-,-,175.25M,647.07M,892.55M
Amortization of Intangibles,-,-,-,-,-
COGS Growth,-,-,-,386.83%,63.67%
Gross Income,-,-,(473.66M),(967.76M),(839.74M)
Gross Income Growth,-,-,-,-104.32%,13.23%
Gross Profit Margin,-,-,-,-,-28.55%

SG&A Expense,-,6.32M,146.31M,314.99M,443.64M
Research & Development,-,-,-,-,-
Other SG&A,-,6.32M,146.31M,314.99M,443.64M
SGA Growth,-,-,"2,213.58%",115.28%,40.84%
Other Operating Expense,-,-,38.85M,-,-
Unusual Expense,-,-,211.62M,459.06M,361.77M
EBIT after Unusual Expense,-,-,(870.44M),(1.74B),(1.65B)
Non Operating Income/Expense,-,-,120.69M,338.59M,(73.06M)
Non-Operating Interest Income,-,-,26.45M,9.77M,13.2M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,-,-,4.13M,140M,749.96M
Interest Expense Growth,-,-,-,"3,287.14%",435.70%
Gross Interest Expense,-,-,4.13M,140M,912.8M
Interest Capitalized,-,-,-,-,162.84M
Pretax Income,-,(6.32M),(727.43M),(1.53B),(2.45B)
Pretax Income Growth,-,-,"-11,402.56%",-110.80%,-60.10%
Pretax Margin,-,-,-,-,-83.48%
Income Tax,-,"16,797",-,20.35M,98.59M
Income Tax - Current Domestic,-,-,-,16.28M,87.14M
Income Tax - Current Foreign,-,"16,797",-,-,-
Income Tax - Deferred Domestic,-,-,-,4.07M,11.44M
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,(79.22M)
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,-,(6.34M),(727.43M),(1.55B),(2.63B)
Minority Interest Expense,-,-,-,(3.26M),(13.2M)
Net Income,-,(6.34M),(727.43M),(1.55B),(2.62B)
Net Income Growth,-,-,"-11,372.09%",-113.15%,-68.95%
Net Margin Growth,-,-,-,-,-89.08%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,(6.34M),(727.43M),(1.55B),(2.62B)
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,-,(6.34M),(727.43M),(1.55B),(2.62B)
EPS (Basic),-,(3.15),(7.44),(14.76),(24.37)
EPS (Basic) Growth,-,-,-136.22%,-98.36%,-65.16%
Basic Shares Outstanding,-,2.02M,95.26M,105.07M,107.48M
EPS (Diluted),-,(3.15),(7.44),(14.76),(24.37)
EPS (Diluted) Growth,-,-,-136.22%,-98.36%,-65.16%
Diluted Shares Outstanding,-,2.02M,95.26M,105.07M,107.48M
EBITDA,-,-,(483.58M),(438.71M),(213.02M)
EBITDA Growth,-,-,-,9.28%,51.44%
EBITDA Margin,-,-,-,-,-7.24%
