Description,2015 ,2016,2017,2018,2019

Sales/Revenue,15.71B,16.39B,17.51B,18.88B,20.83B
Sales Growth,-,4.30%,6.84%,7.83%,10.30%
Cost of Goods Sold (COGS) incl. D&A,11.07B,11.12B,12.04B,13.11B,15.07B
COGS excluding D&A,9.45B,9.38B,10.2B,11.09B,12.91B
Depreciation & Amortization Expense,1.63B,1.74B,1.85B,2.02B,2.16B
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
COGS Growth,-,0.43%,8.29%,8.83%,14.96%
Gross Income,4.64B,5.27B,5.47B,5.78B,5.76B
Gross Income Growth,-,13.51%,3.78%,5.63%,-0.29%
Gross Profit Margin,-,-,-,-,27.65%

SG&A Expense,2.07B,2.2B,2.27B,2.45B,2.48B
Research & Development,-,-,-,-,-
Other SG&A,2.07B,2.2B,2.27B,2.45B,2.48B
SGA Growth,-,6.29%,3.10%,8.17%,1.22%
Other Operating Expense,-,-,-,-,-
Unusual Expense,332M,(236M),166M,(94M),(23M)
EBIT after Unusual Expense,2.24B,3.31B,(166M),3.42B,3.3B
Non Operating Income/Expense,(239M),(262M),(181M),(32M),(42M)
Non-Operating Interest Income,13M,6M,9M,14M,23M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,217M,223M,198M,194M,222M
Interest Expense Growth,-,2.76%,-11.21%,-2.02%,14.43%
Gross Interest Expense,239M,249M,226M,230M,261M
Interest Capitalized,22M,26M,28M,36M,39M
Pretax Income,1.8B,2.83B,2.67B,3.21B,3.06B
Pretax Income Growth,-,57.20%,-5.73%,20.29%,-4.58%
Pretax Margin,-,-,-,-,14.69%
Income Tax,42M,49M,60M,55M,70M
Income Tax - Current Domestic,42M,49M,60M,55M,70M
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.76B,2.78B,2.61B,3.15B,2.99B
Minority Interest Expense,-,-,-,-,-
Net Income,1.76B,2.78B,2.61B,3.15B,2.99B
Net Income Growth,-,58.17%,-6.23%,20.95%,-5.14%
Net Margin Growth,-,-,-,-,14.36%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.76B,2.78B,2.61B,3.15B,2.99B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.76B,2.78B,2.61B,3.15B,2.99B
EPS (Basic),2.26,3.73,3.61,4.45,4.33
EPS (Basic) Growth,-,65.04%,-3.22%,23.27%,-2.62%
Basic Shares Outstanding,777M,745M,722M,709M,690M
EPS (Diluted),2.26,3.72,3.59,4.44,4.32
EPS (Diluted) Growth,-,64.60%,-3.49%,23.68%,-2.68%
Diluted Shares Outstanding,779M,747M,725M,710M,692M
EBITDA,4.2B,4.81B,5.05B,5.34B,5.44B
EBITDA Growth,-,14.50%,4.97%,5.82%,1.78%
EBITDA Margin,-,-,-,-,26.11%
