Description,2015 ,2016,2017,2018,2019

Sales/Revenue,12.7M,39.9M,77.95M,226.34M,398.77M
Sales Growth,-,214.16%,95.38%,190.37%,76.18%
Cost of Goods Sold (COGS) incl. D&A,34.77M,68.39M,53.1M,219.61M,502.19M
COGS excluding D&A,32.52M,62.32M,32.62M,172.69M,377.18M
Depreciation & Amortization Expense,2.26M,6.06M,20.49M,46.92M,125.01M
Depreciation,2.08M,4.15M,8.73M,30.06M,73.72M
Amortization of Intangibles,"177,000",1.92M,11.76M,16.86M,51.3M
COGS Growth,-,96.66%,-22.35%,313.56%,128.68%
Gross Income,(22.08M),(28.49M),24.85M,6.74M,(103.42M)
Gross Income Growth,-,-29.07%,187.20%,-72.89%,"-1,635.53%"
Gross Profit Margin,-,-,-,-,-25.93%

SG&A Expense,18.05M,39.36M,132.58M,620.79M,921.44M
Research & Development,"721,000","810,000",1.45M,15.24M,61.81M
Other SG&A,17.33M,38.55M,131.13M,605.56M,859.63M
SGA Growth,-,118.11%,236.81%,368.24%,48.43%
Other Operating Expense,-,-,-,-,-
Unusual Expense,(37.17M),(51.5M),(54.63M),172.72M,541.08M
EBIT after Unusual Expense,(2.95M),(16.36M),54.63M,(172.72M),(1.57B)
Non Operating Income/Expense,-,"(585,000)",1.48M,58.72M,61.69M
Non-Operating Interest Income,-,-,1.35M,49.31M,66.33M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,"140,000","66,000","784,000",18.42M,6.72M
Interest Expense Growth,-,-52.86%,"1,087.88%","2,248.85%",-63.53%
Gross Interest Expense,"140,000","66,000","784,000",18.42M,6.72M
Interest Capitalized,-,-,-,-,-
Pretax Income,(3.09M),(17.01M),(51.07M),(697.16M),(1.44B)
Pretax Income Growth,-,-449.74%,-200.24%,"-1,265.16%",-107.22%
Pretax Margin,-,-,-,-,-362.27%
Income Tax,"126,000","(401,000)",1.59M,4.11M,(121.61M)
Income Tax - Current Domestic,-,-,-,1.43M,12.34M
Income Tax - Current Foreign,-,-,-,"960,000",4.36M
Income Tax - Deferred Domestic,"126,000","(401,000)",1.59M,2.46M,(78.62M)
Income Tax - Deferred Foreign,-,-,-,"(740,000)",(59.69M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,"(276,000)","(50,000)",(1.47M),(10.75M),(64.42M)
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,(3.5M),(16.66M),(54.13M),(712.03M),(1.39B)
Minority Interest Expense,-,"(51,000)",16.22M,24.26M,(66.11M)
Net Income,(3.5M),(16.61M),(70.35M),(736.28M),(1.32B)
Net Income Growth,-,-375.03%,-323.63%,-946.55%,-79.46%
Net Margin Growth,-,-,-,-,-331.35%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,(3.5M),(16.61M),(70.35M),(736.28M),(1.32B)
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,(3.5M),(16.61M),(70.35M),(736.28M),(1.32B)
EPS (Basic),(0.05),(0.14),(0.40),(2.76),(3.80)
EPS (Basic) Growth,-,-180.00%,-183.43%,-594.96%,-37.67%
Basic Shares Outstanding,77.02M,118.99M,177.3M,267M,348.04M
EPS (Diluted),(0.05),(0.14),(0.40),(2.76),(3.80)
EPS (Diluted) Growth,-,-180.00%,-183.43%,-594.96%,-37.67%
Diluted Shares Outstanding,77.02M,118.99M,177.3M,267M,348.04M
EBITDA,(37.87M),(61.79M),(87.25M),(567.14M),(899.84M)
EBITDA Growth,-,-63.18%,-41.20%,-550.02%,-58.66%
EBITDA Margin,-,-,-,-,-225.65%
