Description,2015 ,2016,2017,2018,2019

Sales/Revenue,2.03B,2.02B,1.75B,1.91B,1.98B
Sales Growth,-,-0.43%,-13.52%,9.42%,3.80%
Cost of Goods Sold (COGS) incl. D&A,1.77B,1.72B,1.4B,1.52B,1.41B
COGS excluding D&A,1.64B,1.61B,1.31B,1.43B,1.33B
Depreciation & Amortization Expense,134M,115.4M,87.7M,89M,85.1M
Depreciation,129.8M,110.6M,72.6M,73M,84.1M
Amortization of Intangibles,4.2M,4.8M,15.1M,16M,1M
COGS Growth,-,-2.89%,-18.85%,8.88%,-7.19%
Gross Income,254.3M,296.7M,348.3M,388.7M,570.7M
Gross Income Growth,-,16.67%,17.39%,11.60%,46.82%
Gross Profit Margin,-,-,-,-,28.79%

SG&A Expense,110M,117.8M,102.9M,116.8M,119.4M
Research & Development,-,-,-,-,-
Other SG&A,110M,117.8M,102.9M,116.8M,119.4M
SGA Growth,-,7.09%,-12.65%,13.51%,2.23%
Other Operating Expense,-,12.4M,-,-,27M
Unusual Expense,(398.7M),(258.9M),42.4M,(388.9M),13.2M
EBIT after Unusual Expense,543M,425.4M,(42.4M),660.8M,411.1M
Non Operating Income/Expense,(1.4M),(17.9M),32M,22.8M,2.2M
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,228.5M,200.5M,126.8M,118.9M,101.2M
Interest Expense Growth,-,-12.25%,-36.76%,-6.23%,-14.89%
Gross Interest Expense,228.5M,200.5M,126.8M,125.4M,126M
Interest Capitalized,-,-,-,6.5M,24.8M
Pretax Income,313.1M,207M,108.2M,564.7M,312.1M
Pretax Income Growth,-,-33.89%,-47.73%,421.90%,-44.73%
Pretax Margin,-,-,-,-,15.74%
Income Tax,169.3M,(12.2M),(252.4M),(475.2M),17.6M
Income Tax - Current Domestic,8.5M,(11.6M),(252.4M),"200,000","(600,000)"
Income Tax - Current Foreign,"900,000","(100,000)",-,-,"200,000"
Income Tax - Deferred Domestic,165.8M,"(500,000)",-,(475.4M),18M
Income Tax - Deferred Foreign,(5.9M),-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,"(100,000)",-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,143.7M,219.2M,360.6M,1.04B,294.5M
Minority Interest Expense,"900,000",25.2M,(3.9M),-,-
Net Income,142.8M,194M,364.5M,1.04B,294.5M
Net Income Growth,-,35.85%,87.89%,185.29%,-71.68%
Net Margin Growth,-,-,-,-,14.86%
Extraordinaries & Discontinued Operations,(892.1M),(19.9M),2.5M,88.2M,(1.7M)
Extra Items & Gain/Loss Sale Of Assets,-,2.1M,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,(892.1M),(22M),2.5M,88.2M,(1.7M)
Net Income After Extraordinaries,(749.3M),174.1M,367M,1.13B,292.8M
Preferred Dividends,38.4M,-,-,-,-
Net Income Available to Common,(787.7M),172M,367M,1.13B,292.8M
EPS (Basic),(5.14),0.87,1.27,3.80,1.06
EPS (Basic) Growth,-,116.93%,46.22%,198.34%,-72.13%
Basic Shares Outstanding,153.23M,197.66M,288.44M,297.18M,276.76M
EPS (Diluted),(5.14),0.86,1.25,3.71,1.03
EPS (Diluted) Growth,-,116.72%,45.76%,196.09%,-72.25%
Diluted Shares Outstanding,153.61M,200.15M,292.96M,304.14M,284.48M
EBITDA,278.3M,281.9M,333.1M,360.9M,509.4M
EBITDA Growth,-,1.29%,18.16%,8.35%,41.15%
EBITDA Margin,-,-,-,-,25.70%
