Description,2015 ,2016,2017,2018,2019

Sales/Revenue,2.85B,2.92B,2.99B,3.22B,3.28B
Sales Growth,-,2.32%,2.49%,7.69%,1.90%
Cost of Goods Sold (COGS) incl. D&A,2.26B,2.33B,2.41B,2.6B,2.7B
COGS excluding D&A,2.07B,2.12B,2.17B,2.34B,2.44B
Depreciation & Amortization Expense,189.21M,209.07M,237.51M,261.16M,261.16M
Depreciation,186.9M,207.09M,235.09M,257.83M,256.12M
Amortization of Intangibles,2.31M,1.98M,2.42M,3.34M,5.04M
COGS Growth,-,3.25%,3.39%,7.85%,4.05%
Gross Income,596.83M,589.59M,583.46M,624.6M,580.78M
Gross Income Growth,-,-1.21%,-1.04%,7.05%,-7.02%
Gross Profit Margin,-,-,-,-,17.69%

SG&A Expense,156.74M,143.36M,153.28M,165.17M,173.38M
Research & Development,-,-,-,-,-
Other SG&A,156.74M,143.36M,153.28M,165.17M,173.38M
SGA Growth,-,-8.54%,6.92%,7.76%,4.97%
Other Operating Expense,-,-,-,-,-
Unusual Expense,9.73M,16.28M,15.61M,33.86M,57M
EBIT after Unusual Expense,430.37M,429.95M,414.57M,(33.86M),350.4M
Non Operating Income/Expense,(2.01M),"652,000",(5.51M),(34.97M),"(392,000)"
Non-Operating Interest Income,8.71M,6.4M,6.25M,10.61M,12.59M
Equity in Affiliates (Pretax),28.13M,31.96M,35.99M,39.24M,41.87M
Interest Expense,117.53M,108.31M,105.92M,129.72M,130.7M
Interest Expense Growth,-,-7.84%,-2.21%,22.47%,0.76%
Gross Interest Expense,117.53M,108.31M,105.92M,129.72M,130.7M
Interest Capitalized,-,-,-,-,-
Pretax Income,347.67M,360.65M,345.38M,310.73M,273.76M
Pretax Income Growth,-,3.73%,-4.23%,-10.03%,-11.90%
Pretax Margin,-,-,-,-,8.34%
Income Tax,128.94M,103.82M,79.36M,95.43M,79.91M
Income Tax - Current Domestic,81.97M,77.24M,65.07M,60.42M,57.73M
Income Tax - Current Foreign,35.87M,32.05M,29.31M,11.82M,24.02M
Income Tax - Deferred Domestic,14.43M,(7.14M),(10.75M),29.35M,(1.85M)
Income Tax - Deferred Foreign,(3.34M),1.67M,(4.27M),(6.17M),"5,000"
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(1.31M),(1.19M),(1.35M),(1.17M),(1.17M)
Consolidated Net Income,217.42M,255.64M,264.67M,214.14M,192.67M
Minority Interest Expense,1.86M,1.74M,1.84M,1.48M,2.46M
Net Income,215.56M,253.9M,262.83M,212.66M,190.21M
Net Income Growth,-,17.79%,3.52%,-19.09%,-10.56%
Net Margin Growth,-,-,-,-,5.79%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,215.56M,253.9M,262.83M,212.66M,190.21M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,215.56M,253.9M,262.83M,212.66M,190.21M
EPS (Basic),1.87,2.20,2.27,1.83,1.64
EPS (Basic) Growth,-,17.55%,3.28%,-19.29%,-10.75%
Basic Shares Outstanding,115.08M,115.51M,115.77M,116.05M,116.31M
EPS (Diluted),1.87,2.19,2.26,1.83,1.63
EPS (Diluted) Growth,-,17.11%,3.20%,-19.12%,-10.76%
Diluted Shares Outstanding,115.4M,115.78M,116.06M,116.34M,116.61M
EBITDA,629.3M,655.3M,667.69M,720.59M,668.55M
EBITDA Growth,-,4.13%,1.89%,7.92%,-7.22%
EBITDA Margin,-,-,-,-,20.36%
