Description,2015 ,2016,2017,2018,2019

Sales/Revenue,4.34B,7.65B,9.4B,6.29B,4.72B
Sales Growth,-,76.07%,22.89%,-33.10%,-24.98%
Cost of Goods Sold (COGS) incl. D&A,1.89B,3.39B,3.91B,2.74B,2.21B
COGS excluding D&A,1.66B,2.84B,3.17B,2B,1.39B
Depreciation & Amortization Expense,232M,555.1M,737M,736M,821M
Depreciation,152.5M,280M,384.2M,489.3M,587.9M
Amortization of Intangibles,79.5M,275.1M,352.8M,246.7M,233.1M
COGS Growth,-,79.37%,15.27%,-30.04%,-19.22%
Gross Income,2.45B,4.26B,5.49B,3.55B,2.51B
Gross Income Growth,-,73.53%,28.97%,-35.28%,-29.41%
Gross Profit Margin,-,-,-,-,53.15%

SG&A Expense,1.94B,3.91B,4.85B,3.31B,2.89B
Research & Development,47.7M,139.2M,174.6M,98.5M,93.4M
Other SG&A,1.89B,3.78B,4.68B,3.21B,2.8B
SGA Growth,-,101.54%,23.90%,-31.80%,-12.51%
Other Operating Expense,-,-,-,-,-
Unusual Expense,329.9M,789.3M,451.5M,3.93B,964.5M
EBIT after Unusual Expense,(329.9M),(448M),(451.5M),(3.93B),(1.35B)
Non Operating Income/Expense,49.1M,(9.9M),(41.6M),(11.9M),97.7M
Non-Operating Interest Income,4.1M,4.4M,13.6M,19.2M,5.4M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,94.7M,204.5M,311.5M,264.5M,219.4M
Interest Expense Growth,-,115.95%,52.32%,-15.09%,-17.05%
Gross Interest Expense,94.7M,204.5M,311.5M,264.5M,219.4M
Interest Capitalized,-,-,-,-,-
Pretax Income,138.8M,(658M),(152.5M),(3.95B),(1.47B)
Pretax Income Growth,-,-574.06%,76.82%,"-2,487.15%",62.80%
Pretax Margin,-,-,-,-,-31.11%
Income Tax,(40.4M),(259.5M),(24.7M),(54.8M),(377.7M)
Income Tax - Current Domestic,(32.7M),1.5M,10M,9M,"(300,000)"
Income Tax - Current Foreign,131.5M,129M,67M,129.4M,90.7M
Income Tax - Deferred Domestic,(101.6M),(281.1M),24.5M,(166M),(337.3M)
Income Tax - Deferred Foreign,(37.6M),(108.9M),(126.2M),(27.2M),(130.8M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,179.2M,(398.5M),(127.8M),(3.89B),(1.09B)
Minority Interest Expense,22.3M,23.7M,41M,14.6M,4M
Net Income,156.9M,(422.2M),(168.8M),(3.91B),(1.09B)
Net Income Growth,-,-369.09%,60.02%,"-2,213.51%",71.99%
Net Margin Growth,-,-,-,-,-23.19%
Extraordinaries & Discontinued Operations,-,-,-,121M,87.2M
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,121M,87.2M
Net Income After Extraordinaries,156.9M,(422.2M),(168.8M),(3.78B),(1.01B)
Preferred Dividends,-,-,-,-,6.5M
Net Income Available to Common,156.9M,(422.2M),(168.8M),(3.78B),(1.01B)
EPS (Basic),0.45,(0.66),(0.23),(5.04),(1.33)
EPS (Basic) Growth,-,-246.67%,65.15%,"-2,090.22%",73.50%
Basic Shares Outstanding,345.5M,642.8M,749.7M,751.2M,759.1M
EPS (Diluted),0.44,(0.66),(0.23),(5.04),(1.33)
EPS (Diluted) Growth,-,-250.00%,65.15%,"-2,090.22%",73.50%
Diluted Shares Outstanding,354.2M,642.8M,749.7M,751.2M,759.1M
EBITDA,742.2M,896.4M,1.38B,980.2M,434.2M
EBITDA Growth,-,20.78%,53.45%,-28.74%,-55.70%
EBITDA Margin,-,-,-,-,9.20%
