Description,2015 ,2016,2017,2018,2019

Sales/Revenue,3.34B,3.47B,3.62B,3.62B,3.11B
Sales Growth,-,3.89%,4.18%,0.16%,-14.23%
Cost of Goods Sold (COGS) incl. D&A,2.77B,2.82B,2.96B,3.09B,2.77B
COGS excluding D&A,2.65B,2.7B,2.83B,2.94B,2.62B
Depreciation & Amortization Expense,114.43M,122.66M,138.09M,146.7M,151.95M
Depreciation,100.54M,109.09M,124.03M,131.85M,133.99M
Amortization of Intangibles,13.89M,13.57M,14.06M,14.84M,17.97M
COGS Growth,-,1.83%,5.13%,4.33%,-10.40%
Gross Income,574.6M,653.95M,654.7M,532.35M,338.38M
Gross Income Growth,-,13.81%,0.11%,-18.69%,-36.44%
Gross Profit Margin,-,-,-,-,10.89%

SG&A Expense,329.92M,359.78M,340.96M,309.92M,300.41M
Research & Development,108.76M,117.79M,127.97M,122.53M,114.85M
Other SG&A,221.16M,241.99M,212.99M,187.4M,185.55M
SGA Growth,-,9.05%,-5.23%,-9.10%,-3.07%
Other Operating Expense,-,-,-,-,-
Unusual Expense,61.26M,58.31M,50.92M,124.36M,76.33M
EBIT after Unusual Expense,183.43M,235.86M,(50.92M),(124.36M),(38.35M)
Non Operating Income/Expense,1.41M,(11.34M),(15.52M),5.72M,174.27M
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),5.68M,7.88M,5.52M,6.72M,6.5M
Interest Expense,37.53M,37.64M,39.71M,40.84M,44.11M
Interest Expense Growth,-,0.30%,5.51%,2.84%,8.01%
Gross Interest Expense,37.53M,37.64M,39.71M,40.84M,44.11M
Interest Capitalized,-,-,-,-,-
Pretax Income,152.99M,194.76M,213.1M,69.66M,98.3M
Pretax Income Growth,-,27.30%,9.42%,-67.31%,41.13%
Pretax Margin,-,-,-,-,3.16%
Income Tax,41.22M,54.32M,74.53M,(29.4M),36.09M
Income Tax - Current Domestic,27.46M,23.17M,41.11M,(11.19M),"(398,000)"
Income Tax - Current Foreign,16.46M,22.07M,22.34M,20.72M,20.61M
Income Tax - Deferred Domestic,6.69M,2.73M,18.01M,(2.46M),3.64M
Income Tax - Deferred Foreign,(9.39M),6.35M,(6.94M),(36.47M),12.24M
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,111.77M,140.44M,138.57M,99.06M,62.21M
Minority Interest Expense,"(110,000)",1.45M,3.27M,(4.55M),(5.32M)
Net Income,111.88M,138.99M,135.3M,103.6M,67.53M
Net Income Growth,-,24.23%,-2.65%,-23.43%,-34.82%
Net Margin Growth,-,-,-,-,2.17%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,111.88M,138.99M,135.3M,103.6M,67.53M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,111.88M,138.99M,135.3M,103.6M,67.53M
EPS (Basic),6.50,7.96,7.61,5.79,3.94
EPS (Basic) Growth,-,22.46%,-4.41%,-23.92%,-31.97%
Basic Shares Outstanding,17.21M,17.46M,17.78M,17.89M,17.15M
EPS (Diluted),6.08,7.42,7.21,5.66,3.92
EPS (Diluted) Growth,-,22.04%,-2.89%,-21.39%,-30.72%
Diluted Shares Outstanding,18.41M,18.73M,18.78M,18.29M,17.21M
EBITDA,359.11M,416.83M,451.82M,369.12M,189.93M
EBITDA Growth,-,16.07%,8.39%,-18.30%,-48.55%
EBITDA Margin,-,-,-,-,6.11%
