Description,2015 ,2016,2017,2018,2019

Sales/Revenue,10.25B,11.96B,13.67B,14.1B,16.37B
Sales Growth,-,16.75%,14.29%,3.10%,16.12%
Cost of Goods Sold (COGS) incl. D&A,7.22B,8.12B,9.4B,9.78B,11.84B
COGS excluding D&A,6.16B,6.85B,7.96B,8.28B,10.15B
Depreciation & Amortization Expense,1.06B,1.27B,1.44B,1.51B,1.7B
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
COGS Growth,-,12.43%,15.84%,4.05%,21.03%
Gross Income,3.03B,3.85B,4.27B,4.31B,4.53B
Gross Income Growth,-,27.07%,11.01%,1.00%,4.97%
Gross Profit Margin,-,-,-,-,27.65%

SG&A Expense,1.35B,1.6B,1.77B,1.83B,1.95B
Research & Development,-,-,-,-,-
Other SG&A,1.35B,1.6B,1.77B,1.83B,1.95B
SGA Growth,-,18.98%,10.28%,3.42%,6.57%
Other Operating Expense,-,-,-,-,-
Unusual Expense,216.5M,(172.28M),129.63M,(70.18M),(18.08M)
EBIT after Unusual Expense,1.46B,2.41B,(129.63M),2.55B,2.59B
Non Operating Income/Expense,(155.86M),(191.26M),(141.34M),(23.89M),(33.01M)
Non-Operating Interest Income,8.48M,4.38M,7.03M,10.45M,18.08M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,141.51M,162.79M,154.61M,144.84M,174.49M
Interest Expense Growth,-,15.04%,-5.02%,-6.32%,20.47%
Gross Interest Expense,155.86M,181.77M,176.48M,171.72M,205.15M
Interest Capitalized,14.35M,18.98M,21.86M,26.88M,30.65M
Pretax Income,1.17B,2.06B,2.08B,2.39B,2.41B
Pretax Income Growth,-,75.97%,0.84%,15.01%,0.45%
Pretax Margin,-,-,-,-,14.69%
Income Tax,27.39M,35.77M,46.85M,41.06M,55.02M
Income Tax - Current Domestic,27.39M,35.77M,46.85M,41.06M,55.02M
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.15B,2.03B,2.03B,2.35B,2.35B
Minority Interest Expense,-,-,-,-,-
Net Income,1.15B,2.03B,2.03B,2.35B,2.35B
Net Income Growth,-,77.06%,0.31%,15.64%,-0.13%
Net Margin Growth,-,-,-,-,14.36%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.15B,2.03B,2.03B,2.35B,2.35B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.15B,2.03B,2.03B,2.35B,2.35B
EPS (Basic),1.47,2.72,2.82,3.32,3.41
EPS (Basic) Growth,-,84.75%,3.53%,17.86%,2.52%
Basic Shares Outstanding,777M,745M,722M,709M,690M
EPS (Diluted),1.47,2.72,2.80,3.31,3.40
EPS (Diluted) Growth,-,84.26%,3.23%,18.25%,2.45%
Diluted Shares Outstanding,779M,747M,725M,710M,692M
EBITDA,2.74B,3.51B,3.94B,3.99B,4.27B
EBITDA Growth,-,28.17%,12.29%,1.18%,7.15%
EBITDA Margin,-,-,-,-,26.11%
