Description,2015 ,2016,2017,2018,2019

Sales/Revenue,-,-,67.44M,110.56M,188.84M
Sales Growth,-,-,-,63.95%,70.80%
Cost of Goods Sold (COGS) incl. D&A,-,-,43.47M,77.85M,135.21M
COGS excluding D&A,-,-,42.98M,76.88M,133.68M
Depreciation & Amortization Expense,-,-,"492,733","966,902",1.53M
Depreciation,-,-,"484,447","959,497",1.52M
Amortization of Intangibles,-,-,"8,286","7,405","7,815"
COGS Growth,-,-,-,79.07%,73.68%
Gross Income,-,-,23.96M,32.71M,53.64M
Gross Income Growth,-,-,-,36.52%,63.96%
Gross Profit Margin,-,-,-,-,28.40%

SG&A Expense,-,-,43.2M,65.83M,140.6M
Research & Development,-,-,19.69M,27.81M,39.85M
Other SG&A,-,-,23.51M,38.02M,100.75M
SGA Growth,-,-,-,52.37%,113.58%
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,-,-,-,"(124,894)"
EBIT after Unusual Expense,-,-,-,-,(86.84M)
Non Operating Income/Expense,-,-,"83,750",7.4M,2.78M
Non-Operating Interest Income,-,-,"33,737",1.32M,1.75M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,-,-,4.37M,5.53M,4.38M
Interest Expense Growth,-,-,-,26.52%,-20.84%
Gross Interest Expense,-,-,4.37M,5.53M,4.38M
Interest Capitalized,-,-,-,-,-
Pretax Income,-,-,(23.49M),(29.92M),(86.69M)
Pretax Income Growth,-,-,-,-27.37%,-189.71%
Pretax Margin,-,-,-,-,-45.91%
Income Tax,-,-,"763,810",1.71M,"351,961"
Income Tax - Current Domestic,-,-,"763,810",1.71M,"351,961"
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,(4.58M),(5.19M)
Consolidated Net Income,-,-,(24.26M),(36.21M),(92.24M)
Minority Interest Expense,-,-,(4.49M),"(58,183)","6,947"
Net Income,-,-,(19.77M),(36.15M),(92.24M)
Net Income Growth,-,-,-,-82.91%,-155.15%
Net Margin Growth,-,-,-,-,-48.85%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,-,(19.77M),(36.15M),(92.24M)
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,-,-,(19.77M),(36.15M),(92.24M)
EPS (Basic),-,-,(0.18),(0.32),(0.97)
EPS (Basic) Growth,-,-,-,-82.91%,-201.09%
Basic Shares Outstanding,-,-,112.61M,112.61M,95.45M
EPS (Diluted),-,-,(0.18),(0.32),(0.97)
EPS (Diluted) Growth,-,-,-,-82.91%,-201.09%
Diluted Shares Outstanding,-,-,112.61M,112.61M,95.45M
EBITDA,-,-,(18.75M),(32.15M),(85.43M)
EBITDA Growth,-,-,-,-71.48%,-165.73%
EBITDA Margin,-,-,-,-,-45.24%
