Description,2015 ,2016,2017,2018,2019

Sales/Revenue,46.54M,45.87M,46.74M,47.02M,45.96M
Sales Growth,-,-1.43%,1.89%,0.59%,-2.24%
Cost of Goods Sold (COGS) incl. D&A,33.14M,31.63M,32.33M,32.56M,32.42M
COGS excluding D&A,27.82M,28.2M,28.76M,29.28M,29.24M
Depreciation & Amortization Expense,5.33M,3.43M,3.57M,3.29M,3.18M
Depreciation,5.33M,3.43M,3.57M,3.29M,3.18M
Amortization of Intangibles,-,-,-,-,-
COGS Growth,-,-4.57%,2.21%,0.72%,-0.43%
Gross Income,13.4M,14.24M,14.41M,14.45M,13.54M
Gross Income Growth,-,6.33%,1.19%,0.29%,-6.32%
Gross Profit Margin,-,-,-,-,29.46%

SG&A Expense,7.41M,7.4M,7.35M,7.31M,7.52M
Research & Development,-,-,-,-,-
Other SG&A,7.41M,7.4M,7.35M,7.31M,7.52M
SGA Growth,-,-0.20%,-0.70%,-0.50%,2.93%
Other Operating Expense,-,-,-,-,-
Unusual Expense,"(86,000)","278,000","158,000","424,000",2.18M
EBIT after Unusual Expense,6.07M,6.57M,"(158,000)",6.72M,3.84M
Non Operating Income/Expense,2.86M,"23,000","(201,000)",2.41M,3.26M
Non-Operating Interest Income,-,-,-,-,"22,000"
Equity in Affiliates (Pretax),-,-,-,-,"161,000"
Interest Expense,"323,000","199,000","169,000","62,000",-
Interest Expense Growth,-,-38.39%,-15.08%,-63.31%,-
Gross Interest Expense,"323,000","199,000","169,000","62,000",-
Interest Capitalized,-,-,-,-,-
Pretax Income,8.6M,6.39M,6.54M,9.07M,7.29M
Pretax Income Growth,-,-25.69%,2.30%,38.70%,-19.64%
Pretax Margin,-,-,-,-,15.85%
Income Tax,3.31M,2.59M,(1.89M),2.18M,1.79M
Income Tax - Current Domestic,4.14M,3.25M,2.4M,3.14M,1.37M
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,"(828,000)","(661,000)",(4.29M),"(966,000)","413,000"
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),"(82,000)","(61,000)","(133,000)","(111,000)","(87,000)"
Consolidated Net Income,5.2M,3.74M,8.29M,6.78M,5.41M
Minority Interest Expense,-,-,-,-,-
Net Income,5.2M,3.74M,8.29M,6.78M,5.41M
Net Income Growth,-,-28.12%,121.74%,-18.27%,-20.14%
Net Margin Growth,-,-,-,-,11.78%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,5.2M,3.74M,8.29M,6.78M,5.41M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,5.2M,3.74M,8.29M,6.78M,5.41M
EPS (Basic),0.14,0.10,0.23,0.19,0.15
EPS (Basic) Growth,-,-28.57%,128.60%,-17.94%,-19.72%
Basic Shares Outstanding,36.16M,36.23M,36.28M,36.13M,35.95M
EPS (Diluted),0.14,0.10,0.23,0.19,0.15
EPS (Diluted) Growth,-,-28.57%,128.60%,-17.94%,-19.72%
Diluted Shares Outstanding,36.16M,36.23M,36.28M,36.13M,35.95M
EBITDA,11.31M,10.28M,10.63M,10.43M,9.2M
EBITDA Growth,-,-9.11%,3.44%,-1.90%,-11.80%
EBITDA Margin,-,-,-,-,20.01%
