Description,2015 ,2016,2017,2018,2019

Sales/Revenue,419.21M,483.49M,572.78M,647.44M,654.39M
Total Investment Income,-,-,-,5.51M,-
Sundry Revenue/Income,17.95M,14.7M,15.55M,18.43M,49.37M
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,3.6M,"800,000",74.7M,2.7M
Commission & Fee Income,-,3.6M,"800,000",74.7M,2.7M
Sales Growth,-,15.33%,18.47%,13.03%,1.07%
Total Expense,222.85M,267.68M,339.46M,364.89M,466.18M
Total Interest Expense,77.94M,91.91M,130.82M,137.56M,145.32M
Depreciation & Amortization Expense,89.81M,107.76M,132.84M,138.98M,158.49M
Other Operating Expense,"556,000",8.55M,1.52M,3.87M,53.81M

Operating Income,196.36M,215.81M,233.32M,282.55M,188.2M
Operating Income Growth,-,9.90%,8.12%,21.10%,-33.39%
Non-Operating Income (Expense),24.82M,5.93M,42.21M,3.02M,3.79M
Non-Operating Interest Income,"25,000",-,"192,000",-,-
Miscellaneous Non Operating Expense,23.83M,5.32M,41.94M,3.04M,4.17M
Equity in Affiliates (Pretax),"969,000","619,000","72,000","(22,000)","(381,000)"
Unusual Expense,26.37M,(3.8M),10.16M,61.33M,40.48M
Pretax Income,194.82M,225.54M,265.37M,224.23M,151.52M
Pretax Income Growth,-,15.77%,17.66%,-15.50%,-32.43%
Pretax Margin,-,-,-,-,23.15%
Income Taxes,"482,000","553,000",2.4M,2.29M,(3.04M)
Income Tax - Current - Domestic,"899,000","450,000","523,000","643,000","29,000"
Income Tax - Current - Foreign,"676,000",1.21M,1.11M,1.07M,1.05M
Income Tax - Deferred - Domestic,(1.14M),"(273,000)","(137,000)","573,000",(4.12M)
Income Tax - Deferred - Foreign,"43,000","(831,000)","906,000",-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,194.33M,224.98M,262.97M,221.95M,154.56M
Minority Interest Expense,-,-,-,-,-
Net Income,194.33M,224.98M,262.97M,221.95M,154.56M
Net Income Growth,-,15.77%,16.88%,-15.60%,-30.36%
Net Margin,-,-,-,-,23.62%
Extraordinaries & Discontinued Operations,"199,000",-,-,45.04M,47.69M
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,31.88M
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,"199,000",-,-,45.04M,15.81M
Net Income After Extraordinaries,194.13M,-,-,176.91M,106.87M
Preferred Dividends,23.81M,23.81M,28.75M,24.14M,24.14M
Net Income Available to Common,170.73M,201.18M,234.22M,242.84M,146.23M
EPS (Basic),2.94,3.17,3.29,3.27,1.91
EPS (Basic) - Growth,-,7.95%,3.79%,-0.65%,-41.71%
Basic Shares Outstanding,58.14M,63.38M,71.19M,74.29M,76.75M
EPS (Diluted),2.93,3.17,3.29,3.27,1.90
EPS (Diluted) Growth,-,8.30%,3.79%,-0.71%,-41.70%
Diluted Shares Outstanding,58.33M,63.47M,71.25M,74.34M,76.78M
