Description,2015 ,2016,2017,2018,2019

Sales/Revenue,411.38M,464.77M,592.88M,1.46B,1.49B
Sales Growth,-,12.98%,27.56%,146.69%,1.87%
Cost of Goods Sold (COGS) incl. D&A,296.13M,333.06M,459.06M,1.14B,1.13B
COGS excluding D&A,287.71M,323.24M,443.48M,1.1B,1.09B
Depreciation & Amortization Expense,8.42M,9.82M,15.58M,44.35M,45.4M
Depreciation,7.42M,8.72M,13.25M,28.77M,31.93M
Amortization of Intangibles,1M,1.1M,2.33M,15.58M,13.47M
COGS Growth,-,12.47%,37.83%,149.11%,-1.02%
Gross Income,115.25M,131.71M,133.83M,319M,357.98M
Gross Income Growth,-,14.28%,1.61%,138.37%,12.22%
Gross Profit Margin,-,-,-,-,24.03%

SG&A Expense,26.48M,33.33M,47.86M,69.49M,84.3M
Research & Development,-,-,-,-,-
Other SG&A,26.48M,33.33M,47.86M,69.49M,84.3M
SGA Growth,-,25.87%,43.60%,45.20%,21.31%
Other Operating Expense,-,-,-,-,-
Unusual Expense,6.84M,11.82M,63.32M,528.2M,559.72M
EBIT after Unusual Expense,(6.84M),(11.82M),22.65M,(278.7M),(286.04M)
Non Operating Income/Expense,3.65M,3.5M,(11.98M),13.08M,7.53M
Non-Operating Interest Income,"6,000","57,000","116,000","703,000","811,000"
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,37.97M,37.26M,34.85M,101.82M,105.31M
Interest Expense Growth,-,-1.86%,-6.47%,192.18%,3.42%
Gross Interest Expense,37.97M,37.26M,34.85M,101.82M,107.81M
Interest Capitalized,-,-,-,-,2.5M
Pretax Income,47.62M,52.86M,(24.07M),(366.74M),(383.01M)
Pretax Income Growth,-,11.00%,-145.54%,"-1,423.51%",-4.44%
Pretax Margin,-,-,-,-,-25.71%
Income Tax,18.44M,14.79M,(257.09M),(4.15M),37.21M
Income Tax - Current Domestic,"115,000","106,000",6.47M,56.32M,32.44M
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,18.32M,14.69M,(263.55M),(60.47M),4.77M
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,29.18M,38.07M,233.01M,(362.59M),(420.21M)
Minority Interest Expense,-,-,-,-,-
Net Income,29.18M,38.07M,233.01M,(362.59M),(420.21M)
Net Income Growth,-,30.43%,512.15%,-255.61%,-15.89%
Net Margin Growth,-,-,-,-,-28.20%
Extraordinaries & Discontinued Operations,-,-,"836,000",1.15M,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,"836,000",1.15M,-
Net Income After Extraordinaries,29.18M,38.07M,233.85M,(361.44M),(420.21M)
Preferred Dividends,"752,000",1.9M,2.02M,-,-
Net Income Available to Common,28.43M,36.16M,231.83M,(361.44M),(420.21M)
EPS (Basic),0.75,0.94,4.51,(2.62),(3.07)
EPS (Basic) Growth,-,25.33%,379.79%,-158.04%,-17.20%
Basic Shares Outstanding,38.08M,38.5M,51.39M,138.07M,136.97M
EPS (Diluted),0.73,0.91,4.38,(2.62),(3.07)
EPS (Diluted) Growth,-,24.66%,381.32%,-159.77%,-17.20%
Diluted Shares Outstanding,39.04M,39.57M,52.89M,138.07M,136.97M
EBITDA,97.19M,108.2M,101.55M,293.86M,319.07M
EBITDA Growth,-,11.33%,-6.15%,189.37%,8.58%
EBITDA Margin,-,-,-,-,21.42%
