Description,2015 ,2016,2017,2018,2019

Sales/Revenue,42.13B,31.79B,40.52B,54.09B,54.22B
Sales Growth,-,-24.53%,27.46%,33.47%,0.24%
Cost of Goods Sold (COGS) incl. D&A,38.77B,28.02B,36.23B,47.53B,46.11B
COGS excluding D&A,36.7B,25.8B,33.67B,44.67B,42.96B
Depreciation & Amortization Expense,2.08B,2.22B,2.55B,2.86B,3.15B
Depreciation,1.78B,1.95B,2.21B,2.54B,2.84B
Amortization of Intangibles,303M,264M,344M,321M,308M
COGS Growth,-,-27.74%,29.30%,31.21%,-2.99%
Gross Income,3.35B,3.77B,4.3B,6.55B,8.11B
Gross Income Growth,-,12.59%,13.86%,52.53%,23.66%
Gross Profit Margin,-,-,-,-,14.95%

SG&A Expense,639M,693M,599M,702M,694M
Research & Development,-,-,-,-,-
Other SG&A,639M,693M,599M,702M,694M
SGA Growth,-,8.45%,-13.56%,17.20%,-1.14%
Other Operating Expense,-,-,-,-,-
Unusual Expense,363M,1.47B,1.42B,569M,393M
EBIT after Unusual Expense,2.35B,(1.47B),(1.42B),5.28B,7.02B
Non Operating Income/Expense,10M,128M,205M,62M,105M
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),276M,270M,144M,344M,302M
Interest Expense,1.64B,1.8B,1.92B,2.06B,2.33B
Interest Expense Growth,-,9.80%,6.54%,6.92%,13.43%
Gross Interest Expense,1.81B,2.01B,2.21B,2.35B,2.5B
Interest Capitalized,163M,201M,286M,294M,166M
Pretax Income,993M,204M,710M,3.63B,5.09B
Pretax Income Growth,-,-79.46%,248.04%,411.83%,40.18%
Pretax Margin,-,-,-,-,9.40%
Income Tax,(100M),(258M),(1.83B),4M,195M
Income Tax - Current Domestic,(343M),(81M),38M,11M,(22M)
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,243M,(177M),(1.87B),(7M),217M
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(3M),-,-,-,-
Consolidated Net Income,1.09B,462M,2.54B,3.63B,4.9B
Minority Interest Expense,(93M),(992M),1.41B,1.67B,1.31B
Net Income,1.18B,1.45B,1.13B,1.96B,3.59B
Net Income Growth,-,22.91%,-22.35%,73.25%,83.44%
Net Margin Growth,-,-,-,-,6.62%
Extraordinaries & Discontinued Operations,-,(462M),(177M),(265M),-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,(462M),(177M),(265M),-
Net Income After Extraordinaries,1.18B,992M,952M,1.69B,3.59B
Preferred Dividends,-,9M,37M,33M,-
Net Income Available to Common,1.18B,983M,915M,1.66B,3.59B
EPS (Basic),1.11,0.96,0.85,1.17,1.37
EPS (Basic) Growth,-,-13.49%,-11.14%,37.21%,16.61%
Basic Shares Outstanding,1.06B,1.05B,1.08B,1.42B,2.63B
EPS (Diluted),1.11,0.93,0.80,1.14,1.36
EPS (Diluted) Growth,-,-16.14%,-14.12%,42.69%,19.23%
Diluted Shares Outstanding,1.06B,1.08B,1.15B,1.46B,2.64B
EBITDA,4.79B,5.3B,6.25B,8.71B,10.56B
EBITDA Growth,-,10.54%,18.03%,39.33%,21.20%
EBITDA Margin,-,-,-,-,19.47%
