Description,2015 ,2016,2017,2018,2019

Sales/Revenue,2.35B,2.19B,2.16B,2.12B,2.02B
Sales Growth,-,-6.71%,-1.55%,-1.95%,-4.59%
Cost of Goods Sold (COGS) incl. D&A,1.55B,1.52B,1.53B,1.5B,1.47B
COGS excluding D&A,1.48B,1.44B,1.44B,1.41B,1.38B
Depreciation & Amortization Expense,74.9M,82.14M,89.8M,88.2M,87.9M
Depreciation,74.8M,81.5M,-,-,87.9M
Amortization of Intangibles,"100,000","644,000",-,-,-
COGS Growth,-,-1.86%,0.44%,-1.93%,-2.19%
Gross Income,797.03M,668.31M,627.51M,614.91M,550.58M
Gross Income Growth,-,-16.15%,-6.11%,-2.01%,-10.46%
Gross Profit Margin,-,-,-,-,27.27%

SG&A Expense,586.85M,559.54M,573.55M,587.35M,564.33M
Research & Development,-,-,-,-,-
Other SG&A,586.85M,559.54M,573.55M,587.35M,564.33M
SGA Growth,-,-4.65%,2.50%,2.41%,-3.92%
Other Operating Expense,-,"62,000",-,-,-
Unusual Expense,7.97M,5.11M,22.87M,"166,000",204.96M
EBIT after Unusual Expense,202.22M,(5.11M),(22.87M),27.4M,(218.71M)
Non Operating Income/Expense,"(964,000)","484,000","1,000",(7.08M),"847,000"
Non-Operating Interest Income,-,-,-,-,2.98M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,10.57M,13.47M,2.24M,"25,000",-
Interest Expense Growth,-,27.44%,-83.35%,-98.88%,-
Gross Interest Expense,10.57M,13.47M,2.24M,"25,000",-
Interest Capitalized,-,-,-,-,-
Pretax Income,190.68M,90.62M,28.85M,20.29M,(214.88M)
Pretax Income Growth,-,-52.48%,-68.16%,-29.67%,"-1,159.06%"
Pretax Margin,-,-,-,-,-10.64%
Income Tax,74.17M,33.2M,9.98M,10.66M,(50.53M)
Income Tax - Current Domestic,84.65M,12.32M,9.58M,10.12M,"(965,000)"
Income Tax - Current Foreign,"224,000","814,000",-,-,-
Income Tax - Deferred Domestic,(10.7M),20.2M,"396,000","536,000",(49.56M)
Income Tax - Deferred Foreign,"(2,000)","(134,000)",-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,116.51M,57.42M,18.87M,9.63M,(164.36M)
Minority Interest Expense,-,-,-,-,-
Net Income,116.51M,57.42M,18.87M,9.63M,(164.36M)
Net Income Growth,-,-50.72%,-67.13%,-48.97%,"-1,806.73%"
Net Margin Growth,-,-,-,-,-8.14%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,116.51M,57.42M,18.87M,9.63M,(164.36M)
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,116.51M,57.42M,18.87M,9.63M,(164.36M)
EPS (Basic),1.39,0.73,0.24,0.13,(2.49)
EPS (Basic) Growth,-,-47.48%,-67.11%,-44.69%,"-1,971.46%"
Basic Shares Outstanding,83.98M,78.67M,78.59M,72.52M,66.13M
EPS (Diluted),1.38,0.73,0.24,0.13,(2.49)
EPS (Diluted) Growth,-,-47.10%,-67.22%,-45.05%,"-1,989.96%"
Diluted Shares Outstanding,84.59M,79.05M,78.87M,73.24M,66.13M
EBITDA,285.09M,190.85M,143.76M,115.76M,74.14M
EBITDA Growth,-,-33.06%,-24.67%,-19.48%,-35.95%
EBITDA Margin,-,-,-,-,3.67%
