Description,2015 ,2016,2017,2018,2019

Sales/Revenue,255.91M,217.49M,233.06M,208.16M,221.58M
Sales Growth,-,-15.01%,7.16%,-10.69%,6.45%
Cost of Goods Sold (COGS) incl. D&A,131.9M,109.4M,107.6M,90.15M,111.19M
COGS excluding D&A,124.67M,103.09M,102.33M,85.24M,94.93M
Depreciation & Amortization Expense,7.23M,6.31M,5.27M,4.91M,16.26M
Depreciation,6.05M,5.59M,4.77M,4.44M,10.21M
Amortization of Intangibles,1.18M,"722,504","503,091","468,489",6.05M
COGS Growth,-,-17.06%,-1.64%,-16.22%,23.33%
Gross Income,124.01M,108.09M,125.46M,118M,110.39M
Gross Income Growth,-,-12.84%,16.07%,-5.94%,-6.45%
Gross Profit Margin,-,-,-,-,49.82%

SG&A Expense,111.45M,102.77M,123.24M,136.75M,163.58M
Research & Development,27.15M,24.37M,28.46M,30.94M,35.13M
Other SG&A,84.31M,78.4M,94.79M,105.81M,128.45M
SGA Growth,-,-7.80%,19.93%,10.96%,19.62%
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,-,-,(1.6M),(8.98M)
EBIT after Unusual Expense,-,-,-,(17.15M),(44.21M)
Non Operating Income/Expense,5.23M,4.62M,"(612,140)",4.34M,149.05M
Non-Operating Interest Income,4.44M,5.29M,8.03M,7.17M,4.11M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,-,1.06M,3.29M,2.05M,"736,484"
Interest Expense Growth,-,-,209.36%,-37.75%,-64.02%
Gross Interest Expense,-,1.06M,3.29M,2.05M,"736,484"
Interest Capitalized,-,-,-,-,-
Pretax Income,22.23M,14.16M,6.35M,(7.69M),108.21M
Pretax Income Growth,-,-36.28%,-55.17%,-221.05%,"1,507.82%"
Pretax Margin,-,-,-,-,48.83%
Income Tax,4.06M,2.12M,2.19M,3.04M,2.93M
Income Tax - Current Domestic,5.87M,4.88M,3.1M,3M,3.36M
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,(1.81M),(2.76M),"(910,447)","43,222","(430,834)"
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,(6.66M),"(267,327)","931,606","808,824","(498,853)"
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,11.51M,11.77M,5.09M,(9.92M),104.78M
Minority Interest Expense,"(190,677)","(359,897)","(451,006)","(361,190)","(553,847)"
Net Income,11.7M,12.13M,5.54M,(9.55M),105.33M
Net Income Growth,-,3.69%,-54.30%,-272.32%,"1,202.44%"
Net Margin Growth,-,-,-,-,47.54%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,11.7M,12.13M,5.54M,(9.55M),105.33M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,11.7M,12.13M,5.54M,(9.55M),105.33M
EPS (Basic),0.17,0.17,0.08,(0.13),1.45
EPS (Basic) Growth,-,1.93%,-50.83%,-258.62%,"1,200.53%"
Basic Shares Outstanding,71.41M,71.69M,71.85M,72.64M,72.78M
EPS (Diluted),0.17,0.17,0.07,(0.13),1.45
EPS (Diluted) Growth,-,1.93%,-57.89%,-285.21%,"1,200.53%"
Diluted Shares Outstanding,72.6M,72.13M,73.8M,72.64M,72.78M
EBITDA,19.79M,11.64M,7.49M,(13.83M),(36.93M)
EBITDA Growth,-,-41.19%,-35.67%,-284.73%,-167.01%
EBITDA Margin,-,-,-,-,-16.67%
