Description,2015 ,2016,2017,2018,2019

Sales/Revenue,14.87B,14.32B,10.93B,11.26B,11.04B
Sales Growth,-,-3.70%,-23.66%,3.05%,-2.01%
Cost of Goods Sold (COGS) incl. D&A,11.58B,10.84B,7.52B,7.77B,7.52B
COGS excluding D&A,10.03B,9.13B,6.19B,6.77B,6.37B
Depreciation & Amortization Expense,1.55B,1.71B,1.34B,994M,1.15B
Depreciation,1.28B,1.31B,1.03B,1.14B,1.22B
Amortization of Intangibles,268M,397M,308M,(142M),(71M)
COGS Growth,-,-6.37%,-30.61%,3.27%,-3.22%
Gross Income,3.29B,3.48B,3.41B,3.49B,3.52B
Gross Income Growth,-,5.72%,-1.99%,2.55%,0.69%
Gross Profit Margin,-,-,-,-,31.88%

SG&A Expense,-,-,-,-,-
Research & Development,-,-,-,-,-
Other SG&A,-,-,-,-,-
SGA Growth,-,-,-,-,-
Other Operating Expense,978M,1.04B,940M,993M,1.01B
Unusual Expense,433M,10.79B,41M,-,-
EBIT after Unusual Expense,(433M),(8.36B),(41M),-,-
Non Operating Income/Expense,72M,207M,(4M),115M,(388M)
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,1.06B,1.08B,996M,1.1B,1.01B
Interest Expense Growth,-,2.56%,-8.03%,10.84%,-8.97%
Gross Interest Expense,1.12B,1.15B,1.01B,1.12B,1.03B
Interest Capitalized,68M,66M,17M,19M,26M
Pretax Income,893M,(9.23B),1.43B,1.51B,1.12B
Pretax Income Growth,-,"-1,133.82%",115.45%,6.03%,-26.12%
Pretax Margin,-,-,-,-,10.12%
Income Tax,315M,(3.06B),1.72B,490M,213M
Income Tax - Current Domestic,31M,8M,34M,1M,8M
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,292M,(3.06B),1.69B,495M,210M
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,8M,8M,6M,6M,5M
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,578M,(6.18B),(289M),1.02B,904M
Minority Interest Expense,-,-,-,-,-
Net Income,578M,(6.18B),(289M),1.02B,904M
Net Income Growth,-,"-1,168.69%",95.32%,453.63%,-11.55%
Net Margin Growth,-,-,-,-,8.19%
Extraordinaries & Discontinued Operations,-,-,(1.44B),326M,8M
Extra Items & Gain/Loss Sale Of Assets,-,-,-,435M,59M
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,(1.44B),(109M),(51M)
Net Income After Extraordinaries,578M,(6.18B),(1.72B),1.35B,912M
Preferred Dividends,-,-,-,367M,4M
Net Income Available to Common,578M,(6.18B),(1.72B),546M,849M
EPS (Basic),1.37,(14.50),(3.88),1.11,1.59
EPS (Basic) Growth,-,"-1,158.63%",73.22%,128.58%,42.99%
Basic Shares Outstanding,422M,426M,444M,492M,535M
EPS (Diluted),1.36,(14.50),(3.88),1.11,1.57
EPS (Diluted) Growth,-,"-1,163.67%",73.22%,128.47%,41.72%
Diluted Shares Outstanding,424M,426M,444M,494M,542M
EBITDA,3.86B,4.14B,3.8B,3.5B,3.66B
EBITDA Growth,-,7.36%,-8.25%,-8.07%,4.69%
EBITDA Margin,-,-,-,-,33.16%
