Description,2015 ,2016,2017,2018,2019

Sales/Revenue,149.56B,151.8B,156.78B,160.34B,155.9B
Sales Growth,-,1.50%,3.28%,2.27%,-2.77%
Cost of Goods Sold (COGS) incl. D&A,119.56B,128.73B,132.82B,137.58B,136.79B
COGS excluding D&A,111.59B,120.01B,124.37B,129.27B,128.3B
Depreciation & Amortization Expense,7.97B,8.72B,8.45B,8.31B,8.49B
Depreciation,7.99B,9.02B,9.12B,9.28B,9.69B
Amortization of Intangibles,(27M),(306M),(669M),(972M),(1.2B)
COGS Growth,-,7.67%,3.18%,3.58%,-0.58%
Gross Income,30B,23.08B,23.95B,22.76B,19.11B
Gross Income Growth,-,-23.09%,3.80%,-4.99%,-16.02%
Gross Profit Margin,-,-,-,-,12.26%

SG&A Expense,21.7B,19.5B,19.53B,19.6B,18.56B
Research & Development,6.7B,7.3B,8B,8.2B,7.4B
Other SG&A,15B,12.2B,11.53B,11.4B,11.16B
SGA Growth,-,-10.15%,0.16%,0.39%,-5.32%
Other Operating Expense,417M,-,-,-,-
Unusual Expense,(969M),(1.16B),197M,(24M),181M
EBIT after Unusual Expense,8.86B,4.74B,(197M),3.18B,368M
Non Operating Income/Expense,413M,1.24B,3.68B,1.62B,(829M)
Non-Operating Interest Income,309M,291M,459M,667M,809M
Equity in Affiliates (Pretax),1.82B,1.78B,1.2B,123M,32M
Interest Expense,1.14B,1.26B,1.41B,1.24B,1.02B
Interest Expense Growth,-,10.32%,11.58%,-12.01%,-17.61%
Gross Interest Expense,1.16B,1.29B,1.41B,1.24B,1.02B
Interest Capitalized,20M,27M,-,-,-
Pretax Income,10.25B,6.8B,8.16B,4.35B,(640M)
Pretax Income Growth,-,-33.71%,20.06%,-46.75%,-114.73%
Pretax Margin,-,-,-,-,-0.41%
Income Tax,2.88B,2.19B,402M,650M,(724M)
Income Tax - Current Domestic,92M,(110M),(40M),69M,(68M)
Income Tax - Current Foreign,572M,630M,868M,690M,738M
Income Tax - Deferred Domestic,1.75B,1.55B,(1.02B),(348M),(1.32B)
Income Tax - Deferred Foreign,472M,121M,593M,239M,(70M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,7.37B,4.61B,7.76B,3.7B,84M
Minority Interest Expense,(2M),11M,26M,18M,37M
Net Income,7.37B,4.6B,7.73B,3.68B,47M
Net Income Growth,-,-37.66%,68.21%,-52.44%,-98.72%
Net Margin Growth,-,-,-,-,0.03%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,7.37B,4.6B,7.73B,3.68B,47M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,7.37B,4.6B,7.73B,3.68B,47M
EPS (Basic),1.86,1.16,1.94,0.93,0.01
EPS (Basic) Growth,-,-37.63%,67.24%,-52.06%,-98.73%
Basic Shares Outstanding,3.97B,3.97B,3.98B,3.97B,3.97B
EPS (Diluted),1.84,1.15,1.93,0.92,0.01
EPS (Diluted) Growth,-,-37.50%,67.83%,-52.33%,-98.73%
Diluted Shares Outstanding,4B,4B,4B,4B,4B
EBITDA,15.85B,12.3B,12.88B,11.46B,9.04B
EBITDA Growth,-,-22.43%,4.73%,-11.00%,-21.13%
EBITDA Margin,-,-,-,-,5.80%
