Description,2015 ,2016,2017,2018,2019

Sales/Revenue,115.92B,119.87B,118.24B,98.44B,95.06B
Sales Growth,-,3.41%,-1.36%,-16.75%,-3.44%
Cost of Goods Sold (COGS) incl. D&A,77.54B,80.22B,83.75B,68.83B,66.57B
COGS excluding D&A,71.04B,73.39B,76.32B,62.25B,60.98B
Depreciation & Amortization Expense,6.5B,6.83B,7.43B,6.58B,5.6B
Depreciation,4.85B,5B,5.14B,4.42B,4.03B
Amortization of Intangibles,1.65B,1.84B,2.29B,2.16B,1.57B
COGS Growth,-,3.46%,4.39%,-17.81%,-3.28%
Gross Income,38.37B,39.65B,34.5B,29.61B,28.48B
Gross Income Growth,-,3.31%,-12.98%,-14.18%,-3.80%
Gross Profit Margin,-,-,-,-,29.96%

SG&A Expense,21.08B,21.96B,20.71B,15.93B,15.97B
Research & Development,4.25B,4.78B,4.74B,3.41B,3.12B
Other SG&A,16.83B,17.18B,15.97B,12.52B,12.86B
SGA Growth,-,4.17%,-5.70%,-23.07%,0.26%
Other Operating Expense,5.15B,3.75B,13.25B,3.2B,3.75B
Unusual Expense,2.17B,4.31B,6.55B,26.52B,2.72B
EBIT after Unusual Expense,(2.17B),9.63B,(6.55B),(26.52B),6.04B
Non Operating Income/Expense,1.19B,3.44B,(900M),(959M),(1.99B)
Non-Operating Interest Income,65M,167M,425M,562M,1.22B
Equity in Affiliates (Pretax),45M,76M,202M,21M,206M
Interest Expense,3.09B,4.28B,4.87B,4.56B,4.32B
Interest Expense Growth,-,38.54%,13.74%,-6.35%,-5.18%
Gross Interest Expense,3.12B,4.32B,4.87B,4.56B,4.32B
Interest Capitalized,26M,35M,-,-,-
Pretax Income,8.19B,9.03B,(11.15B),(20.99B),1.15B
Pretax Income Growth,-,10.31%,-223.49%,-88.21%,105.47%
Pretax Margin,-,-,-,-,1.21%
Income Tax,6.49B,(464M),(2.61B),93M,726M
Income Tax - Current Domestic,1.25B,(2.68B),(635M),908M,(122M)
Income Tax - Current Foreign,4.87B,1.73B,2.29B,1.13B,2.01B
Income Tax - Deferred Domestic,492M,(754M),(3.74B),(3.14B),(1.27B)
Income Tax - Deferred Foreign,(121M),1.24B,(522M),1.2B,106M
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(4M),(15M),(11M),-,-
Consolidated Net Income,1.7B,9.48B,(8.55B),(21.08B),423M
Minority Interest Expense,19M,(290M),(371M),(90M),7M
Net Income,1.68B,9.77B,(8.18B),(20.99B),416M
Net Income Growth,-,482.18%,-183.73%,-156.60%,101.98%
Net Margin Growth,-,-,-,-,0.44%
Extraordinaries & Discontinued Operations,(7.8B),(950M),(328M),(1.36B),(5.39B)
Extra Items & Gain/Loss Sale Of Assets,(7.59B),(1.25B),128M,4M,(5.18B)
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,(204M),302M,(456M),(1.37B),(211M)
Net Income After Extraordinaries,(6.12B),8.82B,(8.51B),(22.35B),(4.98B)
Preferred Dividends,18M,656M,436M,448M,461M
Net Income Available to Common,1.46B,9.42B,(9.07B),(22.81B),(256M)
EPS (Basic),0.15,1.04,(1.04),(2.62),(0.03)
EPS (Basic) Growth,-,612.57%,-200.11%,-151.28%,98.88%
Basic Shares Outstanding,9.94B,9.03B,8.69B,8.69B,8.72B
EPS (Diluted),0.15,1.03,(1.04),(2.62),(0.03)
EPS (Diluted) Growth,-,608.80%,-201.33%,-151.28%,98.88%
Diluted Shares Outstanding,10.02B,9.13B,8.69B,8.69B,8.72B
EBITDA,18.65B,20.77B,7.97B,17.06B,14.36B
EBITDA Growth,-,11.40%,-61.63%,113.99%,-15.83%
EBITDA Margin,-,-,-,-,15.10%
