Description,2015 ,2016,2017,2018,2019

Sales/Revenue,-,4.1M,4.93M,47.54M,80.78M
Sales Growth,-,-,20.43%,863.55%,69.92%
Cost of Goods Sold (COGS) incl. D&A,-,3.9M,7.53M,65.4M,178.13M
COGS excluding D&A,-,3.31M,5.87M,61.89M,168.12M
Depreciation & Amortization Expense,-,"591,652",1.66M,3.51M,10.01M
Depreciation,-,"359,967","895,714",1.75M,6.07M
Amortization of Intangibles,-,"231,685","765,238",1.77M,3.94M
COGS Growth,-,-,93.01%,768.10%,172.35%
Gross Income,-,"193,382",(2.6M),(17.86M),(97.34M)
Gross Income Growth,-,-,"-1,444.53%",-586.98%,-444.97%
Gross Profit Margin,-,-,-,-,-120.50%

SG&A Expense,"78,057",7.34M,22.71M,107.97M,95.7M
Research & Development,-,"86,378",-,2.82M,4.64M
Other SG&A,"78,057",7.25M,22.71M,105.15M,91.06M
SGA Growth,-,"9,303.41%",209.35%,375.50%,-11.37%
Other Operating Expense,-,-,-,-,4.76M
Unusual Expense,-,4.46M,(2.25M),(36.55M),340.33M
EBIT after Unusual Expense,-,(11.6M),(23.06M),(89.28M),(538.13M)
Non Operating Income/Expense,-,"(383,340)","(877,730)","(293,000)","92,000"
Non-Operating Interest Income,-,"92,158",2.12M,5.19M,1.9M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,-,"522,618",1.53M,"469,000",10.04M
Interest Expense Growth,-,-,192.64%,-69.33%,"2,041.36%"
Gross Interest Expense,-,"522,618",1.53M,"469,000",10.04M
Interest Capitalized,-,-,-,-,-
Pretax Income,"(78,057)",(12.42M),(23.35M),(84.86M),(546.18M)
Pretax Income Growth,-,"-15,808.34%",-88.04%,-263.42%,-543.65%
Pretax Margin,-,-,-,-,-676.10%
Income Tax,-,-,-,(18.21M),(6.02M)
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,(18.21M),(6.02M)
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,(2.96M),(6.33M)
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,"(78,057)",(12.42M),(23.35M),(69.61M),(546.49M)
Minority Interest Expense,-,-,-,-,-
Net Income,"(78,057)",(12.42M),(23.35M),(69.61M),(546.49M)
Net Income Growth,-,"-15,808.34%",-88.04%,-198.11%,-685.10%
Net Margin Growth,-,-,-,-,-676.48%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,"(78,057)",(12.42M),(23.35M),(69.61M),(546.49M)
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,"(78,057)",(12.42M),(23.35M),(69.61M),(546.49M)
EPS (Basic),(0.05),(0.21),(0.17),(0.33),(1.77)
EPS (Basic) Growth,-,-366.67%,19.05%,-92.47%,-439.64%
Basic Shares Outstanding,1.78M,58.56M,134.17M,212.74M,309.5M
EPS (Diluted),(0.05),(0.21),(0.17),(0.33),(1.77)
EPS (Diluted) Growth,-,-366.67%,19.05%,-92.47%,-439.64%
Diluted Shares Outstanding,1.78M,58.56M,134.17M,212.74M,309.5M
EBITDA,"(78,060)",(6.55M),(23.65M),(122.32M),(187.79M)
EBITDA Growth,-,"-8,297.36%",-260.72%,-417.30%,-53.53%
EBITDA Margin,-,-,-,-,-232.46%
