Description,2015 ,2016,2017,2018,2019

Sales/Revenue,181.94M,270.97M,375.61M,512.98M,674.86M
Sales Growth,-,48.93%,38.62%,36.57%,31.56%
Cost of Goods Sold (COGS) incl. D&A,47.92M,61.87M,75.73M,100.36M,129.96M
COGS excluding D&A,40.58M,50.69M,59.94M,76.93M,100.16M
Depreciation & Amortization Expense,7.34M,11.18M,15.79M,23.43M,29.8M
Depreciation,2.7M,5.9M,9.4M,12.83M,15M
Amortization of Intangibles,4.64M,5.28M,6.39M,10.6M,14.8M
COGS Growth,-,29.09%,22.41%,32.52%,29.50%
Gross Income,134.02M,209.1M,299.88M,412.62M,544.9M
Gross Income Growth,-,56.02%,43.41%,37.59%,32.06%
Gross Profit Margin,-,-,-,-,80.74%

SG&A Expense,180.49M,253.76M,340.02M,460.88M,591.37M
Research & Development,32.46M,46M,70.37M,117.6M,158.24M
Other SG&A,148.04M,207.77M,269.65M,343.28M,433.13M
SGA Growth,-,40.59%,33.99%,35.55%,28.31%
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,-,-,-,"527,000"
EBIT after Unusual Expense,-,-,-,-,(46.99M)
Non Operating Income/Expense,"628,000","(956,000)","(559,000)",(1.49M),"(393,000)"
Non-Operating Interest Income,"390,000","854,000",3.84M,9.18M,19.43M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,"185,000","265,000",13.18M,21.39M,22.82M
Interest Expense Growth,-,43.24%,"4,873.96%",62.25%,6.70%
Gross Interest Expense,"185,000","265,000",13.18M,21.39M,22.82M
Interest Capitalized,-,-,-,-,-
Pretax Income,(45.64M),(45.03M),(50.04M),(61.96M),(50.77M)
Pretax Income Growth,-,1.34%,-11.13%,-23.82%,18.06%
Pretax Margin,-,-,-,-,-7.52%
Income Tax,"412,000","533,000",(10.33M),1.87M,2.97M
Income Tax - Current Domestic,"61,000","95,000","144,000","324,000","479,000"
Income Tax - Current Foreign,"401,000","579,000",1.08M,1.51M,3.29M
Income Tax - Deferred Domestic,"10,000","(61,000)",(11.41M),"(21,000)","(160,000)"
Income Tax - Deferred Foreign,"(60,000)","(80,000)","(134,000)","57,000","(639,000)"
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,(46.05M),(45.56M),(39.71M),(63.83M),(53.75M)
Minority Interest Expense,-,-,-,-,-
Net Income,(46.05M),(45.56M),(39.71M),(63.83M),(53.75M)
Net Income Growth,-,1.07%,12.84%,-60.72%,15.80%
Net Margin Growth,-,-,-,-,-7.96%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,(46.05M),(45.56M),(39.71M),(63.83M),(53.75M)
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,(46.05M),(45.56M),(39.71M),(63.83M),(53.75M)
EPS (Basic),(1.39),(1.29),(1.08),(1.66),(1.28)
EPS (Basic) Growth,-,7.19%,16.28%,-53.39%,22.80%
Basic Shares Outstanding,33.22M,35.2M,36.83M,38.53M,42.03M
EPS (Diluted),(1.39),(1.29),(1.08),(1.66),(1.28)
EPS (Diluted) Growth,-,7.19%,16.28%,-53.39%,22.80%
Diluted Shares Outstanding,33.22M,35.2M,36.83M,38.53M,42.03M
EBITDA,(39.13M),(33.49M),(24.35M),(24.83M),(16.66M)
EBITDA Growth,-,14.43%,27.28%,-1.97%,32.89%
EBITDA Margin,-,-,-,-,-2.47%
