Description,2015 ,2016,2017,2018,2019

Interest Income,147.89B,161.78B,145.64B,133.18B,140.28B
Interest and Fees on Loans,79.39B,80.12B,75.57B,73.64B,81.05B
Interest Income on Fed. Funds,-,-,7.2B,5.06B,16.2B
Interest Income on Fed. Repos,(3.03B),-,-,-,-
Interest on Bank Deposits,34.95B,41.76B,25.71B,17.37B,5.91B
Other Interest or Dividend Income,33.55B,39.91B,37.16B,37.11B,37.13B
Interest Income Growth,-,9.40%,-9.98%,-8.56%,5.34%
Total Interest Expense,75.06B,95.13B,78.33B,70.61B,75.96B
Interest Expense on Bank Deposits,13.59B,14.7B,13.34B,17.48B,18.56B
Other Interest Expense,28.6B,34.49B,31.9B,32.24B,36.93B
Interest Expense on Debt,16B,16.6B,16.91B,20.36B,20.07B
Interest Capitalized,-,-,-,-,-
Other Borrowed Funds,12.6B,17.9B,14.99B,11.88B,16.86B
Total Interest Expense Growth,-,26.73%,-17.66%,-9.85%,7.57%

Net Interest Income,72.82B,66.66B,67.31B,62.57B,64.33B
Net Interest Income Growth,-,-8.47%,0.98%,-7.05%,2.81%
Loan Loss Provision,19.74B,20.64B,18.38B,10.59B,18.3B
Loan Loss Provision Growth,-,4.55%,-10.93%,-42.40%,72.83%
Net Interest Income after Provision,53.09B,46.02B,48.93B,51.98B,46.03B
Net Interest Inc After Loan Loss Prov Growth,-,-13.31%,6.32%,6.23%,-11.45%
Net Interest Margin,-,-,-,-,-
Non-Interest Income,42.75B,65.42B,64.18B,62.25B,63.73B
Securities Gain,(1.28B),(903M),-,-,-
Trading Account Income,-,-,1.97B,(4.36B),-
"Trust Income, Commissions & Fees",29.45B,31.92B,34.45B,36.81B,39.03B
Commission & Fee Income,29.45B,31.92B,30.31B,31.8B,32.7B
Other Operating Income,23.96B,28.89B,28.01B,26.82B,23.77B
Non-Interest Expense,165.1B,181.88B,79.97B,82.43B,76.14B
Labor & Related Expense,19.57B,22.36B,23.28B,24.85B,28.42B
Equipment Expense,1.29B,1.48B,-,-,-
Other Operating Expense,39.15B,43.25B,49.35B,48.61B,40.65B
Operating Income,21.81B,41.29B,33.15B,31.8B,33.62B
Operating Income Growth,-,89.35%,-19.72%,-4.06%,5.71%
Operating Income Margin,-,-,-,-,16.48%
Non-Operating Income (Expense),15.91B,16.56B,(495M),(632M),(719M)
Non-Operating Interest Income,-,-,-,-,-
Miscellaneous Non Operating Expense,15.91B,16.56B,(495M),(632M),(719M)
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,4.07B,3.58B,2.62B,1.31B,2.97B
Pretax Income,17.65B,37.66B,30.03B,29.86B,29.93B
Pretax Income Growth,-,113.45%,-20.26%,-0.57%,0.22%
Pretax Margin,-,-,-,-,14.67%
Income Taxes,(7.89B),14.61B,7.36B,4.97B,3.43B
Income Tax - Current - Domestic,8.97B,3.9B,4.54B,2.56B,9.09B
Income Tax - Current - Foreign,-,-,-,-,-
Income Tax - Deferred - Domestic,(16.86B),10.71B,2.82B,2.41B,(5.66B)
Income Tax - Deferred - Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,620M,528M,550M,747M,1.32B
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,26.16B,23.58B,23.23B,25.64B,27.81B
Minority Interest Expense,416M,319M,32M,732M,700M
Net Income,25.74B,23.26B,23.19B,24.91B,27.11B
Net Income Growth,-,-9.62%,-0.30%,7.39%,8.86%
Net Margin,-,-,-,-,13.29%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,-,-,-,-
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,25.74B,23.26B,23.19B,24.91B,27.11B
EPS (Basic),2.61,2.38,1.58,2.56,2.78
EPS (Basic) Growth,-,-8.67%,-33.41%,61.71%,8.61%
Basic Shares Outstanding,9.87B,9.78B,14.63B,9.72B,9.74B
EPS (Diluted),2.59,2.36,1.57,2.55,2.77
EPS (Diluted) Growth,-,-9.02%,-33.27%,61.82%,8.73%
Diluted Shares Outstanding,9.93B,9.85B,14.73B,9.77B,9.79B
