Description,2015 ,2016,2017,2018,2019

Sales/Revenue,-,-,106.07M,152.26M,179.54M
Sales Growth,-,-,-,43.55%,17.92%
Cost of Goods Sold (COGS) incl. D&A,-,-,76.09M,102.66M,103.43M
COGS excluding D&A,-,-,74.25M,100.1M,94.58M
Depreciation & Amortization Expense,-,-,1.85M,2.56M,8.85M
Depreciation,-,-,1.52M,-,-
Amortization of Intangibles,-,-,"324,845",-,-
COGS Growth,-,-,-,34.91%,0.76%
Gross Income,-,-,29.97M,49.6M,76.1M
Gross Income Growth,-,-,-,65.48%,53.44%
Gross Profit Margin,-,-,-,-,42.39%

SG&A Expense,-,-,189.02M,234.35M,314.06M
Research & Development,-,-,-,-,-
Other SG&A,-,-,189.02M,234.35M,314.06M
SGA Growth,-,-,-,23.98%,34.02%
Other Operating Expense,-,-,12.5M,11.86M,12.99M
Unusual Expense,-,-,-,-,2.46M
EBIT after Unusual Expense,-,-,-,-,(253.41M)
Non Operating Income/Expense,-,-,"(347,400)","140,390",2.19M
Non-Operating Interest Income,-,-,"342,892","260,725",3.85M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,-,-,2.04M,3.76M,6.12M
Interest Expense Growth,-,-,-,83.99%,62.96%
Gross Interest Expense,-,-,2.04M,3.76M,6.12M
Interest Capitalized,-,-,-,-,-
Pretax Income,-,-,(173.59M),(199.96M),(253.5M)
Pretax Income Growth,-,-,-,-15.19%,-26.77%
Pretax Margin,-,-,-,-,-141.20%
Income Tax,-,-,12.92M,1.05M,"643,568"
Income Tax - Current Domestic,-,-,12.93M,1.04M,"474,561"
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,"(7,896)","8,258","169,007"
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,-,-,(186.51M),(201.01M),(254.14M)
Minority Interest Expense,-,-,(4.26M),"(365,722)","(420,837)"
Net Income,-,-,(182.25M),(200.64M),(253.72M)
Net Income Growth,-,-,-,-10.09%,-26.46%
Net Margin Growth,-,-,-,-,-141.32%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,-,(182.25M),(200.64M),(253.72M)
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,-,-,(182.25M),(200.64M),(253.72M)
EPS (Basic),-,-,(2.32),(2.55),(3.61)
EPS (Basic) Growth,-,-,-,-10.09%,-41.21%
Basic Shares Outstanding,-,-,78.53M,78.53M,70.33M
EPS (Diluted),-,-,(2.32),(2.55),(3.61)
EPS (Diluted) Growth,-,-,-,-10.09%,-41.21%
Diluted Shares Outstanding,-,-,78.53M,78.53M,70.33M
EBITDA,-,-,(169.7M),(194.05M),(242.1M)
EBITDA Growth,-,-,-,-14.35%,-24.76%
EBITDA Margin,-,-,-,-,-134.85%
