Description,2015 ,2016,2017,2018,2019

Sales/Revenue,-,-,5.19B,6.76B,7.16B
Total Investment Income,-,-,96.97M,125.12M,161.57M
Sundry Revenue/Income,-,-,223M,139.85M,102.58M
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,2.66B,4.94B,6.17B
Commission & Fee Income,-,-,2.38B,4.54B,5.79B
Sales Growth,-,-,-,30.11%,6.00%
Total Expense,-,-,4B,3.99B,4.3B
Total Interest Expense,-,-,213.32M,165.29M,287.03M
Depreciation & Amortization Expense,-,-,128.69M,143.79M,118.27M
Other Operating Expense,-,-,(7.33M),80.58M,537M

Operating Income,-,-,1.19B,2.77B,2.87B
Operating Income Growth,-,-,-,132.52%,3.41%
Non-Operating Income (Expense),-,-,43.29M,58.95M,101.32M
Non-Operating Interest Income,-,-,21.48M,29.23M,67.06M
Miscellaneous Non Operating Expense,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,-,-,-,18.86M,165.39M
Pretax Income,-,-,1.24B,2.81B,2.8B
Pretax Income Growth,-,-,-,127.62%,-0.34%
Pretax Margin,-,-,-,-,39.12%
Income Taxes,-,-,345.76M,766.71M,885.21M
Income Tax - Current - Domestic,-,-,283.62M,421.89M,615.78M
Income Tax - Current - Foreign,-,-,-,-,-
Income Tax - Deferred - Domestic,-,-,62.14M,344.82M,269.43M
Income Tax - Deferred - Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,2.4M,6.92M,10.54M
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,-,-,891.8M,2.05B,1.93B
Minority Interest Expense,-,-,9.1M,(6.65M),(2.21M)
Net Income,-,-,882.7M,2.06B,1.93B
Net Income Growth,-,-,-,133.19%,-6.26%
Net Margin,-,-,-,-,26.94%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,-,-,-,-
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,-,-,882.7M,2.06B,1.93B
EPS (Basic),-,-,0.36,0.84,0.79
EPS (Basic) - Growth,-,-,-,133.16%,-6.26%
Basic Shares Outstanding,-,-,2.44B,2.44B,2.44B
EPS (Diluted),-,-,0.36,0.84,0.79
EPS (Diluted) Growth,-,-,-,133.16%,-6.26%
Diluted Shares Outstanding,-,-,2.44B,2.44B,2.44B
