Description,2015 ,2016,2017,2018,2019

Sales/Revenue,2.78B,3.18B,3.46B,3.45B,3.51B
Sales Growth,-,14.50%,8.64%,-0.10%,1.70%
Cost of Goods Sold (COGS) incl. D&A,1.92B,2.24B,2.56B,2.62B,2.7B
COGS excluding D&A,1.85B,2.15B,2.46B,2.54B,2.62B
Depreciation & Amortization Expense,64.23M,89.26M,102.88M,83.83M,78.86M
Depreciation,22.2M,29M,33.9M,29.3M,30M
Amortization of Intangibles,42.03M,60.26M,68.98M,54.53M,48.86M
COGS Growth,-,16.84%,14.39%,2.26%,3.11%
Gross Income,863.78M,944.26M,897.18M,835.75M,813.14M
Gross Income Growth,-,9.32%,-4.99%,-6.85%,-2.71%
Gross Profit Margin,-,-,-,-,23.14%

SG&A Expense,287.82M,357.27M,417.11M,403.93M,404.64M
Research & Development,-,-,-,-,-
Other SG&A,287.82M,357.27M,417.11M,403.93M,404.64M
SGA Growth,-,24.13%,16.75%,-3.16%,0.18%
Other Operating Expense,-,-,-,-,-
Unusual Expense,18.1M,15.3M,-,-,1.54B
EBIT after Unusual Expense,557.87M,571.69M,-,-,(1.14B)
Non Operating Income/Expense,-,-,-,-,-
Non-Operating Interest Income,1.84M,2.02M,3.95M,5.21M,5.67M
Equity in Affiliates (Pretax),3.13M,3.19M,"952,000",6.83M,7.78M
Interest Expense,23.11M,63.09M,74.56M,88.79M,119.38M
Interest Expense Growth,-,173.01%,18.18%,19.09%,34.45%
Gross Interest Expense,23.11M,63.09M,74.56M,88.79M,119.38M
Interest Capitalized,-,-,-,-,-
Pretax Income,539.73M,513.8M,410.42M,355.06M,(1.24B)
Pretax Income Growth,-,-4.80%,-20.12%,-13.49%,-449.79%
Pretax Margin,-,-,-,-,-35.35%
Income Tax,204.04M,189.2M,90.05M,96.45M,(91.89M)
Income Tax - Current Domestic,189.54M,171.05M,150.12M,122.1M,85.11M
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,14.49M,18.15M,(60.07M),(25.65M),(177M)
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,335.69M,324.6M,320.37M,258.61M,(1.15B)
Minority Interest Expense,"(629,000)","(318,000)",-,-,-
Net Income,336.32M,324.91M,320.37M,258.61M,(1.15B)
Net Income Growth,-,-3.39%,-1.40%,-19.28%,-544.72%
Net Margin Growth,-,-,-,-,-32.73%
Extraordinaries & Discontinued Operations,-,-,-,10.02M,(347.61M)
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,10.02M,(347.61M)
Net Income After Extraordinaries,336.32M,324.91M,320.37M,268.63M,(1.5B)
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,336.32M,324.91M,320.37M,268.63M,(1.5B)
EPS (Basic),3.61,3.52,3.47,2.95,(17.94)
EPS (Basic) Growth,-,-2.49%,-1.42%,-15.03%,-708.34%
Basic Shares Outstanding,93.08M,92.42M,92.43M,91.1M,83.5M
EPS (Diluted),3.58,3.49,3.45,2.93,(17.94)
EPS (Diluted) Growth,-,-2.51%,-1.15%,-15.00%,-711.70%
Diluted Shares Outstanding,93.96M,93.11M,92.96M,91.61M,83.5M
EBITDA,640.2M,676.25M,582.96M,515.65M,487.36M
EBITDA Growth,-,5.63%,-13.80%,-11.55%,-5.49%
EBITDA Margin,-,-,-,-,13.87%
