Description,2015 ,2016,2017,2018,2019

Sales/Revenue,1.35B,1.5B,2.1B,2.21B,1.98B
Sales Growth,-,11.13%,39.93%,5.26%,-10.76%
Cost of Goods Sold (COGS) incl. D&A,1.12B,1.25B,1.74B,1.85B,1.67B
COGS excluding D&A,1.07B,1.19B,1.66B,1.77B,1.59B
Depreciation & Amortization Expense,51.8M,58.3M,76.7M,76.9M,77.1M
Depreciation,50.2M,54.2M,67M,67.9M,68.2M
Amortization of Intangibles,1.6M,4.1M,9.7M,9M,8.9M
COGS Growth,-,11.21%,39.78%,6.15%,-9.73%
Gross Income,233M,258M,362.9M,366.4M,308.1M
Gross Income Growth,-,10.73%,40.66%,0.96%,-15.91%
Gross Profit Margin,-,-,-,-,15.59%

SG&A Expense,170.8M,188.2M,240.8M,243.2M,209.6M
Research & Development,61.1M,64.4M,65.8M,69.8M,59.5M
Other SG&A,109.7M,123.8M,175M,173.4M,150.1M
SGA Growth,-,10.19%,27.95%,1.00%,-13.82%
Other Operating Expense,-,5.2M,6.7M,-,-
Unusual Expense,59.8M,26.8M,22.5M,10.7M,60.3M
EBIT after Unusual Expense,2.4M,37.8M,92.9M,112.5M,38.2M
Non Operating Income/Expense,(1.7M),"(300,000)",(4.6M),(8M),(5.7M)
Non-Operating Interest Income,"400,000","400,000","400,000","400,000","400,000"
Equity in Affiliates (Pretax),"100,000","100,000","200,000","700,000","200,000"
Interest Expense,11.1M,17.2M,25.6M,24.8M,22.7M
Interest Expense Growth,-,54.95%,48.84%,-3.13%,-8.47%
Gross Interest Expense,11.1M,17.2M,25.6M,24.8M,22.7M
Interest Capitalized,-,-,-,-,-
Pretax Income,(9.9M),20.8M,63.3M,80.8M,10.4M
Pretax Income Growth,-,310.10%,204.33%,27.65%,-87.13%
Pretax Margin,-,-,-,-,0.53%
Income Tax,(8.9M),5.9M,39.5M,(5.1M),12.4M
Income Tax - Current Domestic,"300,000","400,000",11.3M,(19.7M),(3.5M)
Income Tax - Current Foreign,9.6M,10.1M,16.1M,19M,14.9M
Income Tax - Deferred Domestic,(15.5M),(4M),25.3M,(2.3M),(4M)
Income Tax - Deferred Foreign,(3.3M),"(600,000)",(13.2M),(2.1M),5M
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,"(200,000)","(200,000)","(400,000)",-
Consolidated Net Income,(1M),14.7M,23.6M,85.5M,(2M)
Minority Interest Expense,"600,000","700,000",1.6M,1.1M,"200,000"
Net Income,(1.6M),14M,22M,84.4M,(2.2M)
Net Income Growth,-,975.00%,57.14%,283.64%,-102.61%
Net Margin Growth,-,-,-,-,-0.11%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,(1.6M),14M,22M,84.4M,(2.2M)
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,(1.6M),14M,22M,84.4M,(2.2M)
EPS (Basic),(0.03),0.29,0.44,1.67,(0.04)
EPS (Basic) Growth,-,"1,066.67%",52.03%,279.07%,-102.59%
Basic Shares Outstanding,47.3M,47.8M,49.9M,50.5M,50.8M
EPS (Diluted),(0.03),0.29,0.43,1.65,(0.04)
EPS (Diluted) Growth,-,"1,066.67%",49.72%,279.80%,-102.63%
Diluted Shares Outstanding,47.3M,48.3M,50.9M,51.3M,50.8M
EBITDA,114M,122.9M,192.1M,200.1M,175.6M
EBITDA Growth,-,7.81%,56.31%,4.16%,-12.24%
EBITDA Margin,-,-,-,-,8.89%
