Description,2015 ,2016,2017,2018,2019

Sales/Revenue,253.14B,276.01B,299.11B,312.57B,296.57B
Sales Growth,-,9.03%,8.37%,4.50%,-5.12%
Cost of Goods Sold (COGS) incl. D&A,152.4B,147.28B,161.27B,178.78B,188.59B
COGS excluding D&A,137.94B,133.32B,146.73B,164.65B,173.06B
Depreciation & Amortization Expense,14.46B,13.95B,14.54B,14.12B,15.52B
Depreciation,-,-,-,12.72B,-
Amortization of Intangibles,-,-,-,1.41B,-
COGS Growth,-,-3.36%,9.50%,10.85%,5.49%
Gross Income,100.74B,128.73B,137.84B,133.8B,107.98B
Gross Income Growth,-,27.78%,7.08%,-2.93%,-19.29%
Gross Profit Margin,-,-,-,-,36.41%

SG&A Expense,67.22B,74.68B,68.7B,71.02B,69.43B
Research & Development,-,-,-,-,-
Other SG&A,67.22B,74.68B,68.7B,71.02B,69.43B
SGA Growth,-,11.10%,-8.01%,3.38%,-2.24%
Other Operating Expense,5.9B,4.98B,4.56B,4.59B,5.14B
Unusual Expense,2.27B,5.19B,6.92B,(25.28B),1.42B
EBIT after Unusual Expense,25.36B,43.88B,57.67B,83.47B,31.99B
Non Operating Income/Expense,(72.42B),24B,5B,(29.49B),14.53B
Non-Operating Interest Income,183M,184M,172M,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,60.25B,53.9B,47.14B,37.77B,34.27B
Interest Expense Growth,-,-10.53%,-12.55%,-19.87%,-9.27%
Gross Interest Expense,62.2B,53.9B,47.76B,37.77B,34.58B
Interest Capitalized,1.95B,-,621M,-,309M
Pretax Income,(107.13B),14.17B,15.7B,16.21B,12.24B
Pretax Income Growth,-,113.23%,10.83%,3.22%,-24.45%
Pretax Margin,-,-,-,-,4.13%
Income Tax,8.32B,4.89B,3.15B,2.68B,7.99B
Income Tax - Current Domestic,376M,(211M),6.55B,5.28B,5.7B
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,7.95B,5.1B,(3.4B),(2.6B),2.29B
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,(17M),18M,10M,28M
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,(115.45B),9.26B,12.57B,13.54B,4.29B
Minority Interest Expense,535M,1.71B,1.01B,908M,1.88B
Net Income,(115.99B),7.55B,11.56B,12.63B,2.41B
Net Income Growth,-,106.51%,53.03%,9.27%,-80.92%
Net Margin Growth,-,-,-,-,0.81%
Extraordinaries & Discontinued Operations,822M,(426M),-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,822M,(426M),-,-,-
Net Income After Extraordinaries,(115.16B),7.13B,11.56B,12.63B,2.41B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,(115.16B),7.13B,11.56B,12.63B,2.41B
EPS (Basic),(230.55),14.27,23.14,25.28,4.83
EPS (Basic) Growth,-,106.19%,62.16%,9.25%,-80.91%
Basic Shares Outstanding,499.52M,499.52M,499.52M,499.52M,499.22M
EPS (Diluted),(230.55),14.27,23.14,25.28,4.83
EPS (Diluted) Growth,-,106.19%,62.16%,9.25%,-80.91%
Diluted Shares Outstanding,499.52M,499.52M,499.52M,499.52M,499.22M
EBITDA,42.09B,63.02B,79.12B,72.31B,48.93B
EBITDA Growth,-,49.75%,25.54%,-8.60%,-32.34%
EBITDA Margin,-,-,-,-,16.50%
