Description,2015 ,2016,2017,2018,2019

Sales/Revenue,27.08B,25.78B,25.64B,25.74B,25.33B
Sales Growth,-,-4.80%,-0.53%,0.38%,-1.59%
Cost of Goods Sold (COGS) incl. D&A,17.56B,16.68B,16.17B,16.18B,16.15B
COGS excluding D&A,16.5B,15.62B,15.18B,15.22B,15.17B
Depreciation & Amortization Expense,1.06B,1.06B,991M,962M,981M
Depreciation,1.04B,1.05B,981M,952M,693M
Amortization of Intangibles,23M,10M,10M,10M,288M
COGS Growth,-,-5.00%,-3.04%,0.03%,-0.15%
Gross Income,9.52B,9.1B,9.47B,9.56B,9.18B
Gross Income Growth,-,-4.44%,4.07%,0.98%,-4.01%
Gross Profit Margin,-,-,-,-,36.24%

SG&A Expense,7.2B,7.27B,7.82B,7.95B,7.9B
Research & Development,-,-,-,-,-
Other SG&A,7.2B,7.27B,7.82B,7.95B,7.9B
SGA Growth,-,1.06%,7.54%,1.64%,-0.63%
Other Operating Expense,-,145M,144M,130M,120M
Unusual Expense,288M,577M,176M,169M,384M
EBIT after Unusual Expense,2.04B,1.11B,(176M),1.32B,778M
Non Operating Income/Expense,-,209M,496M,340M,135M
Non-Operating Interest Income,2M,4M,11M,25M,20M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,363M,367M,321M,261M,205M
Interest Expense Growth,-,1.10%,-12.53%,-18.69%,-21.46%
Gross Interest Expense,380M,377M,332M,271M,214M
Interest Capitalized,17M,10M,11M,10M,9M
Pretax Income,1.68B,952M,1.52B,1.42B,728M
Pretax Income Growth,-,-43.27%,59.24%,-6.33%,-48.73%
Pretax Margin,-,-,-,-,2.87%
Income Tax,608M,341M,(39M),322M,164M
Income Tax - Current Domestic,536M,470M,383M,209M,170M
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,72M,(129M),(422M),113M,(6M)
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.07B,611M,1.56B,1.1B,564M
Minority Interest Expense,(2M),(8M),(11M),(10M),-
Net Income,1.07B,619M,1.57B,1.11B,564M
Net Income Growth,-,-42.26%,152.99%,-29.25%,-49.10%
Net Margin Growth,-,-,-,-,2.23%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.07B,619M,1.57B,1.11B,564M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.07B,619M,1.57B,1.11B,564M
EPS (Basic),3.26,2.01,5.13,3.60,1.82
EPS (Basic) Growth,-,-38.34%,155.11%,-29.78%,-49.43%
Basic Shares Outstanding,328.4M,308.5M,305.4M,307.7M,309.7M
EPS (Diluted),3.22,1.99,5.10,3.56,1.81
EPS (Diluted) Growth,-,-38.20%,156.50%,-30.29%,-49.10%
Diluted Shares Outstanding,333M,310.8M,306.8M,311.4M,311.4M
EBITDA,3.39B,2.74B,2.5B,2.45B,2.14B
EBITDA Growth,-,-19.10%,-8.90%,-2.00%,-12.42%
EBITDA Margin,-,-,-,-,8.46%
