Description,2015 ,2016,2017,2018,2019

Sales/Revenue,12.5B,23.64B,23.15B,22.56B,23.33B
Sales Growth,-,89.14%,-2.09%,-2.52%,3.42%
Cost of Goods Sold (COGS) incl. D&A,7.28B,16.12B,15.04B,15.05B,15.74B
COGS excluding D&A,6.99B,14.53B,13.44B,13.6B,14.06B
Depreciation & Amortization Expense,286M,1.59B,1.59B,1.46B,1.68B
Depreciation,-,578M,541M,491M,700M
Amortization of Intangibles,-,1.02B,1.05B,964M,984M
COGS Growth,-,121.55%,-6.74%,0.11%,4.60%
Gross Income,5.22B,7.52B,8.11B,7.51B,7.59B
Gross Income Growth,-,43.99%,7.89%,-7.40%,1.05%
Gross Profit Margin,-,-,-,-,32.53%

SG&A Expense,3.52B,7.52B,7.28B,6.96B,6.15B
Research & Development,2B,4.32B,4.23B,4.02B,3.84B
Other SG&A,1.52B,3.2B,3.05B,2.94B,2.31B
SGA Growth,-,113.61%,-3.22%,-4.37%,-11.70%
Other Operating Expense,40M,-,-,-,65M
Unusual Expense,(77M),1.3B,1.2B,567M,825M
EBIT after Unusual Expense,1.74B,(1.3B),(368M),(14M),556M
Non Operating Income/Expense,(110M),143M,62M,(150M),(246M)
Non-Operating Interest Income,31M,84M,35M,76M,73M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,149M,312M,250M,284M,239M
Interest Expense Growth,-,109.40%,-19.87%,13.60%,-15.85%
Gross Interest Expense,149M,312M,250M,284M,239M
Interest Capitalized,-,-,-,-,-
Pretax Income,1.51B,(1.39B),(521M),(372M),144M
Pretax Income Growth,-,-191.79%,62.44%,28.60%,138.71%
Pretax Margin,-,-,-,-,0.62%
Income Tax,346M,(457M),927M,189M,138M
Income Tax - Current Domestic,258M,534M,261M,530M,367M
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,88M,(991M),666M,(341M),(229M)
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,29M,18M,11M,12M,12M
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.19B,(912M),(1.44B),(549M),18M
Minority Interest Expense,2M,(161M),36M,5M,4M
Net Income,1.19B,(751M),(1.47B),(554M),14M
Net Income Growth,-,-163.00%,-96.14%,62.39%,102.53%
Net Margin Growth,-,-,-,-,0.06%
Extraordinaries & Discontinued Operations,1.27B,(15M),(21M),214M,(7M)
Extra Items & Gain/Loss Sale Of Assets,1.18B,14M,5M,-,6M
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,96M,(29M),(26M),214M,(13M)
Net Income After Extraordinaries,2.47B,(766M),(1.49B),(340M),7M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.29B,(780M),(1.5B),(340M),1M
EPS (Basic),0.35,(0.14),(0.27),(0.06),0.00
EPS (Basic) Growth,-,-138.89%,-94.86%,77.07%,100.33%
Basic Shares Outstanding,3.67B,5.73B,5.65B,5.59B,5.6B
EPS (Diluted),0.33,(0.14),(0.27),(0.06),0.00
EPS (Diluted) Growth,-,-141.24%,-94.86%,77.07%,100.33%
Diluted Shares Outstanding,3.95B,5.73B,5.65B,5.59B,5.63B
EBITDA,1.95B,1.59B,2.43B,2.01B,3.07B
EBITDA Growth,-,-18.17%,52.20%,-17.23%,52.64%
EBITDA Margin,-,-,-,-,13.14%
