Description,2015 ,2016,2017,2018,2019

Sales/Revenue,11.34M,8.08M,9.47M,"493,000",2.97M
Total Investment Income,-,-,-,-,-
Sundry Revenue/Income,2.98M,2.51M,1.85M,-,-
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,-,-,-,-,-
Sales Growth,-,-28.73%,17.26%,-94.80%,501.42%
Total Expense,16.17M,9.1M,9.45M,21.29M,20.37M
Total Interest Expense,"360,000",-,-,-,"67,000"
Depreciation & Amortization Expense,-,-,-,3.8M,1.99M
Other Operating Expense,-,-,-,-,-

Operating Income,(4.84M),(1.02M),"22,000",(20.8M),(17.4M)
Operating Income Growth,-,78.89%,102.15%,"-94,622.73%",16.32%
Non-Operating Income (Expense),(7.69M),(8.18M),9.19M,7.58M,2.17M
Non-Operating Interest Income,-,-,-,5.6M,2.36M
Miscellaneous Non Operating Expense,(7.69M),(8.18M),9.19M,1.98M,"(186,000)"
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,-,"(300,000)",4.57M,"35,000",-
Pretax Income,(12.53M),(8.9M),4.64M,(13.25M),(15.23M)
Pretax Income Growth,-,28.96%,152.10%,-385.83%,-14.92%
Pretax Margin,-,-,-,-,-513.69%
Income Taxes,-,-,-,-,(2.04M)
Income Tax - Current - Domestic,-,-,-,-,-
Income Tax - Current - Foreign,-,-,-,-,-
Income Tax - Deferred - Domestic,-,-,-,-,(2.04M)
Income Tax - Deferred - Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,(12.53M),(8.9M),4.64M,(13.25M),(13.19M)
Minority Interest Expense,-,-,-,-,-
Net Income,(12.53M),(8.9M),4.64M,(13.25M),(13.19M)
Net Income Growth,-,28.96%,152.10%,-385.83%,0.48%
Net Margin,-,-,-,-,-444.89%
Extraordinaries & Discontinued Operations,"(630,000)","(634,000)","(693,000)",-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,"(630,000)","(634,000)","(693,000)",-,-
Net Income After Extraordinaries,(11.9M),(8.27M),5.33M,-,-
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,(13.16M),(9.53M),3.94M,(13.25M),(13.19M)
EPS (Basic),(0.32),(0.26),0.11,(0.35),(0.34)
EPS (Basic) - Growth,-,18.75%,142.31%,-418.55%,1.80%
Basic Shares Outstanding,40.55M,36.67M,36.81M,37.83M,38.33M
EPS (Diluted),(0.32),(0.26),0.11,(0.35),(0.34)
EPS (Diluted) Growth,-,18.75%,142.31%,-418.55%,1.80%
Diluted Shares Outstanding,40.55M,36.67M,37.49M,37.83M,38.33M
