Description,2015 ,2016,2017,2018,2019

Sales/Revenue,539.11M,504.66M,506.31M,505.57M,433.11M
Sales Growth,-,-6.39%,0.33%,-0.15%,-14.33%
Cost of Goods Sold (COGS) incl. D&A,369.03M,335.28M,363.41M,367.88M,319.16M
COGS excluding D&A,353.88M,320.96M,350.6M,356.07M,292.87M
Depreciation & Amortization Expense,15.15M,14.32M,12.82M,11.8M,26.29M
Depreciation,-,-,11.05M,10.73M,25.26M
Amortization of Intangibles,-,-,1.77M,1.07M,1.03M
COGS Growth,-,-9.15%,8.39%,1.23%,-13.24%
Gross Income,170.08M,169.38M,142.89M,137.69M,113.94M
Gross Income Growth,-,-0.41%,-15.64%,-3.64%,-17.25%
Gross Profit Margin,-,-,-,-,26.31%

SG&A Expense,175.67M,166.36M,168.86M,171.64M,141.26M
Research & Development,3.7M,4.44M,-,-,-
Other SG&A,171.97M,161.92M,168.86M,171.64M,141.26M
SGA Growth,-,-5.30%,1.51%,1.64%,-17.70%
Other Operating Expense,2.83M,2.84M,2.63M,2.39M,2.49M
Unusual Expense,4.27M,2.13M,(5.08M),"(869,476)",1.17M
EBIT after Unusual Expense,(12.69M),(1.94M),5.08M,(35.46M),(30.98M)
Non Operating Income/Expense,(1.2M),4.01M,(1.29M),90M,3.5M
Non-Operating Interest Income,"768,147","759,394","366,579","225,332","135,429"
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,4.4M,5.29M,7.09M,6.58M,8.87M
Interest Expense Growth,-,20.21%,34.14%,-7.20%,34.79%
Gross Interest Expense,4.4M,5.29M,7.09M,6.58M,8.87M
Interest Capitalized,-,-,-,-,-
Pretax Income,(17.53M),(2.46M),(31.54M),48.18M,(36.21M)
Pretax Income Growth,-,85.96%,"-1,181.79%",252.77%,-175.17%
Pretax Margin,-,-,-,-,-8.36%
Income Tax,"631,294",4.68M,3.26M,8.76M,2.61M
Income Tax - Current Domestic,"118,092","677,715","45,117",5.31M,"654,760"
Income Tax - Current Foreign,"506,580",3.81M,4.26M,3.6M,1.57M
Income Tax - Deferred Domestic,-,"(16,557)","349,660","(318,532)","433,149"
Income Tax - Deferred Foreign,"6,622","214,131",(1.4M),"168,704","(41,412)"
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,"(342,127)",1.13M
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,(18.16M),(7.14M),(34.79M),39.07M,(37.7M)
Minority Interest Expense,"35,317","(420,536)","(510,954)","(200,557)","(346,967)"
Net Income,(18.19M),(6.72M),(34.28M),39.27M,(37.35M)
Net Income Growth,-,63.06%,-410.06%,214.56%,-195.10%
Net Margin Growth,-,-,-,-,-8.62%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,(18.19M),(6.72M),(34.28M),39.27M,(37.35M)
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,(18.19M),(6.72M),(34.28M),39.27M,(37.35M)
EPS (Basic),(1.66),(0.61),(3.12),3.58,(3.41)
EPS (Basic) Growth,-,63.33%,-414.69%,214.56%,-195.36%
Basic Shares Outstanding,10.97M,10.97M,10.97M,10.97M,10.97M
EPS (Diluted),(1.66),(0.61),(3.12),3.58,(3.41)
EPS (Diluted) Growth,-,63.33%,-414.69%,214.56%,-195.36%
Diluted Shares Outstanding,10.97M,10.97M,10.97M,10.97M,10.97M
EBITDA,6.73M,14.5M,(15.78M),(24.53M),(3.52M)
EBITDA Growth,-,115.43%,-208.84%,-55.43%,85.64%
EBITDA Margin,-,-,-,-,-0.81%
