Description,2015 ,2016,2017,2018,2019

Sales/Revenue,638.28M,669.21M,705.61M,723.55M,722.8M
Total Investment Income,-,-,-,-,-
Sundry Revenue/Income,193.67M,198.27M,199.66M,222.6M,127.54M
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",16.18M,19.07M,27.73M,13.83M,16.16M
Commission & Fee Income,16.18M,19.07M,27.73M,13.83M,14.91M
Sales Growth,-,4.84%,5.44%,2.54%,-0.10%
Total Expense,554.4M,555.81M,578.52M,612.31M,647.34M
Total Interest Expense,67.49M,71.15M,67.33M,77.78M,78.02M
Depreciation & Amortization Expense,160.12M,154.25M,162.82M,170.22M,182.11M
Other Operating Expense,"193,000","98,000","289,000",-,-

Operating Income,83.88M,113.4M,127.08M,111.23M,75.46M
Operating Income Growth,-,35.19%,12.07%,-12.47%,-32.16%
Non-Operating Income (Expense),-,-,-,10.66M,11.26M
Non-Operating Interest Income,-,-,-,10.66M,11.26M
Miscellaneous Non Operating Expense,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,-,-,2.16M,-,-
Pretax Income,83.88M,113.4M,124.93M,121.9M,86.72M
Pretax Income Growth,-,35.19%,10.17%,-2.43%,-28.86%
Pretax Margin,-,-,-,-,12.00%
Income Taxes,3.95M,6.15M,6.67M,4.64M,2.43M
Income Tax - Current - Domestic,4.22M,5.69M,6.23M,4.64M,1.95M
Income Tax - Current - Foreign,-,-,-,-,-
Income Tax - Deferred - Domestic,"(267,000)","459,000","446,000",-,"480,000"
Income Tax - Deferred - Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),"(24,000)","(36,000)","(36,000)","(38,000)","(45,000)"
Consolidated Net Income,79.9M,107.21M,118.22M,117.22M,84.25M
Minority Interest Expense,45.26M,54.86M,54.67M,50.71M,33.1M
Net Income,34.64M,52.36M,63.55M,66.5M,51.14M
Net Income Growth,-,51.13%,21.37%,4.65%,-23.09%
Net Margin,-,-,-,-,7.08%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,-,-,-,-
Preferred Dividends,"936,000","936,000","936,000","936,000",1.74M
Net Income Available to Common,33.71M,51.42M,62.61M,65.57M,49.4M
EPS (Basic),0.30,0.38,0.40,0.39,0.28
EPS (Basic) - Growth,-,26.67%,5.26%,-2.18%,-29.21%
Basic Shares Outstanding,114.25M,133.88M,158.38M,167.57M,178.34M
EPS (Diluted),0.29,0.38,0.39,0.39,0.28
EPS (Diluted) Growth,-,31.03%,2.63%,0.31%,-29.19%
Diluted Shares Outstanding,266.62M,277.57M,298.05M,297.26M,178.34M
