Description,2015 ,2016,2017,2018,2019

Sales/Revenue,12.48B,10.09B,12.46B,15.57B,18.7B
Sales Growth,-,-19.11%,23.44%,24.96%,20.08%
Cost of Goods Sold (COGS) incl. D&A,10.38B,9.52B,9.68B,10.66B,14.56B
COGS excluding D&A,5.83B,5.22B,5.63B,6.62B,8.49B
Depreciation & Amortization Expense,4.55B,4.3B,4.05B,4.03B,6.07B
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
COGS Growth,-,-8.33%,1.67%,10.10%,36.69%
Gross Income,2.09B,575M,2.78B,4.92B,4.13B
Gross Income Growth,-,-72.54%,383.83%,76.67%,-15.93%
Gross Profit Margin,-,-,-,-,22.10%

SG&A Expense,1.27B,1.33B,1.42B,585M,882M
Research & Development,-,-,-,-,-
Other SG&A,1.27B,1.33B,1.42B,585M,882M
SGA Growth,-,4.72%,7.07%,-58.92%,50.77%
Other Operating Expense,343M,277M,311M,1.47B,2.13B
Unusual Expense,10.24B,829M,497M,(1.69B),1.08B
EBIT after Unusual Expense,(10.24B),(1.86B),550M,1.69B,40M
Non Operating Income/Expense,100M,194M,668M,987M,624M
Non-Operating Interest Income,119M,114M,98M,123M,215M
Equity in Affiliates (Pretax),-,-,-,331M,373M
Interest Expense,147M,292M,345M,389M,1.07B
Interest Expense Growth,-,98.64%,18.15%,12.75%,174.04%
Gross Interest Expense,285M,356M,397M,435M,1.15B
Interest Capitalized,138M,64M,52M,46M,85M
Pretax Income,(9.68B),(1.85B),971M,5.61B,186M
Pretax Income Growth,-,80.95%,152.63%,477.55%,-96.68%
Pretax Margin,-,-,-,-,0.99%
Income Tax,(1.33B),(662M),17M,1.48B,693M
Income Tax - Current Domestic,(841M),(775M),(70M),29M,79M
Income Tax - Current Foreign,883M,630M,806M,1.08B,1.64B
Income Tax - Deferred Domestic,(1.23B),(524M),(833M),434M,(113M)
Income Tax - Deferred Foreign,(143M),7M,114M,(63M),(914M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,208M,181M,357M,-,-
Other After Tax Income (Expense),-,-,(6M),(17M),-
Consolidated Net Income,(8.15B),(1B),1.31B,4.11B,(507M)
Minority Interest Expense,-,-,-,-,145M
Net Income,(8.15B),(1B),1.31B,4.11B,(652M)
Net Income Growth,-,87.70%,230.24%,215.25%,-115.85%
Net Margin Growth,-,-,-,-,-3.49%
Extraordinaries & Discontinued Operations,317M,428M,-,-,(15M)
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,317M,428M,-,-,(15M)
Net Income After Extraordinaries,(7.83B),(574M),1.31B,4.11B,(667M)
Preferred Dividends,-,-,-,-,318M
Net Income Available to Common,(7.83B),(574M),1.31B,4.11B,(985M)
EPS (Basic),(10.23),(0.75),1.71,5.40,(1.22)
EPS (Basic) Growth,-,92.67%,328.00%,215.85%,-122.53%
Basic Shares Outstanding,765.6M,763.8M,765.1M,761.7M,809.5M
EPS (Diluted),(10.23),(0.75),1.70,5.39,(1.22)
EPS (Diluted) Growth,-,92.67%,326.67%,217.05%,-122.58%
Diluted Shares Outstanding,765.6M,763.8M,765.9M,763.3M,809.5M
EBITDA,5.04B,3.27B,5.1B,6.9B,7.19B
EBITDA Growth,-,-35.07%,56.01%,35.22%,4.23%
EBITDA Margin,-,-,-,-,38.45%
