Description,2015 ,2016,2017,2018,2019

Sales/Revenue,48.85B,52.82B,52.55B,53.65B,51.75B
Sales Growth,-,8.13%,-0.53%,2.10%,-3.54%
Cost of Goods Sold (COGS) incl. D&A,13.16B,15.95B,15.78B,16.01B,14.74B
COGS excluding D&A,8B,10.2B,9.51B,9.62B,8.73B
Depreciation & Amortization Expense,5.16B,5.76B,6.27B,6.38B,6.01B
Depreciation,1.43B,1.7B,1.51B,1.49B,1.4B
Amortization of Intangibles,3.73B,4.06B,4.76B,4.89B,4.61B
COGS Growth,-,21.26%,-1.11%,1.46%,-7.93%
Gross Income,35.69B,36.87B,36.77B,37.64B,37.01B
Gross Income Growth,-,3.29%,-0.27%,2.37%,-1.67%
Gross Profit Margin,-,-,-,-,71.52%

SG&A Expense,22.4B,22.6B,22.38B,22.35B,22.89B
Research & Development,7.67B,7.84B,7.65B,7.97B,8.62B
Other SG&A,14.73B,14.76B,14.73B,14.38B,14.27B
SGA Growth,-,0.88%,-0.96%,-0.13%,2.43%
Other Operating Expense,-,-,-,-,-
Unusual Expense,3.97B,6.65B,2.24B,3.62B,4.53B
EBIT after Unusual Expense,(3.97B),7.62B,(2.24B),11.67B,9.59B
Non Operating Income/Expense,321M,1.45B,1.04B,1.2B,9.42B
Non-Operating Interest Income,471M,470M,391M,333M,226M
Equity in Affiliates (Pretax),45M,-,-,-,17M
Interest Expense,1.2B,1.19B,1.27B,1.32B,1.57B
Interest Expense Growth,-,-1.08%,7.08%,3.62%,19.60%
Gross Interest Expense,1.23B,1.25B,1.34B,1.39B,1.66B
Interest Capitalized,32M,61M,72M,73M,88M
Pretax Income,8.97B,8.35B,12.31B,11.89B,17.68B
Pretax Income Growth,-,-6.85%,47.35%,-3.41%,48.78%
Pretax Margin,-,-,-,-,34.17%
Income Tax,1.99B,1.12B,(9.05B),706M,1.38B
Income Tax - Current Domestic,59M,290M,14.45B,(2.36B),(1.94B)
Income Tax - Current Foreign,1.95B,1.53B,2.71B,2.83B,2.9B
Income Tax - Deferred Domestic,264M,(525M),(26.16B),792M,1.35B
Income Tax - Deferred Foreign,(284M),(175M),(42M),(558M),(919M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,6.98B,7.23B,21.35B,11.18B,16.3B
Minority Interest Expense,26M,31M,47M,36M,29M
Net Income,6.95B,7.2B,21.31B,11.14B,16.27B
Net Income Growth,-,3.58%,196.00%,-47.70%,46.00%
Net Margin Growth,-,-,-,-,31.44%
Extraordinaries & Discontinued Operations,11M,17M,2M,10M,4M
Extra Items & Gain/Loss Sale Of Assets,(6M),-,3M,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,17M,17M,(1M),10M,4M
Net Income After Extraordinaries,6.96B,7.22B,21.31B,11.15B,16.27B
Preferred Dividends,1M,1M,1M,1M,1M
Net Income Available to Common,6.97B,7.21B,21.3B,11.15B,16.27B
EPS (Basic),1.13,1.18,3.57,1.90,2.92
EPS (Basic) Growth,-,4.63%,202.42%,-46.78%,53.85%
Basic Shares Outstanding,6.18B,6.09B,5.97B,5.87B,5.57B
EPS (Diluted),1.11,1.17,3.52,1.87,2.87
EPS (Diluted) Growth,-,5.09%,200.58%,-46.94%,53.67%
Diluted Shares Outstanding,6.26B,6.16B,6.06B,5.98B,5.68B
EBITDA,18.45B,20.03B,20.66B,21.67B,20.13B
EBITDA Growth,-,8.55%,3.14%,4.90%,-7.13%
EBITDA Margin,-,-,-,-,38.89%
