Description,2015 ,2016,2017,2018,2019

Sales/Revenue,2.69B,2.73B,2.79B,2.74B,2.82B
Total Investment Income,-,-,-,-,-
Sundry Revenue/Income,-,-,-,-,1.05B
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,-,-,-,-,-
Sales Growth,-,1.45%,2.35%,-1.93%,2.89%
Total Expense,2.22B,2.29B,2.4B,2.33B,2.53B
Total Interest Expense,-,-,-,-,140M
Depreciation & Amortization Expense,287M,300M,288M,277M,264M
Other Operating Expense,-,-,-,-,-

Operating Income,469M,433M,396M,407M,291M
Operating Income Growth,-,-7.68%,-8.55%,2.78%,-28.50%
Non-Operating Income (Expense),160M,(16M),39M,219M,84M
Non-Operating Interest Income,1M,2M,2M,6M,6M
Miscellaneous Non Operating Expense,137M,(21M),(3M),195M,64M
Equity in Affiliates (Pretax),22M,3M,40M,18M,14M
Unusual Expense,26M,15M,26M,(1M),24M
Pretax Income,417M,221M,285M,500M,351M
Pretax Income Growth,-,-47.00%,28.96%,75.44%,-29.80%
Pretax Margin,-,-,-,-,12.46%
Income Taxes,118M,82M,(2.35B),23M,35M
Income Tax - Current - Domestic,117M,-,23M,40M,-
Income Tax - Current - Foreign,8M,-,9M,3M,-
Income Tax - Deferred - Domestic,(5M),-,(2.37B),(18M),-
Income Tax - Deferred - Foreign,(2M),-,(5M),(2M),-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,(8M),(2M),-
Consolidated Net Income,299M,139M,2.62B,475M,316M
Minority Interest Expense,7M,6M,6M,5M,10M
Net Income,292M,133M,2.62B,470M,306M
Net Income Growth,-,-54.45%,"1,867.67%",-82.04%,-34.89%
Net Margin,-,-,-,-,10.87%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,-,-,-,-
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,292M,133M,2.62B,470M,306M
EPS (Basic),1.48,0.67,12.40,2.32,1.44
EPS (Basic) - Growth,-,-54.58%,"1,751.16%",-81.33%,-37.66%
Basic Shares Outstanding,197.96M,198M,211M,203M,212M
EPS (Diluted),1.48,0.67,12.23,2.30,1.44
EPS (Diluted) Growth,-,-54.58%,"1,725.22%",-81.16%,-37.64%
Diluted Shares Outstanding,197.96M,198M,214M,204M,213M
