Description,2015 ,2016,2017,2018,2019

Sales/Revenue,-,-,-,595.41M,742.56M
Sales Growth,-,-,-,-,24.71%
Cost of Goods Sold (COGS) incl. D&A,-,-,-,165.4M,242.37M
COGS excluding D&A,-,-,-,151.6M,230.17M
Depreciation & Amortization Expense,-,-,-,13.8M,12.2M
Depreciation,-,-,-,13.8M,12.2M
Amortization of Intangibles,-,-,-,-,-
COGS Growth,-,-,-,-,46.54%
Gross Income,-,-,-,430.01M,500.18M
Gross Income Growth,-,-,-,-,16.32%
Gross Profit Margin,-,-,-,-,67.36%

SG&A Expense,-,-,-,1.05B,1.08B
Research & Development,-,-,-,285.45M,305.56M
Other SG&A,-,-,-,768M,771.06M
SGA Growth,-,-,-,-,2.20%
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,-,-,(48.09M),"3,000"
EBIT after Unusual Expense,-,-,-,(575.35M),(576.45M)
Non Operating Income/Expense,-,-,-,(2.64M),(2.85M)
Non-Operating Interest Income,-,-,-,10.5M,15.09M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,-,-,-,3.44M,3.06M
Interest Expense Growth,-,-,-,-,-11.02%
Gross Interest Expense,-,-,-,3.44M,3.06M
Interest Capitalized,-,-,-,-,-
Pretax Income,-,-,-,(570.93M),(567.27M)
Pretax Income Growth,-,-,-,-,0.64%
Pretax Margin,-,-,-,-,-76.39%
Income Tax,-,-,-,9.1M,12.38M
Income Tax - Current Domestic,-,-,-,"142,000","139,000"
Income Tax - Current Foreign,-,-,-,15.95M,19.44M
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,(6.99M),(7.2M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,(8.48M)
Consolidated Net Income,-,-,-,(580.03M),(588.13M)
Minority Interest Expense,-,-,-,-,-
Net Income,-,-,-,(580.03M),(588.13M)
Net Income Growth,-,-,-,-,-1.40%
Net Margin Growth,-,-,-,-,-79.20%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,-,-,(580.03M),(588.13M)
Preferred Dividends,-,-,-,18.1M,-
Net Income Available to Common,-,-,-,(598.13M),(588.13M)
EPS (Basic),-,-,-,(0.36),(0.36)
EPS (Basic) Growth,-,-,-,-,1.68%
Basic Shares Outstanding,-,-,-,1.65B,1.65B
EPS (Diluted),-,-,-,(0.36),(0.36)
EPS (Diluted) Growth,-,-,-,-,1.68%
Diluted Shares Outstanding,-,-,-,1.65B,1.65B
EBITDA,-,-,-,(609.64M),(564.24M)
EBITDA Growth,-,-,-,-,7.45%
EBITDA Margin,-,-,-,-,-75.99%
