D,e,s,c,r,i,p,t,i,o,n
2,0,1,5, 
2,0,1,6
2,0,1,7
2,0,1,8
2,0,1,9

Sales/Revenue,2.29B,2.28B,2.37B,2.43B,2.35B
Sales Growth,-,-0.49%,3.86%,2.36%,-3.24%
Cost of Goods Sold (COGS) incl. D&A,1.39B,1.37B,1.41B,1.45B,1.51B
COGS excluding D&A,1.3B,1.28B,1.33B,1.37B,1.43B
Depreciation & Amortization Expense,80.52M,83.63M,85.17M,78.58M,81.12M
Depreciation,61.63M,66.38M,68.21M,66.3M,67.02M
Amortization of Intangibles,18.89M,17.25M,16.96M,12.27M,14.1M
COGS Growth,-,-1.42%,3.27%,2.72%,4.50%
Gross Income,909.26M,917.79M,961.33M,978.94M,835M
Gross Income Growth,-,0.94%,4.74%,1.83%,-14.70%
Gross Profit Margin,-,-,-,-,35.55%

SG&A Expense,635.86M,643.71M,672.72M,700.66M,719.11M
Research & Development,20.64M,22.25M,23.33M,23.39M,23.2M
Other SG&A,615.22M,621.46M,649.39M,677.27M,695.91M
SGA Growth,-,1.23%,4.51%,4.15%,2.63%
Other Operating Expense,-,-,-,-,-
Unusual Expense,95.79M,1.46M,8.48M,6.24M,591.71M
EBIT after Unusual Expense,177.61M,272.63M,280.14M,272.05M,(475.81M)
Non Operating Income/Expense,(35.82M),3.78M,(4.82M),(5.11M),56.07M
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),"(562,000)","(314,000)","194,000","369,000","472,000"
Interest Expense,123.36M,89.38M,87.37M,105.71M,114.9M
Interest Expense Growth,-,-27.55%,-2.25%,20.99%,8.70%
Gross Interest Expense,123.36M,89.38M,87.37M,105.71M,114.9M
Interest Capitalized,-,-,-,-,-
Pretax Income,17.87M,186.71M,188.14M,161.6M,(534.16M)
Pretax Income Growth,-,944.96%,0.77%,-14.11%,-430.55%
Pretax Margin,-,-,-,-,-22.74%
Income Tax,7.41M,69.24M,(27.2M),38.78M,(1.31M)
Income Tax - Current Domestic,10.79M,58.97M,68.16M,26.34M,33.52M
Income Tax - Current Foreign,2.8M,6.86M,7.3M,7.87M,12.54M
Income Tax - Deferred Domestic,(7.8M),2.38M,(102.57M),5.31M,(48.37M)
Income Tax - Deferred Foreign,1.62M,1.02M,"(81,000)","(741,000)",1.01M
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,"(410,000)","409,000",-
Consolidated Net Income,10.46M,117.48M,214.93M,123.23M,(532.86M)
Minority Interest Expense,-,-,-,"(31,000)","(363,000)"
Net Income,10.46M,117.48M,214.93M,123.26M,(532.5M)
Net Income Growth,-,"1,023.21%",82.95%,-42.65%,-532.01%
Net Margin Growth,-,-,-,-,-22.67%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,10.46M,117.48M,214.93M,123.26M,(532.5M)
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,10.46M,117.48M,214.93M,123.26M,(532.5M)
EPS (Basic),0.09,0.98,1.81,1.28,(5.71)
EPS (Basic) Growth,-,988.89%,84.69%,-29.16%,-545.14%
Basic Shares Outstanding,111.92M,119.38M,118.59M,96.13M,93.3M
EPS (Diluted),0.09,0.98,1.79,1.27,(5.71)
EPS (Diluted) Growth,-,988.89%,82.65%,-29.21%,-550.41%
Diluted Shares Outstanding,112.94M,120.37M,119.89M,97.27M,93.3M
EBITDA,353.91M,357.71M,373.78M,356.86M,197.01M
EBITDA Growth,-,1.07%,4.49%,-4.53%,-44.79%
EBITDA Margin,-,-,-,-,8.39%
