D,e,s,c,r,i,p,t,i,o,n
2,0,1,5, 
2,0,1,6
2,0,1,7
2,0,1,8
2,0,1,9

Sales/Revenue,41.09M,63.2M,175.22M,497.75M,350.39M
Sales Growth,-,53.83%,177.24%,184.08%,-29.61%
Cost of Goods Sold (COGS) incl. D&A,36.7M,51.63M,163.87M,476.04M,347.49M
COGS excluding D&A,27.77M,49.01M,161.83M,474.6M,346.51M
Depreciation & Amortization Expense,8.93M,2.62M,2.04M,1.44M,"976,679"
Depreciation,-,2.62M,1.97M,"967,131","592,017"
Amortization of Intangibles,-,-,"61,207","474,574","384,661"
COGS Growth,-,40.70%,217.36%,190.50%,-27.00%
Gross Income,4.39M,11.57M,11.35M,21.71M,2.89M
Gross Income Growth,-,163.59%,-1.89%,91.31%,-86.67%
Gross Profit Margin,-,-,-,-,0.83%

SG&A Expense,109.63M,84.39M,89.3M,131.89M,110.54M
Research & Development,32.37M,20.7M,17.49M,26.33M,26.19M
Other SG&A,77.26M,63.7M,71.81M,105.56M,84.35M
SGA Growth,-,-23.02%,5.82%,47.69%,-16.19%
Other Operating Expense,-,-,-,-,-
Unusual Expense,4.26M,102.04M,2.61M,58.61M,"(374,644)"
EBIT after Unusual Expense,(109.5M),(174.87M),(2.61M),(168.78M),(107.27M)
Non Operating Income/Expense,(105.1M),13.41M,40M,21.75M,2.88M
Non-Operating Interest Income,2.19M,"916,642",1.99M,5.75M,8.85M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,2.04M,12.41M,4.34M,5.1M,4.63M
Interest Expense Growth,-,508.27%,-65.05%,17.57%,-9.17%
Gross Interest Expense,2.04M,12.41M,4.34M,5.1M,4.63M
Interest Capitalized,-,-,-,-,-
Pretax Income,(214.45M),(172.96M),(42.9M),(146.37M),(100.17M)
Pretax Income Growth,-,19.35%,75.19%,-241.18%,31.57%
Pretax Margin,-,-,-,-,-28.59%
Income Tax,3.12M,2.46M,4.49M,9.84M,"24,041"
Income Tax - Current Domestic,-,2.46M,4.49M,9.84M,"24,041"
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,(5.46M),(18.14M),56.17M,(2.46M),(7.48M)
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,(223.04M),(193.56M),8.78M,(158.67M),(107.67M)
Minority Interest Expense,(1.53M),-,"(76,258)",(8.05M),(56.49M)
Net Income,(221.51M),(193.56M),8.85M,(150.62M),(51.18M)
Net Income Growth,-,12.62%,104.57%,"-1,801.00%",66.02%
Net Margin Growth,-,-,-,-,-14.61%
Extraordinaries & Discontinued Operations,1.52M,8.68M,(119.66M),223.1M,-
Extra Items & Gain/Loss Sale Of Assets,-,8.29M,-,241.88M,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,1.52M,"389,997",(119.66M),(18.78M),-
Net Income After Extraordinaries,(219.99M),(184.88M),(110.8M),72.47M,(51.18M)
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,(219.99M),(193.17M),(110.8M),(169.4M),(51.18M)
EPS (Basic),(9.89),(1.28),(4.85),(7.36),(2.20)
EPS (Basic) Growth,-,87.02%,-277.42%,-51.73%,70.15%
Basic Shares Outstanding,22.65M,22.73M,22.86M,23.03M,23.31M
EPS (Diluted),(9.89),(1.28),(4.85),(7.36),(2.20)
EPS (Diluted) Growth,-,87.02%,-277.42%,-51.73%,70.15%
Diluted Shares Outstanding,22.83M,22.83M,22.86M,23.03M,23.31M
EBITDA,(96.31M),(70.21M),(75.92M),(108.73M),(106.67M)
EBITDA Growth,-,27.10%,-8.13%,-43.23%,1.90%
EBITDA Margin,-,-,-,-,-30.44%
