Description,2015 ,2016,2017,2018,2019

Sales/Revenue,4.15B,4.46B,4.52B,4.83B,4.99B
Sales Growth,-,7.25%,1.44%,6.82%,3.34%
Cost of Goods Sold (COGS) incl. D&A,2.82B,2.98B,3.08B,3.68B,3.64B
COGS excluding D&A,2.76B,2.92B,3.02B,3.29B,3.56B
Depreciation & Amortization Expense,58M,64M,67M,389M,80M
Depreciation,54M,57M,57M,368M,50M
Amortization of Intangibles,4M,7M,10M,21M,30M
COGS Growth,-,6.00%,3.32%,19.20%,-0.98%
Gross Income,1.34B,1.47B,1.44B,1.15B,1.35B
Gross Income Growth,-,9.86%,-2.38%,-19.78%,17.10%
Gross Profit Margin,-,-,-,-,27.04%

SG&A Expense,920M,976M,991M,977M,1.05B
Research & Development,110M,106M,-,105M,139M
Other SG&A,810M,870M,991M,872M,915M
SGA Growth,-,6.09%,1.54%,-1.41%,7.88%
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,-,-,54M,145M
EBIT after Unusual Expense,-,-,-,121M,150M
Non Operating Income/Expense,(165M),(188M),(282M),3M,(10M)
Non-Operating Interest Income,3M,3M,3M,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,-,-,-,20M,69M
Interest Expense Growth,-,-,-,-,245.00%
Gross Interest Expense,-,-,-,20M,69M
Interest Capitalized,-,-,-,-,-
Pretax Income,257M,310M,166M,104M,71M
Pretax Income Growth,-,20.62%,-46.45%,-37.35%,-31.73%
Pretax Margin,-,-,-,-,1.42%
Income Tax,110M,133M,560M,(301M),35M
Income Tax - Current Domestic,72M,88M,215M,(26M),23M
Income Tax - Current Foreign,39M,49M,48M,48M,37M
Income Tax - Deferred Domestic,1M,2M,(6M),(15M),(11M)
Income Tax - Deferred Foreign,(2M),(6M),303M,(308M),(14M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,147M,177M,(394M),405M,36M
Minority Interest Expense,-,-,-,-,-
Net Income,147M,177M,(394M),405M,36M
Net Income Growth,-,20.41%,-322.60%,202.79%,-91.11%
Net Margin Growth,-,-,-,-,0.72%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,147M,177M,(394M),405M,36M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,147M,177M,(394M),405M,36M
EPS (Basic),1.19,1.43,(3.19),3.31,0.29
EPS (Basic) Growth,-,20.41%,-322.59%,203.59%,-91.13%
Basic Shares Outstanding,123.45M,123.45M,123.45M,122.5M,122.72M
EPS (Diluted),1.19,1.43,(3.19),3.30,0.29
EPS (Diluted) Growth,-,20.41%,-322.59%,203.49%,-91.16%
Diluted Shares Outstanding,123.45M,123.45M,123.45M,122.62M,123.24M
EBITDA,477M,559M,512M,564M,375M
EBITDA Growth,-,17.19%,-8.41%,10.16%,-33.51%
EBITDA Margin,-,-,-,-,7.52%
