Description,2015 ,2016,2017,2018,2019

Sales/Revenue,1.09B,1.15B,1.18B,1.28B,1.61B
Total Investment Income,-,-,-,-,-
Sundry Revenue/Income,687.67M,729.2M,752.95M,820.75M,1.05B
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,-,-,-,-,-
Sales Growth,-,5.23%,3.09%,7.63%,25.99%
Total Expense,993.04M,999.31M,1.03B,1.11B,1.47B
Total Interest Expense,61.98M,63.91M,65.13M,73.01M,133.53M
Depreciation & Amortization Expense,114.38M,109.82M,111.96M,120.88M,213.85M
Other Operating Expense,20.2M,-,-,-,-

Operating Income,99.09M,149.9M,158.14M,169.92M,139.03M
Operating Income Growth,-,51.28%,5.49%,7.45%,-18.18%
Non-Operating Income (Expense),21.7M,12.87M,5.15M,132.24M,8.23M
Non-Operating Interest Income,12.38M,11.5M,11.82M,10.47M,11.77M
Miscellaneous Non Operating Expense,9.31M,4.16M,(2.26M),(3.24M),(2.43M)
Equity in Affiliates (Pretax),-,(2.79M),(4.4M),125.01M,(1.11M)
Unusual Expense,21.13M,-,36.34M,25.74M,"494,000"
Pretax Income,99.66M,162.77M,126.95M,276.42M,146.77M
Pretax Income Growth,-,63.33%,-22.01%,117.74%,-46.90%
Pretax Margin,-,-,-,-,9.14%
Income Taxes,(11.86M),3.4M,(49.16M),11.75M,18.48M
Income Tax - Current - Domestic,1.99M,3.08M,3.48M,1.56M,4.06M
Income Tax - Current - Foreign,-,-,-,-,-
Income Tax - Deferred - Domestic,(13.85M),"321,000",(52.64M),10.19M,14.41M
Income Tax - Deferred - Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,111.51M,159.37M,176.1M,264.67M,128.29M
Minority Interest Expense,-,-,-,-,(17.5M)
Net Income,111.51M,159.37M,176.1M,264.67M,145.79M
Net Income Growth,-,42.92%,10.50%,50.30%,-44.91%
Net Margin,-,-,-,-,9.08%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,-,-,-,-
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,111.51M,159.37M,176.1M,264.67M,145.79M
EPS (Basic),2.18,3.12,3.44,5.16,2.83
EPS (Basic) - Growth,-,43.37%,10.35%,49.87%,-45.25%
Basic Shares Outstanding,51.24M,51.01M,51.15M,51.29M,51.61M
EPS (Diluted),2.16,3.11,3.43,5.14,2.81
EPS (Diluted) Growth,-,43.94%,10.23%,49.90%,-45.41%
Diluted Shares Outstanding,51.61M,51.31M,51.37M,51.51M,51.98M
