Description,2015 ,2016,2017,2018,2019

Sales/Revenue,7.39B,4.16B,2.97B,3.01B,3.28B
Sales Growth,-,-43.66%,-28.55%,1.08%,8.99%
Cost of Goods Sold (COGS) incl. D&A,4.71B,2.8B,2.22B,2.73B,3.18B
COGS excluding D&A,3.74B,1.91B,1.39B,1.8B,2.14B
Depreciation & Amortization Expense,963M,893M,832M,930M,1.04B
Depreciation,963M,893M,832M,818M,855M
Amortization of Intangibles,-,-,-,112M,187M
COGS Growth,-,-40.54%,-20.66%,22.93%,16.60%
Gross Income,2.68B,1.36B,753M,276M,93M
Gross Income Growth,-,-49.14%,-44.75%,-63.35%,-66.30%
Gross Profit Margin,-,-,-,-,2.84%

SG&A Expense,192M,172M,156M,164M,193M
Research & Development,-,-,-,-,-
Other SG&A,192M,172M,156M,164M,193M
SGA Growth,-,-10.42%,-9.30%,5.13%,17.68%
Other Operating Expense,-,-,-,-,-
Unusual Expense,1.06B,(85M),1.55B,1.38B,521M
EBIT after Unusual Expense,(1.06B),1.28B,(956M),(1.27B),(621M)
Non Operating Income/Expense,1M,47M,(1.6B),63M,40M
Non-Operating Interest Income,22M,20M,43M,53M,43M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,432M,409M,491M,620M,660M
Interest Expense Growth,-,-5.32%,20.05%,26.27%,6.45%
Gross Interest Expense,572M,585M,607M,657M,698M
Interest Capitalized,140M,176M,116M,37M,38M
Pretax Income,1.02B,934M,(3B),(1.78B),(1.2B)
Pretax Income Growth,-,-7.98%,-421.52%,40.89%,32.51%
Pretax Margin,-,-,-,-,-36.58%
Income Tax,120M,107M,94M,228M,59M
Income Tax - Current Domestic,254M,39M,5M,244M,(189M)
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,(134M),68M,89M,(16M),248M
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(8M),(14M),-,-,-
Consolidated Net Income,887M,813M,(3.1B),(2B),(1.26B)
Minority Interest Expense,32M,49M,30M,(7M),(2M)
Net Income,855M,764M,(3.13B),(2B),(1.26B)
Net Income Growth,-,-10.64%,-509.29%,36.17%,37.12%
Net Margin Growth,-,-,-,-,-38.32%
Extraordinaries & Discontinued Operations,2M,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,2M,-,-,-,-
Net Income After Extraordinaries,857M,764M,(3.13B),(2B),(1.26B)
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,857M,764M,(3.13B),(2B),(1.26B)
EPS (Basic),2.36,2.08,(8.00),(4.27),(2.05)
EPS (Basic) Growth,-,-11.86%,-484.62%,46.69%,51.92%
Basic Shares Outstanding,363M,367M,391M,468M,612M
EPS (Diluted),2.36,2.08,(8.00),(4.27),(2.05)
EPS (Diluted) Growth,-,-11.86%,-484.62%,46.69%,51.92%
Diluted Shares Outstanding,363M,367M,391M,468M,612M
EBITDA,3.45B,2.08B,1.43B,1.04B,942M
EBITDA Growth,-,-39.61%,-31.43%,-27.08%,-9.60%
EBITDA Margin,-,-,-,-,28.76%
