Description,2015 ,2016,2017,2018,2019

Sales/Revenue,58.66M,404.48M,824.95M,1.18B,1.72B
Sales Growth,-,589.50%,103.95%,43.09%,45.33%
Cost of Goods Sold (COGS) incl. D&A,182.34M,451.66M,763.53M,864.23M,961.81M
COGS excluding D&A,167.03M,422.55M,702.24M,772.58M,874.57M
Depreciation & Amortization Expense,15.31M,29.12M,61.29M,91.65M,87.25M
Depreciation,5.81M,12.92M,29.8M,49.05M,53.85M
Amortization of Intangibles,9.5M,16.2M,31.49M,42.6M,33.4M
COGS Growth,-,147.70%,69.05%,13.19%,11.29%
Gross Income,(123.68M),(47.18M),61.42M,316.22M,753.72M
Gross Income Growth,-,61.85%,230.19%,414.83%,138.36%
Gross Profit Margin,-,-,-,-,43.94%

SG&A Expense,258.05M,473.21M,3.55B,1.55B,1.76B
Research & Development,82.24M,183.68M,1.51B,739.18M,850.3M
Other SG&A,175.82M,289.53M,2.04B,812.45M,906.75M
SGA Growth,-,83.38%,649.57%,-56.26%,13.24%
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,-,-,40.23M,100M
EBIT after Unusual Expense,-,-,-,(1.28B),(1.1B)
Non Operating Income/Expense,"348,000","(668,000)",3.53M,1.15M,38.21M
Non-Operating Interest Income,1.4M,4.65M,21.1M,27.23M,36.04M
Equity in Affiliates (Pretax),"(500,000)",(3.9M),1M,(2.2M),20.8M
Interest Expense,-,1.42M,3.46M,3.89M,24.99M
Interest Expense Growth,-,-,142.70%,12.67%,541.86%
Gross Interest Expense,-,1.42M,3.46M,3.89M,24.99M
Interest Capitalized,-,-,-,-,-
Pretax Income,(380.48M),(521.72M),(3.46B),(1.25B),(1.03B)
Pretax Income Growth,-,-37.12%,-563.84%,63.81%,17.56%
Pretax Margin,-,-,-,-,-60.23%
Income Tax,(7.59M),(7.08M),(18.34M),2.55M,"393,000"
Income Tax - Current Domestic,"3,000","3,000",(1.78M),"106,000","113,000"
Income Tax - Current Foreign,"108,000","869,000","932,000",2.82M,"771,000"
Income Tax - Deferred Domestic,(7.7M),(7.14M),(11.98M),"(55,000)","(362,000)"
Income Tax - Deferred Foreign,-,"(808,000)",(5.51M),"(328,000)","(129,000)"
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,(372.89M),(514.64M),(3.45B),(1.26B),(1.03B)
Minority Interest Expense,-,-,-,-,-
Net Income,(372.89M),(514.64M),(3.45B),(1.26B),(1.03B)
Net Income Growth,-,-38.01%,-569.41%,63.54%,17.70%
Net Margin Growth,-,-,-,-,-60.25%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,(372.89M),(514.64M),(3.45B),(1.26B),(1.03B)
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,(372.89M),(514.64M),(3.45B),(1.26B),(1.03B)
EPS (Basic),(0.32),(0.44),(2.95),(0.97),(0.75)
EPS (Basic) Growth,-,-38.02%,-564.36%,67.31%,22.18%
Basic Shares Outstanding,1.16B,1.16B,1.17B,1.3B,1.38B
EPS (Diluted),(0.32),(0.44),(2.95),(0.97),(0.75)
EPS (Diluted) Growth,-,-38.02%,-564.36%,67.31%,22.18%
Diluted Shares Outstanding,1.16B,1.16B,1.17B,1.3B,1.38B
EBITDA,(366.42M),(491.27M),(3.42B),(1.14B),(916.08M)
EBITDA Growth,-,-34.07%,-597.03%,66.60%,19.91%
EBITDA Margin,-,-,-,-,-53.40%
