Description,2015 ,2016,2017,2018,2019

Sales/Revenue,1.27B,1.71B,2.21B,3.3B,4.71B
Sales Growth,-,34.85%,29.59%,48.95%,42.91%
Cost of Goods Sold (COGS) incl. D&A,910.15M,1.16B,1.41B,2.05B,2.89B
COGS excluding D&A,882.52M,1.12B,1.37B,1.99B,2.79B
Depreciation & Amortization Expense,27.63M,37.75M,37.28M,60.96M,105.29M
Depreciation,20.23M,28.87M,29.66M,47.86M,90.29M
Amortization of Intangibles,7.4M,8.88M,7.62M,13.1M,15M
COGS Growth,-,27.48%,21.14%,45.66%,41.25%
Gross Income,356.97M,548.5M,808.76M,1.25B,1.82B
Gross Income Growth,-,53.65%,47.45%,54.67%,45.64%
Gross Profit Margin,-,-,-,-,38.65%

SG&A Expense,476.82M,667.72M,795.95M,1.19B,1.67B
Research & Development,188.34M,255.35M,304.93M,464.17M,623.82M
Other SG&A,288.48M,412.37M,491.02M,730.57M,1.04B
SGA Growth,-,40.04%,19.20%,50.10%,39.64%
Other Operating Expense,-,-,-,-,-
Unusual Expense,53.12M,51.24M,67.02M,97.82M,126.96M
EBIT after Unusual Expense,(172.97M),(51.24M),(67.02M),(41.66M),26.56M
Non Operating Income/Expense,(1.94M),-,1.6M,3.17M,360.85M
Non-Operating Interest Income,-,"780,000",-,-,-
Equity in Affiliates (Pretax),-,-,-,20.34M,12.33M
Interest Expense,1.16M,-,10.05M,17.98M,21.52M
Interest Expense Growth,-,-,-,78.87%,19.65%
Gross Interest Expense,1.16M,-,10.05M,17.98M,21.52M
Interest Capitalized,-,-,-,-,-
Pretax Income,(176.07M),(169.67M),(62.66M),(36.13M),378.21M
Pretax Income Growth,-,3.63%,63.07%,42.35%,"1,146.90%"
Pretax Margin,-,-,-,-,8.02%
Income Tax,3.75M,1.92M,"149,000",2.33M,2.77M
Income Tax - Current Domestic,2.5M,"590,000","(453,000)","748,000",1.04M
Income Tax - Current Foreign,1.22M,1.27M,1.99M,2.22M,3.1M
Income Tax - Deferred Domestic,"78,000","191,000",(1.11M),"(369,000)",(1.18M)
Income Tax - Deferred Foreign,"(52,000)","(133,000)","(273,000)","(277,000)","(200,000)"
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,(179.82M),(171.59M),(62.81M),(38.45M),375.45M
Minority Interest Expense,-,-,-,-,-
Net Income,(179.82M),(171.59M),(62.81M),(38.45M),375.45M
Net Income Growth,-,4.58%,63.39%,38.78%,"1,076.38%"
Net Margin Growth,-,-,-,-,7.97%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,(179.82M),(171.59M),(62.81M),(38.45M),375.45M
Preferred Dividends,32.2M,-,-,-,-
Net Income Available to Common,(212.02M),(171.59M),(62.81M),(38.45M),375.45M
EPS (Basic),(0.63),(0.50),(0.17),(0.09),0.88
EPS (Basic) Growth,-,21.01%,66.88%,42.75%,"1,031.86%"
Basic Shares Outstanding,334.95M,341.56M,379.34M,405.73M,425M
EPS (Diluted),(0.63),(0.50),(0.17),(0.09),0.81
EPS (Diluted) Growth,-,21.01%,66.88%,42.75%,949.79%
Diluted Shares Outstanding,334.95M,341.56M,379.34M,405.73M,466.08M
EBITDA,(92.22M),(81.47M),50.09M,117.12M,258.81M
EBITDA Growth,-,11.66%,161.48%,133.82%,120.97%
EBITDA Margin,-,-,-,-,5.49%
