Description,2015 ,2016,2017,2018,2019

Sales/Revenue,288.09M,320.32M,326.23M,338.23M,316.13M
Sales Growth,-,11.19%,1.85%,3.68%,-6.53%
Cost of Goods Sold (COGS) incl. D&A,149.12M,182.67M,184.48M,191.74M,189.62M
COGS excluding D&A,138.03M,169.87M,171.58M,178.56M,177.88M
Depreciation & Amortization Expense,11.08M,12.8M,12.9M,13.18M,11.74M
Depreciation,8.9M,10.6M,10.6M,10.9M,9.9M
Amortization of Intangibles,2.18M,2.2M,2.3M,2.28M,1.84M
COGS Growth,-,22.50%,0.99%,3.94%,-1.11%
Gross Income,138.97M,137.65M,141.75M,146.49M,126.51M
Gross Income Growth,-,-0.95%,2.98%,3.34%,-13.64%
Gross Profit Margin,-,-,-,-,40.02%

SG&A Expense,122.84M,135.63M,144.63M,157.16M,158.9M
Research & Development,-,-,-,-,-
Other SG&A,122.84M,135.63M,144.63M,157.16M,158.9M
SGA Growth,-,10.41%,6.64%,8.66%,1.11%
Other Operating Expense,-,-,-,-,-
Unusual Expense,1.62M,1.6M,1.02M,46.82M,11.21M
EBIT after Unusual Expense,14.51M,(1.6M),(3.91M),(57.49M),(43.6M)
Non Operating Income/Expense,"244,000","(296,000)","(500,000)","55,000","(295,000)"
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,21.61M,22.59M,24.49M,27.35M,30.6M
Interest Expense Growth,-,4.51%,8.43%,11.67%,11.91%
Gross Interest Expense,21.61M,22.59M,24.49M,27.35M,30.6M
Interest Capitalized,-,-,-,-,-
Pretax Income,(6.86M),(22.46M),(28.89M),(84.78M),(74.5M)
Pretax Income Growth,-,-227.38%,-28.66%,-193.41%,12.13%
Pretax Margin,-,-,-,-,-23.57%
Income Tax,3.91M,"933,000",1.59M,(9.62M),(1.8M)
Income Tax - Current Domestic,"869,000",-,"735,000","681,000","693,000"
Income Tax - Current Foreign,"302,000",-,"112,000","137,000","101,000"
Income Tax - Deferred Domestic,2.74M,-,"741,000",(10.53M),(2.7M)
Income Tax - Deferred Foreign,-,-,"1,000","86,000","111,000"
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,(10.77M),(23.39M),(30.48M),(75.16M),(72.7M)
Minority Interest Expense,"(155,000)",3.61M,2.02M,"(782,000)","(757,000)"
Net Income,(10.62M),(27M),(32.5M),(74.38M),(71.94M)
Net Income Growth,-,-154.27%,-20.38%,-128.86%,3.27%
Net Margin Growth,-,-,-,-,-22.76%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,(10.62M),(27M),(32.5M),(74.38M),(71.94M)
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,(10.62M),(27M),(32.5M),(74.38M),(71.94M)
EPS (Basic),(0.40),(0.89),(0.94),(1.96),(1.90)
EPS (Basic) Growth,-,-122.50%,-5.62%,-108.51%,3.30%
Basic Shares Outstanding,26.58M,30.47M,34.6M,37.95M,37.96M
EPS (Diluted),(0.40),(0.89),(0.94),(1.96),(1.90)
EPS (Diluted) Growth,-,-122.50%,-5.62%,-108.51%,3.30%
Diluted Shares Outstanding,26.58M,30.47M,34.6M,37.95M,37.96M
EBITDA,27.21M,14.82M,10.01M,2.51M,(20.65M)
EBITDA Growth,-,-45.53%,-32.44%,-74.93%,-922.87%
EBITDA Margin,-,-,-,-,-6.53%
