Description,2015 ,2016,2017,2018,2019

Sales/Revenue,727.95M,732.68M,1.11B,1.5B,1.37B
Sales Growth,-,0.65%,51.23%,35.54%,-8.61%
Cost of Goods Sold (COGS) incl. D&A,635.76M,627.46M,992.24M,1.33B,1.25B
COGS excluding D&A,601.23M,593.2M,922.91M,1.24B,1.16B
Depreciation & Amortization Expense,34.53M,34.26M,69.34M,95.06M,93.2M
Depreciation,34.53M,34.26M,54.14M,68.76M,68.2M
Amortization of Intangibles,-,-,15.2M,26.3M,25M
COGS Growth,-,-1.30%,58.14%,34.33%,-6.24%
Gross Income,92.19M,105.22M,115.81M,168.91M,122.8M
Gross Income Growth,-,14.13%,10.07%,45.84%,-27.30%
Gross Profit Margin,-,-,-,-,8.95%

SG&A Expense,33.8M,35.84M,56.98M,83.42M,63.88M
Research & Development,2.6M,3.8M,7.7M,5.7M,-
Other SG&A,31.2M,32.04M,49.28M,77.72M,63.88M
SGA Growth,-,6.02%,58.99%,46.41%,-23.42%
Other Operating Expense,-,-,-,-,-
Unusual Expense,12.13M,1.18M,26.61M,(3.07M),109.8M
EBIT after Unusual Expense,46.25M,68.2M,32.22M,88.56M,(50.89M)
Non Operating Income/Expense,(11.07M),(13.72M),8.65M,(5.31M),5.86M
Non-Operating Interest Income,"103,000","245,000",-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,-,-,40M,51M,48.01M
Interest Expense Growth,-,-,-,27.48%,-5.86%
Gross Interest Expense,-,-,40M,51M,48.01M
Interest Capitalized,-,-,-,-,-
Pretax Income,35.28M,54.72M,"866,000",32.25M,(93.04M)
Pretax Income Growth,-,55.09%,-98.42%,"3,624.25%",-388.47%
Pretax Margin,-,-,-,-,-6.78%
Income Tax,11.34M,13.34M,6.88M,6.29M,3.42M
Income Tax - Current Domestic,10.42M,4.57M,(5.73M),(3.84M),(3.69M)
Income Tax - Current Foreign,2.1M,10.64M,12.56M,11.18M,10.62M
Income Tax - Deferred Domestic,1.54M,1.53M,2.9M,"398,000",2.16M
Income Tax - Deferred Foreign,(2.72M),(3.4M),(2.85M),(1.45M),(5.66M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,23.94M,41.38M,(6.01M),25.96M,(96.46M)
Minority Interest Expense,-,-,"194,000",1.51M,"566,000"
Net Income,23.94M,41.38M,(6.2M),24.45M,(97.03M)
Net Income Growth,-,72.82%,-114.99%,494.15%,-496.85%
Net Margin Growth,-,-,-,-,-7.07%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,23.94M,41.38M,(6.2M),24.45M,(97.03M)
Preferred Dividends,-,-,18.91M,17.21M,30.98M
Net Income Available to Common,23.94M,41.38M,(25.12M),7.24M,(128M)
EPS (Basic),0.90,1.63,(1.01),0.29,(5.10)
EPS (Basic) Growth,-,81.11%,-161.96%,128.69%,"-1,859.80%"
Basic Shares Outstanding,26.6M,25.44M,24.93M,24.99M,25.1M
EPS (Diluted),0.90,1.62,(1.01),0.29,(5.10)
EPS (Diluted) Growth,-,80.00%,-162.35%,128.51%,"-1,870.80%"
Diluted Shares Outstanding,26.63M,25.54M,24.93M,25.16M,25.1M
EBITDA,92.92M,103.64M,128.17M,180.54M,152.11M
EBITDA Growth,-,11.54%,23.67%,40.86%,-15.75%
EBITDA Margin,-,-,-,-,11.08%
