Description,2015 ,2016,2017,2018,2019

Sales/Revenue,3.57B,4.89B,11B,10.77B,10.58B
Sales Growth,-,36.93%,125.24%,-2.12%,-1.77%
Cost of Goods Sold (COGS) incl. D&A,2.19B,3.01B,6.61B,6.7B,6.58B
COGS excluding D&A,1.88B,2.63B,5.79B,5.84B,5.72B
Depreciation & Amortization Expense,314.4M,388.4M,812.8M,857.5M,859M
Depreciation,284.5M,306.3M,590.7M,633.4M,637.8M
Amortization of Intangibles,29.9M,82.1M,222.1M,224.1M,221.2M
COGS Growth,-,37.36%,119.13%,1.41%,-1.83%
Gross Income,1.37B,1.87B,4.4B,4.07B,4B
Gross Income Growth,-,36.25%,135.08%,-7.42%,-1.66%
Gross Profit Margin,-,-,-,-,37.84%

SG&A Expense,1.02B,1.39B,2.83B,2.58B,2.51B
Research & Development,-,-,-,-,-
Other SG&A,1.02B,1.39B,2.83B,2.58B,2.51B
SGA Growth,-,37.05%,102.87%,-8.88%,-2.78%
Other Operating Expense,4.1M,4.4M,-,-,-
Unusual Expense,358.5M,3.6B,(105.4M),(126.1M),729.9M
EBIT after Unusual Expense,(7.4M),(3.6B),105.4M,1.62B,767M
Non Operating Income/Expense,26.7M,(75.1M),49.7M,46.8M,6.1M
Non-Operating Interest Income,8.3M,27.2M,6M,8M,8.2M
Equity in Affiliates (Pretax),516.3M,500.9M,-,-,-
Interest Expense,133.2M,294.8M,345.6M,313.9M,301.4M
Interest Expense Growth,-,121.32%,17.23%,-9.17%,-3.98%
Gross Interest Expense,134M,295.4M,348.1M,319.4M,309.7M
Interest Capitalized,"800,000","600,000",2.5M,5.5M,8.3M
Pretax Income,410.7M,3.06B,1.38B,1.36B,479.9M
Pretax Income Growth,-,644.31%,-54.75%,-1.69%,-64.71%
Pretax Margin,-,-,-,-,4.54%
Income Tax,51.8M,1.06B,(204.6M),225.2M,233.7M
Income Tax - Current Domestic,127.9M,95.4M,(172.4M),(27.6M),78.5M
Income Tax - Current Foreign,25.2M,31.9M,36.5M,38.7M,46.7M
Income Tax - Deferred Domestic,(31.9M),784.7M,(46M),263.4M,150.5M
Income Tax - Deferred Foreign,(69.4M),143.2M,(22.7M),(49.3M),(42M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,358.9M,2B,1.59B,1.13B,246.2M
Minority Interest Expense,3.3M,5.9M,22.2M,18.1M,4.5M
Net Income,355.6M,2B,1.57B,1.12B,241.7M
Net Income Growth,-,461.25%,-21.56%,-28.69%,-78.35%
Net Margin Growth,-,-,-,-,2.28%
Extraordinaries & Discontinued Operations,3.9M,(2.8M),-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,3.9M,(2.8M),-,-,-
Net Income After Extraordinaries,359.5M,1.99B,1.57B,1.12B,241.7M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,359.5M,1.99B,1.57B,1.12B,241.7M
EPS (Basic),1.94,9.40,7.27,5.17,1.12
EPS (Basic) Growth,-,384.54%,-22.68%,-28.88%,-78.41%
Basic Shares Outstanding,185.3M,212M,215.4M,216M,216.6M
EPS (Diluted),1.93,9.34,7.23,5.15,1.11
EPS (Diluted) Growth,-,383.94%,-22.58%,-28.72%,-78.38%
Diluted Shares Outstanding,186.4M,213.4M,216.5M,216.6M,216.9M
EBITDA,665.5M,859.8M,2.38B,2.35B,2.36B
EBITDA Growth,-,29.20%,176.87%,-1.27%,0.24%
EBITDA Margin,-,-,-,-,22.27%
