Description,2015 ,2016,2017,2018,2019

Sales/Revenue,1.5B,979.06M,330.12M,406.52M,486.55M
Sales Growth,-,-34.53%,-66.28%,23.14%,19.69%
Cost of Goods Sold (COGS) incl. D&A,1.06B,795.92M,318.24M,333.4M,433.93M
COGS excluding D&A,889.2M,613.61M,250.46M,275.11M,332M
Depreciation & Amortization Expense,175.2M,182.31M,67.78M,58.29M,101.93M
Depreciation,175.2M,182.31M,-,51.33M,77.05M
Amortization of Intangibles,-,-,-,6.96M,24.89M
COGS Growth,-,-25.22%,-60.02%,4.76%,30.15%
Gross Income,431.12M,183.15M,11.88M,73.12M,52.62M
Gross Income Growth,-,-57.52%,-93.51%,515.57%,-28.03%
Gross Profit Margin,-,-,-,-,10.82%

SG&A Expense,189.82M,153.81M,88.45M,102.33M,96.9M
Research & Development,-,-,-,-,-
Other SG&A,189.82M,153.81M,88.45M,102.33M,96.9M
SGA Growth,-,-18.97%,-42.49%,15.69%,-5.31%
Other Operating Expense,"717,000",-,-,-,-
Unusual Expense,302.28M,124.9M,1.6B,97.03M,44.6M
EBIT after Unusual Expense,(61.69M),(124.9M),(1.68B),(126.24M),(88.87M)
Non Operating Income/Expense,32.27M,21.05M,6.59M,11.13M,"997,000"
Non-Operating Interest Income,2.13M,2.5M,5.16M,11.29M,6.6M
Equity in Affiliates (Pretax),10.18M,(13.58M),6.92M,(18.86M),(3.15M)
Interest Expense,49.31M,53.97M,24.19M,30.84M,29.07M
Interest Expense Growth,-,9.45%,-55.18%,27.51%,-5.75%
Gross Interest Expense,62.99M,64.42M,24.89M,31.36M,29.07M
Interest Capitalized,13.67M,10.45M,"702,000","521,000",-
Pretax Income,(66.43M),(139.56M),(1.68B),(153.52M),(113.5M)
Pretax Income Growth,-,-110.09%,"-1,107.27%",90.89%,26.07%
Pretax Margin,-,-,-,-,-23.33%
Income Tax,(1.08M),20.82M,"805,000",18.25M,27.72M
Income Tax - Current Domestic,4.86M,(13.43M),"(808,000)","962,000","649,000"
Income Tax - Current Foreign,66.45M,41.04M,7.16M,16.72M,26.4M
Income Tax - Deferred Domestic,(72.39M),(6.8M),(5.54M),"781,000","672,000"
Income Tax - Deferred Foreign,-,-,-,"(209,000)",-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,(65.35M),(160.38M),(2.25B),(171.77M),(141.22M)
Minority Interest Expense,"(159,000)","(193,000)","540,000","(254,000)","524,000"
Net Income,(65.19M),(160.18M),(2.25B),(171.52M),(141.74M)
Net Income Growth,-,-145.72%,"-1,303.54%",92.37%,17.36%
Net Margin Growth,-,-,-,-,-29.13%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,(65.19M),(160.18M),(2.25B),(171.52M),(141.74M)
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,(65.19M),(160.18M),(2.25B),(171.52M),(141.74M)
EPS (Basic),(42.10),(107.12),96.92,(6.45),(3.71)
EPS (Basic) Growth,-,-154.48%,190.48%,-106.66%,42.48%
Basic Shares Outstanding,1.55M,1.5M,22.12M,26.59M,38.2M
EPS (Diluted),(42.10),(107.12),96.92,(6.45),(3.71)
EPS (Diluted) Growth,-,-154.48%,190.48%,-106.66%,42.48%
Diluted Shares Outstanding,1.55M,1.5M,22.12M,26.59M,38.2M
EBITDA,415.79M,211.65M,(8.79M),29.08M,57.66M
EBITDA Growth,-,-49.10%,-104.15%,430.90%,98.25%
EBITDA Margin,-,-,-,-,11.85%
