Description,2015 ,2016,2017,2018,2019

Sales/Revenue,146.8B,163.79B,160.55B,170.81B,181.27B
Sales Growth,-,11.57%,-1.98%,6.39%,6.12%
Cost of Goods Sold (COGS) incl. D&A,89.06B,102.73B,102.2B,107.85B,112.36B
COGS excluding D&A,67.05B,76.88B,77.81B,79.42B,84.14B
Depreciation & Amortization Expense,22.02B,25.85B,24.39B,28.43B,28.22B
Depreciation,19.29B,20.66B,19.76B,20.1B,20.29B
Amortization of Intangibles,2.73B,5.19B,4.63B,8.33B,7.93B
COGS Growth,-,15.35%,-0.52%,5.53%,4.18%
Gross Income,57.74B,61.06B,58.35B,62.96B,68.91B
Gross Income Growth,-,5.74%,-4.43%,7.90%,9.45%
Gross Profit Margin,-,-,-,-,38.01%

SG&A Expense,31.12B,35.18B,34.84B,35.67B,38.53B
Research & Development,1.69B,1.65B,1.5B,1.19B,1.28B
Other SG&A,29.43B,33.53B,33.34B,34.47B,37.25B
SGA Growth,-,13.06%,-0.96%,2.37%,8.03%
Other Operating Expense,-,-,-,-,-
Unusual Expense,1.84B,1.44B,623M,1.15B,964M
EBIT after Unusual Expense,24.79B,24.43B,(623M),26.14B,29.41B
Non Operating Income/Expense,(167M),55M,(1.34B),6.69B,(2.55B)
Non-Operating Interest Income,95M,118M,-,-,-
Equity in Affiliates (Pretax),79M,98M,(128M),(48M),6M
Interest Expense,4.1B,4.89B,6.28B,7.91B,8.4B
Interest Expense Growth,-,19.24%,28.43%,26.01%,6.22%
Gross Interest Expense,4.9B,5.78B,7.18B,8.41B,8.6B
Interest Capitalized,797M,892M,903M,493M,200M
Pretax Income,20.69B,19.81B,15.14B,24.87B,18.47B
Pretax Income Growth,-,-4.25%,-23.59%,64.30%,-25.75%
Pretax Margin,-,-,-,-,10.19%
Income Tax,7.01B,6.48B,(14.71B),4.92B,3.49B
Income Tax - Current Domestic,2.57B,3.2B,761M,3.77B,1.19B
Income Tax - Current Foreign,320M,335M,471M,539M,605M
Income Tax - Deferred Domestic,4.5B,3.47B,(16.93B),750M,1.8B
Income Tax - Deferred Foreign,(382M),(519M),989M,(140M),(99M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,13.69B,13.33B,29.85B,19.95B,14.98B
Minority Interest Expense,342M,357M,397M,583M,1.07B
Net Income,13.35B,12.98B,29.45B,19.37B,13.9B
Net Income Growth,-,-2.77%,126.96%,-34.23%,-28.22%
Net Margin Growth,-,-,-,-,7.67%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,13.35B,12.98B,29.45B,19.37B,13.9B
Preferred Dividends,-,-,-,-,3M
Net Income Available to Common,13.35B,12.98B,29.45B,19.37B,13.9B
EPS (Basic),2.37,2.10,4.78,2.86,1.90
EPS (Basic) Growth,-,-11.39%,127.61%,-40.15%,-33.61%
Basic Shares Outstanding,5.63B,6.17B,6.16B,6.78B,7.32B
EPS (Diluted),2.37,2.10,4.77,2.85,1.89
EPS (Diluted) Growth,-,-11.39%,126.91%,-40.19%,-33.53%
Diluted Shares Outstanding,5.65B,6.19B,6.18B,6.81B,7.35B
EBITDA,48.64B,51.72B,47.89B,55.72B,58.59B
EBITDA Growth,-,6.34%,-7.40%,16.34%,5.16%
EBITDA Margin,-,-,-,-,32.33%
