Description,2015 ,2016,2017,2018,2019

Sales/Revenue,-,3.85B,7.93B,11.27B,14.15B
Sales Growth,-,-,106.29%,42.08%,25.53%
Cost of Goods Sold (COGS) incl. D&A,-,3.32B,5.85B,7.36B,9.79B
COGS excluding D&A,-,3B,5.34B,6.93B,9.32B
Depreciation & Amortization Expense,-,320M,510M,426M,472M
Depreciation,-,313M,503M,411M,456M
Amortization of Intangibles,-,7M,7M,15M,16M
COGS Growth,-,-,76.26%,25.76%,33.03%
Gross Income,-,526M,2.08B,3.91B,4.36B
Gross Income Growth,-,-,295.82%,87.94%,11.42%
Gross Profit Margin,-,-,-,-,30.82%

SG&A Expense,-,3.55B,6.11B,6.75B,12.9B
Research & Development,-,864M,1.2B,1.51B,4.84B
Other SG&A,-,2.69B,4.9B,5.24B,8.06B
SGA Growth,-,-,72.02%,10.55%,91.12%
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,(142M),230M,(1.3B),(447M)
EBIT after Unusual Expense,-,(2.88B),(4.25B),(1.54B),(8.09B)
Non Operating Income/Expense,-,(25M),86M,3.39B,(16M)
Non-Operating Interest Income,-,22M,71M,104M,234M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,-,334M,479M,648M,559M
Interest Expense Growth,-,-,43.41%,35.28%,-13.73%
Gross Interest Expense,-,334M,479M,648M,559M
Interest Capitalized,-,-,-,-,-
Pretax Income,-,(3.22B),(4.58B),1.31B,(8.43B)
Pretax Income Growth,-,-,-42.17%,128.68%,-742.76%
Pretax Margin,-,-,-,-,-59.61%
Income Tax,-,28M,(542M),283M,45M
Income Tax - Current Domestic,-,-,-,28M,1M
Income Tax - Current Foreign,-,23M,220M,220M,132M
Income Tax - Deferred Domestic,-,(1M),(733M),(152M),(69M)
Income Tax - Deferred Foreign,-,6M,(29M),187M,(19M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,(42M),(34M)
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,-,(3.25B),(4.03B),987M,(8.51B)
Minority Interest Expense,-,-,-,(10M),(6M)
Net Income,-,(3.25B),(4.03B),997M,(8.51B)
Net Income Growth,-,-,-24.25%,124.72%,-953.16%
Net Margin Growth,-,-,-,-,-60.13%
Extraordinaries & Discontinued Operations,-,2.88B,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,6.22B,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,(3.34B),-,-,-
Net Income After Extraordinaries,-,(370M),(4.03B),997M,(8.51B)
Preferred Dividends,-,-,-,997M,-
Net Income Available to Common,-,(6.59B),(4.03B),-,(8.51B)
EPS (Basic),-,(3.92),(2.40),-,(6.81)
EPS (Basic) Growth,-,-,38.79%,-,-
Basic Shares Outstanding,-,1.68B,1.68B,1.68B,1.25B
EPS (Diluted),-,(3.92),(2.40),-,(6.81)
EPS (Diluted) Growth,-,-,38.79%,-,-
Diluted Shares Outstanding,-,1.68B,1.68B,1.68B,1.25B
EBITDA,-,(2.7B),(3.51B),(2.41B),(8.07B)
EBITDA Growth,-,-,-29.97%,31.40%,-234.73%
EBITDA Margin,-,-,-,-,-57.02%
