Description,2015 ,2016,2017,2018,2019

Sales/Revenue,666.4M,865.27M,1.02B,1.16B,1.28B
Sales Growth,-,29.84%,17.52%,14.25%,10.57%
Cost of Goods Sold (COGS) incl. D&A,339M,462.26M,566.87M,624.13M,676.33M
COGS excluding D&A,332.71M,454.9M,559.56M,616.57M,668.63M
Depreciation & Amortization Expense,6.29M,7.36M,7.31M,7.56M,7.7M
Depreciation,5.7M,6.8M,7.2M,7.5M,7.6M
Amortization of Intangibles,"594,000","559,000","110,000","56,000","95,000"
COGS Growth,-,36.36%,22.63%,10.10%,8.36%
Gross Income,327.39M,403.01M,449.99M,537.6M,608.17M
Gross Income Growth,-,23.10%,11.66%,19.47%,13.13%
Gross Profit Margin,-,-,-,-,47.35%

SG&A Expense,91.03M,106.34M,117.46M,125.31M,129.97M
Research & Development,57.77M,69.09M,74.32M,82.07M,89.41M
Other SG&A,33.27M,37.25M,43.13M,43.24M,40.57M
SGA Growth,-,16.81%,10.46%,6.68%,3.72%
Other Operating Expense,2.6M,6.91M,6.4M,-,-
Unusual Expense,(8.29M),-,-,18M,5M
EBIT after Unusual Expense,8.29M,-,-,394.3M,473.2M
Non Operating Income/Expense,-,-,-,-,-
Non-Operating Interest Income,-,-,-,2.7M,1M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,2.12M,4.74M,11.99M,15.51M,24M
Interest Expense Growth,-,123.97%,153.01%,29.40%,54.77%
Gross Interest Expense,2.12M,4.74M,11.99M,15.51M,24M
Interest Capitalized,-,-,-,-,-
Pretax Income,239.94M,285.02M,314.14M,381.49M,450.2M
Pretax Income Growth,-,18.79%,10.22%,21.44%,18.01%
Pretax Margin,-,-,-,-,35.05%
Income Tax,26.32M,27.52M,117.85M,58.8M,69.9M
Income Tax - Current Domestic,25.49M,25.89M,112.73M,54.74M,69.31M
Income Tax - Current Foreign,1.98M,2.56M,3.1M,3.8M,1.78M
Income Tax - Deferred Domestic,(1.15M),"(938,000)",2.03M,"262,000",(1.19M)
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,213.62M,257.51M,196.29M,322.69M,380.3M
Minority Interest Expense,-,-,-,-,-
Net Income,213.62M,257.51M,196.29M,322.69M,380.3M
Net Income Growth,-,20.55%,-23.77%,64.40%,17.85%
Net Margin Growth,-,-,-,-,29.61%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,213.62M,257.51M,196.29M,322.69M,380.3M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,213.62M,257.51M,196.29M,322.69M,380.3M
EPS (Basic),2.53,3.16,2.54,4.52,5.81
EPS (Basic) Growth,-,24.90%,-19.52%,77.62%,28.67%
Basic Shares Outstanding,84.4M,81.48M,77.18M,71.44M,65.43M
EPS (Diluted),2.49,3.09,2.51,4.51,5.80
EPS (Diluted) Growth,-,24.10%,-18.90%,79.85%,28.80%
Diluted Shares Outstanding,85.78M,83.25M,78.33M,71.6M,65.51M
EBITDA,240.06M,297.12M,333.44M,419.85M,485.89M
EBITDA Growth,-,23.77%,12.22%,25.92%,15.73%
EBITDA Margin,-,-,-,-,37.83%
