Description,2015 ,2016,2017,2018,2019

Interest Income,49.28B,53.66B,58.91B,64.65B,66.08B
Interest and Fees on Loans,36.58B,39.51B,41.39B,43.97B,44.15B
Interest Income on Fed. Funds,-,-,-,-,-
Interest Income on Fed. Repos,-,-,-,-,-
Interest on Bank Deposits,-,-,-,-,-
Other Interest or Dividend Income,12.7B,14.16B,17.52B,20.67B,21.94B
Interest Income Growth,-,8.90%,9.78%,9.74%,2.22%
Total Interest Expense,3.98B,5.91B,9.35B,14.65B,18.85B
Interest Expense on Bank Deposits,963M,1.4B,3.01B,5.62B,8.64B
Other Interest Expense,2.66B,4.16B,6.34B,9.03B,10.22B
Interest Expense on Debt,2.66B,4.16B,5.92B,8.42B,9.67B
Interest Capitalized,-,-,-,-,-
Other Borrowed Funds,-,-,424M,610M,551M
Total Interest Expense Growth,-,48.69%,58.19%,56.67%,28.67%

Net Interest Income,45.3B,47.75B,49.56B,50B,47.23B
Net Interest Income Growth,-,5.41%,3.78%,0.88%,-5.53%
Loan Loss Provision,2.44B,3.77B,2.53B,1.74B,2.69B
Loan Loss Provision Growth,-,54.38%,-32.94%,-31.01%,54.07%
Net Interest Income after Provision,42.86B,43.98B,47.03B,48.25B,44.54B
Net Interest Inc After Loan Loss Prov Growth,-,2.62%,6.93%,2.60%,-7.68%
Net Interest Margin,-,-,-,-,2.73%
Non-Interest Income,38.82B,38.83B,44.41B,32.34B,43.38B
Securities Gain,4.13B,2.35B,3.78B,2.4B,5.41B
Trading Account Income,(1.14B),205M,4.09B,(5.07B),5.86B
"Trust Income, Commissions & Fees",29.45B,28.38B,28.14B,28.96B,24.17B
Commission & Fee Income,26.06B,25.05B,24.77B,25.65B,21.14B
Other Operating Income,2.32B,3.56B,5.48B,4.4B,5.74B
Non-Interest Expense,50.19B,50.71B,62.22B,50.57B,59.09B
Labor & Related Expense,30.68B,31.89B,34.57B,34.22B,36.18B
Equipment Expense,5.23B,6.34B,6.44B,6.67B,6.86B
Other Operating Expense,15B,10.37B,11.94B,9.59B,3B
Operating Income,31.49B,32.1B,29.21B,30.02B,28.83B
Operating Income Growth,-,1.94%,-8.99%,2.75%,-3.96%
Operating Income Margin,-,-,-,-,26.34%
Non-Operating Income (Expense),-,-,-,-,-
Non-Operating Interest Income,-,-,-,-,-
Miscellaneous Non Operating Expense,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,-,-,549M,369M,309M
Pretax Income,33.64B,32.12B,27.38B,28.54B,24.2B
Pretax Income Growth,-,-4.52%,-14.77%,4.24%,-15.21%
Pretax Margin,-,-,-,-,22.11%
Income Taxes,10.37B,10.08B,4.92B,5.66B,4.16B
Income Tax - Current - Domestic,12.49B,8.11B,4.07B,3.52B,7.25B
Income Tax - Current - Foreign,139M,175M,183M,170M,154M
Income Tax - Deferred - Domestic,(2.28B),1.79B,720M,1.94B,(3.24B)
Income Tax - Deferred - Foreign,17M,(1M),(54M),28M,(9M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,23.28B,22.05B,22.46B,22.88B,20.04B
Minority Interest Expense,382M,107M,277M,483M,492M
Net Income,22.89B,21.94B,22.18B,22.39B,19.55B
Net Income Growth,-,-4.18%,1.12%,0.95%,-12.70%
Net Margin,-,-,-,-,17.86%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,-,-,-,-
Preferred Dividends,1.42B,1.57B,1.63B,1.7B,1.61B
Net Income Available to Common,21.47B,20.37B,20.55B,20.69B,17.94B
EPS (Basic),4.18,4.03,4.14,4.31,4.08
EPS (Basic) Growth,-,-3.54%,2.68%,4.12%,-5.27%
Basic Shares Outstanding,5.14B,5.05B,4.96B,4.8B,4.39B
EPS (Diluted),4.12,3.99,4.10,4.28,4.05
EPS (Diluted) Growth,-,-3.22%,2.72%,4.38%,-5.21%
Diluted Shares Outstanding,5.21B,5.11B,5.02B,4.84B,4.43B
