Description,2015 ,2016,2017,2018,2019

Sales/Revenue,236.81B,200.63B,237.16B,279.2B,256B
Sales Growth,-,-15.28%,18.21%,17.73%,-8.31%
Cost of Goods Sold (COGS) incl. D&A,185.16B,159.87B,180.49B,212.25B,201.07B
COGS excluding D&A,167.11B,137.57B,162.59B,194.2B,182.08B
Depreciation & Amortization Expense,18.05B,22.31B,17.89B,18.05B,19B
Depreciation,18.05B,22.31B,17.89B,18.05B,19B
Amortization of Intangibles,-,-,-,-,-
COGS Growth,-,-13.66%,12.89%,17.60%,-5.26%
Gross Income,51.65B,40.76B,56.67B,66.96B,54.92B
Gross Income Growth,-,-21.09%,39.05%,18.15%,-17.97%
Gross Profit Margin,-,-,-,-,21.45%

SG&A Expense,10.96B,10.8B,12.39B,12.77B,12.63B
Research & Development,1.01B,1.06B,1.06B,1.12B,1.21B
Other SG&A,9.95B,9.74B,11.33B,11.65B,11.42B
SGA Growth,-,-1.48%,14.77%,2.99%,-1.03%
Other Operating Expense,27.81B,29.02B,30.1B,32.66B,30.53B
Unusual Expense,-,-,2B,700M,-
EBIT after Unusual Expense,-,-,(2B),20.83B,-
Non Operating Income/Expense,1.75B,2.68B,1.72B,3.54B,3.68B
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),7.64B,4.81B,5.38B,7.36B,5.44B
Interest Expense,311M,453M,601M,766M,830M
Interest Expense Growth,-,45.66%,32.67%,27.45%,8.36%
Gross Interest Expense,793M,1.16B,1.35B,1.42B,1.56B
Interest Capitalized,482M,708M,749M,652M,731M
Pretax Income,21.97B,7.97B,18.67B,30.95B,20.06B
Pretax Income Growth,-,-63.72%,134.33%,65.75%,-35.20%
Pretax Margin,-,-,-,-,7.83%
Income Tax,5.42B,(406M),(1.17B),9.53B,5.28B
Income Tax - Current Domestic,26M,(25M),514M,627M,(214M)
Income Tax - Current Foreign,7.13B,3.84B,6.63B,9B,6.17B
Income Tax - Deferred Domestic,(1.17B),(2.8B),(9.08B),518M,(255M)
Income Tax - Deferred Foreign,(571M),(1.42B),754M,(614M),(420M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,16.55B,8.38B,19.85B,21.42B,14.77B
Minority Interest Expense,401M,535M,138M,581M,434M
Net Income,16.15B,7.84B,19.71B,20.84B,14.34B
Net Income Growth,-,-51.46%,151.40%,5.73%,-31.19%
Net Margin Growth,-,-,-,-,5.60%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,16.15B,7.84B,19.71B,20.84B,14.34B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,16.15B,7.84B,19.71B,20.84B,14.34B
EPS (Basic),3.85,1.88,4.63,4.88,3.36
EPS (Basic) Growth,-,-51.17%,146.28%,5.40%,-31.18%
Basic Shares Outstanding,4.2B,4.18B,4.26B,4.27B,4.27B
EPS (Diluted),3.85,1.88,4.63,4.88,3.36
EPS (Diluted) Growth,-,-51.17%,146.28%,5.40%,-31.18%
Diluted Shares Outstanding,4.2B,4.18B,4.26B,4.27B,4.27B
EBITDA,30.93B,23.24B,32.07B,39.57B,30.76B
EBITDA Growth,-,-24.85%,37.95%,23.41%,-22.27%
EBITDA Margin,-,-,-,-,12.02%
