Description,2015 ,2016,2017,2018,2019

Sales/Revenue,-,-,-,1.47M,335.93M
Sales Growth,-,-,-,-,"22,801.76%"
Cost of Goods Sold (COGS) incl. D&A,-,-,-,10.98M,405.24M
COGS excluding D&A,-,-,-,1.82M,373.21M
Depreciation & Amortization Expense,-,-,-,9.16M,32.03M
Depreciation,-,-,-,8.63M,30.92M
Amortization of Intangibles,-,-,-,"535,891",1.11M
COGS Growth,-,-,-,-,"3,589.16%"
Gross Income,-,-,-,(9.52M),(69.31M)
Gross Income Growth,-,-,-,-,-628.26%
Gross Profit Margin,-,-,-,-,-20.63%

SG&A Expense,-,-,-,242.23M,467.96M
Research & Development,-,-,-,158.87M,299.6M
Other SG&A,-,-,-,83.37M,168.37M
SGA Growth,-,-,-,-,93.19%
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,-,-,(38.44M),7.45M
EBIT after Unusual Expense,-,-,-,(213.31M),(544.73M)
Non Operating Income/Expense,-,-,-,(7.09M),2.24M
Non-Operating Interest Income,-,-,-,9.88M,12.86M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,-,-,-,"879,853",4.63M
Interest Expense Growth,-,-,-,-,426.63%
Gross Interest Expense,-,-,-,"879,853",4.63M
Interest Capitalized,-,-,-,-,-
Pretax Income,-,-,-,(211.4M),(534.26M)
Pretax Income Growth,-,-,-,-,-152.73%
Pretax Margin,-,-,-,-,-159.04%
Income Tax,-,-,-,-,145
Income Tax - Current Domestic,-,-,-,-,145
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,-,-,-,(211.4M),(534.26M)
Minority Interest Expense,-,-,-,-,-
Net Income,-,-,-,(211.4M),(534.26M)
Net Income Growth,-,-,-,-,-152.73%
Net Margin Growth,-,-,-,-,-159.04%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,-,-,(211.4M),(534.26M)
Preferred Dividends,-,-,-,129.37M,137.64M
Net Income Available to Common,-,-,-,(340.77M),(671.9M)
EPS (Basic),-,-,-,(0.46),(0.91)
EPS (Basic) Growth,-,-,-,-,-97.18%
Basic Shares Outstanding,-,-,-,734.7M,734.7M
EPS (Diluted),-,-,-,(0.46),(0.91)
EPS (Diluted) Growth,-,-,-,-,-97.18%
Diluted Shares Outstanding,-,-,-,734.7M,734.7M
EBITDA,-,-,-,(242.59M),(505.24M)
EBITDA Growth,-,-,-,-,-108.27%
EBITDA Margin,-,-,-,-,-150.40%
