Description,2015 ,2016,2017,2018,2019

Sales/Revenue,9.66M,11.01M,51.76M,53.02M,29.54M
Sales Growth,-,13.96%,370.18%,2.43%,-44.28%
Cost of Goods Sold (COGS) incl. D&A,-,-,-,-,-
COGS excluding D&A,-,-,-,-,-
Depreciation & Amortization Expense,"494,000",1.03M,2.74M,3.63M,7.33M
Depreciation,"280,000","541,000",1.68M,1.88M,4.22M
Amortization of Intangibles,"214,000","484,000",1.06M,1.75M,3.11M
COGS Growth,-,-,-,-,-
Gross Income,-,-,-,-,-
Gross Income Growth,-,-,-,-,-
Gross Profit Margin,-,-,-,-,-

SG&A Expense,29.13M,47.08M,56.49M,82.9M,172.91M
Research & Development,24.4M,35.55M,40.67M,56.93M,115.9M
Other SG&A,4.72M,11.53M,15.81M,25.98M,57.01M
SGA Growth,-,61.64%,19.98%,46.77%,108.57%
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,1.4M,2.2M,3.57M,"768,000"
EBIT after Unusual Expense,-,(38.5M),(9.66M),(3.57M),(151.47M)
Non Operating Income/Expense,"518,000","927,000","97,000","57,000","(574,000)"
Non-Operating Interest Income,"324,000","308,000","743,000",2.64M,6.02M
Equity in Affiliates (Pretax),-,"(98,000)",-,-,-
Interest Expense,"18,000",1.53M,1.14M,-,-
Interest Expense Growth,-,"8,377.78%",-25.29%,-,-
Gross Interest Expense,"18,000",1.53M,1.14M,-,-
Interest Capitalized,-,-,-,-,-
Pretax Income,(19.14M),(38.88M),(9.96M),(34.39M),(146.02M)
Pretax Income Growth,-,-103.20%,74.38%,-245.16%,-324.66%
Pretax Margin,-,-,-,-,-494.24%
Income Tax,"34,000",(5.08M),"444,000",2.17M,"(582,000)"
Income Tax - Current Domestic,"18,000","430,000","429,000",2.19M,1.37M
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,"16,000",(5.51M),"15,000","(17,000)",(1.96M)
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,(19.17M),(33.81M),(10.41M),(36.56M),(145.44M)
Minority Interest Expense,-,-,-,-,-
Net Income,(19.17M),(33.81M),(10.41M),(36.56M),(145.44M)
Net Income Growth,-,-76.36%,69.22%,-251.30%,-297.85%
Net Margin Growth,-,-,-,-,-492.27%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,(19.17M),(33.81M),(10.41M),(36.56M),(145.44M)
Preferred Dividends,-,-,"520,000",-,-
Net Income Available to Common,(19.17M),(33.81M),(10.93M),(36.56M),(145.44M)
EPS (Basic),(0.75),(1.32),(0.51),(1.26),(3.83)
EPS (Basic) Growth,-,-76.38%,61.38%,-146.41%,-204.38%
Basic Shares Outstanding,25.6M,25.6M,21.25M,29.09M,38.02M
EPS (Diluted),(0.75),(1.32),(0.64),(1.26),(3.83)
EPS (Diluted) Growth,-,-76.38%,51.54%,-96.36%,-204.38%
Diluted Shares Outstanding,25.6M,25.6M,21.32M,29.09M,38.02M
EBITDA,(19.47M),(36.07M),(4.72M),(29.89M),(143.37M)
EBITDA Growth,-,-85.30%,86.91%,-532.75%,-379.73%
EBITDA Margin,-,-,-,-,-485.27%
